Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Chénier Pierre P.M.L.Q.;Drainville Bernard P.Q.;Lévesque Carl Q.S.;Lovatt-Smith Catherine P.V.Q./G.P.Q.;Portron Florent É.A.;Provencher Guillaume C.A.Q.-É.F.L.;Tremblay Jean-Guy P.L.Q./Q.L.P.;Villemaire Fabien O.N. - P.I.Q.;B.V.;B.R.;
213;Marie-Victorin;2014-04-07;G;Longueuil, v;16;;1;476;2;60;28;5;1;41;62;1;200;0;
213;Marie-Victorin;2014-04-07;G;Longueuil, v;16;Regr. BVO-1;2;0;0;0;0;0;0;0;0;0;0;0;
213;Marie-Victorin;2014-04-07;G;Longueuil, v;16;;3;356;1;56;23;6;1;54;64;0;205;6;
213;Marie-Victorin;2014-04-07;G;Longueuil, v;16;;4;369;1;62;10;4;0;45;52;4;178;6;
213;Marie-Victorin;2014-04-07;G;Longueuil, v;16;Regr. BVO-6;5;0;0;0;0;0;0;0;0;0;0;0;
213;Marie-Victorin;2014-04-07;G;Longueuil, v;16;;6;344;0;58;33;3;0;29;37;0;160;0;
213;Marie-Victorin;2014-04-07;G;Longueuil, v;16;;7;336;1;53;36;4;0;32;43;3;172;5;
213;Marie-Victorin;2014-04-07;G;Longueuil, v;16;;8;339;1;59;40;7;0;51;26;1;185;4;
213;Marie-Victorin;2014-04-07;G;Longueuil, v;17;;9;320;1;30;6;1;1;28;84;1;152;3;
213;Marie-Victorin;2014-04-07;G;Longueuil, v;17;;10;364;1;43;21;2;0;19;58;0;144;1;
213;Marie-Victorin;2014-04-07;G;Longueuil, v;17;;11;318;0;35;11;5;0;32;69;0;152;3;
213;Marie-Victorin;2014-04-07;G;Longueuil, v;17;;12;336;1;33;8;3;0;33;76;0;154;2;
213;Marie-Victorin;2014-04-07;G;Longueuil, v;17;;13;326;0;42;10;0;0;33;70;0;155;3;
213;Marie-Victorin;2014-04-07;G;Longueuil, v;17;;14;254;0;29;16;2;1;15;63;0;126;2;
213;Marie-Victorin;2014-04-07;G;Longueuil, v;18;;15;399;2;57;12;3;0;45;46;0;165;1;
213;Marie-Victorin;2014-04-07;G;Longueuil, v;18;;16;380;1;57;17;3;0;35;63;2;178;2;
213;Marie-Victorin;2014-04-07;G;Longueuil, v;18;;17;321;0;50;0;0;1;26;39;0;116;0;
213;Marie-Victorin;2014-04-07;G;Longueuil, v;18;;18;325;0;36;12;2;0;44;58;0;152;2;
213;Marie-Victorin;2014-04-07;G;Longueuil, v;18;;19;377;0;48;18;2;0;34;40;4;146;4;
