Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bisaillon-Roy Thierry P.N.;Crespi Pierre Ennio É.A.P. - P.C.Q.;Fortin Élisabeth P.Q.;Ouimet François P.L.Q./Q.L.P.;Paquette Maude O.N. - P.I.Q.;Raymond-Dufour Marie-France Q.S.;Symon John P.V.Q./G.P.Q.;Thériault Marc C.A.Q.-É.F.L.;B.V.;B.R.;
407;Marquette;2014-04-07;G;Dorval, v;1;;1;379;1;0;8;159;1;4;8;32;213;0;
407;Marquette;2014-04-07;G;Dorval, v;1;;2;387;1;3;14;186;0;3;6;15;228;0;
407;Marquette;2014-04-07;G;Dorval, v;1;;3;369;1;13;10;163;0;2;2;9;200;0;
407;Marquette;2014-04-07;G;Dorval, v;1;;4;379;0;0;10;152;0;7;8;14;191;0;
407;Marquette;2014-04-07;G;Dorval, v;1;;5;389;1;1;5;181;2;9;1;20;220;0;
407;Marquette;2014-04-07;G;Dorval, v;1;;6;413;1;6;11;179;1;11;12;27;248;1;
407;Marquette;2014-04-07;G;Dorval, v;1;;7;392;0;1;17;158;0;12;2;16;206;0;
407;Marquette;2014-04-07;G;Dorval, v;2;;8;440;3;1;19;188;1;11;9;26;258;0;
407;Marquette;2014-04-07;G;Dorval, v;2;;9;410;6;3;12;165;0;7;6;26;225;4;
407;Marquette;2014-04-07;G;Dorval, v;2;;10;408;2;1;3;217;0;9;11;10;253;0;
407;Marquette;2014-04-07;G;Dorval, v;2;;11;401;0;2;7;203;0;5;7;22;246;0;
407;Marquette;2014-04-07;G;Dorval, v;2;;12;410;3;4;12;174;0;18;7;22;240;3;
407;Marquette;2014-04-07;G;Dorval, v;3;;13;346;1;2;9;163;1;11;9;16;212;0;
407;Marquette;2014-04-07;G;Dorval, v;3;;14;344;1;0;17;150;1;6;9;11;195;1;
407;Marquette;2014-04-07;G;Dorval, v;3;;15;361;0;1;8;167;0;5;6;6;193;0;
407;Marquette;2014-04-07;G;Dorval, v;3;;16;361;0;1;10;159;0;6;4;20;200;1;
407;Marquette;2014-04-07;G;Dorval, v;3;;17;378;1;0;5;178;1;7;3;14;209;1;
407;Marquette;2014-04-07;G;Dorval, v;4;;18;341;0;1;13;174;1;5;6;23;223;1;
407;Marquette;2014-04-07;G;Dorval, v;4;;19;395;2;0;5;172;1;6;8;17;211;0;
407;Marquette;2014-04-07;G;Dorval, v;4;;20;379;1;0;16;171;0;4;5;31;228;3;
407;Marquette;2014-04-07;G;Dorval, v;4;;21;368;1;1;3;134;0;8;3;17;167;1;
407;Marquette;2014-04-07;G;Dorval, v;4;;22;363;0;0;8;122;0;4;4;13;151;0;
407;Marquette;2014-04-07;G;Dorval, v;4;;23;375;1;0;6;164;1;3;3;14;192;2;
