Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bugeaud Pierre-Alexandre O.N. - P.I.Q.;Féné Wenet P.L.Q./Q.L.P.;Gadoury Hamelin Diane P.Q.;Giroux Éric É.A.P. - P.C.Q.;Lemay Mathieu C.A.Q.-É.F.L.;St-Pierre Joëlle Q.S.;B.V.;B.R.;
465;Masson;2014-04-07;G;Terrebonne, v;1;;1;320;2;22;59;2;86;5;176;3;
465;Masson;2014-04-07;G;Terrebonne, v;1;;2;282;0;27;57;0;72;14;170;11;
465;Masson;2014-04-07;G;Terrebonne, v;1;;3;272;2;15;63;3;56;11;150;2;
465;Masson;2014-04-07;G;Terrebonne, v;1;;4;281;2;24;49;3;61;4;143;4;
465;Masson;2014-04-07;G;Terrebonne, v;1;;5;324;2;26;54;1;63;19;165;5;
465;Masson;2014-04-07;G;Terrebonne, v;1;;6;273;2;13;53;2;70;9;149;3;
465;Masson;2014-04-07;G;Terrebonne, v;1;;7;271;1;24;43;1;40;11;120;4;
465;Masson;2014-04-07;G;Terrebonne, v;2;;8;288;0;25;70;1;37;6;139;3;
465;Masson;2014-04-07;G;Terrebonne, v;2;;9;305;4;11;54;4;67;10;150;6;
465;Masson;2014-04-07;G;Terrebonne, v;2;;10;299;1;13;52;0;70;11;147;3;
465;Masson;2014-04-07;G;Terrebonne, v;2;;11;298;1;20;68;2;53;9;153;0;
465;Masson;2014-04-07;G;Terrebonne, v;2;;12;289;3;16;61;2;54;13;149;4;
465;Masson;2014-04-07;G;Terrebonne, v;2;;13;304;5;23;76;0;46;8;158;3;
465;Masson;2014-04-07;G;Terrebonne, v;2;;14;310;1;18;71;3;66;13;172;3;
465;Masson;2014-04-07;G;Terrebonne, v;2;;15;323;3;31;62;0;74;11;181;3;
465;Masson;2014-04-07;G;Terrebonne, v;2;;16;308;3;32;74;1;71;7;188;5;
465;Masson;2014-04-07;G;Terrebonne, v;2;;17;302;1;38;56;0;69;6;170;3;
465;Masson;2014-04-07;G;Terrebonne, v;3;;18;309;1;48;63;0;67;5;184;5;
465;Masson;2014-04-07;G;Terrebonne, v;3;;19;307;0;41;64;3;52;7;167;8;
465;Masson;2014-04-07;G;Terrebonne, v;3;;20;316;1;29;61;1;61;8;161;4;
465;Masson;2014-04-07;G;Terrebonne, v;3;;21;306;1;30;57;2;70;8;168;4;
465;Masson;2014-04-07;G;Terrebonne, v;3;;22;307;2;28;49;0;54;7;140;7;
465;Masson;2014-04-07;G;Terrebonne, v;3;;23;297;0;27;62;2;56;8;155;4;
465;Masson;2014-04-07;G;Terrebonne, v;3;;24;311;1;24;73;0;64;12;174;7;
465;Masson;2014-04-07;G;Terrebonne, v;3;;25;381;3;26;67;0;61;9;166;5;
465;Masson;2014-04-07;G;Terrebonne, v;3;;26;305;2;26;53;1;60;15;157;4;
