Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bérubé Pascal P.Q.;Gobeil-Nadon Yann C.A.Q.-É.F.L.;Gravel Dave P.L.Q./Q.L.P.;Tremblay Gérald Q.S.;Vadeboncoeur Harrison Joëlle O.N. - P.I.Q.;B.V.;B.R.;
711;Matane-Matapédia;2014-04-07;G;Les Méchins, m;1;;1;326;120;17;32;2;0;171;4;
711;Matane-Matapédia;2014-04-07;G;Les Méchins, m;1;;2;293;112;9;36;3;0;160;2;
711;Matane-Matapédia;2014-04-07;G;Les Méchins, m;1;;3;294;102;13;31;2;0;148;0;
711;Matane-Matapédia;2014-04-07;G;Grosses-Roches, m;1;;4;355;108;16;29;4;5;162;1;
711;Matane-Matapédia;2014-04-07;G;Saint-Jean-de-Cherbourg, p;1;;5;151;59;4;8;3;0;74;1;
711;Matane-Matapédia;2014-04-07;G;Sainte-Félicité, m;1;;6;313;120;20;37;8;2;187;4;
711;Matane-Matapédia;2014-04-07;G;Sainte-Félicité, m;1;;7;299;101;19;32;3;2;157;0;
711;Matane-Matapédia;2014-04-07;G;Sainte-Félicité, m;1;;8;307;136;18;23;5;0;182;1;
711;Matane-Matapédia;2014-04-07;G;Saint-Adelme, p;1;;9;384;147;19;49;10;1;226;3;
711;Matane-Matapédia;2014-04-07;G;Saint-René-de-Matane, m;1;;10;279;98;20;22;11;1;152;2;
711;Matane-Matapédia;2014-04-07;G;Saint-René-de-Matane, m;1;;11;265;92;16;29;3;2;142;2;
711;Matane-Matapédia;2014-04-07;G;Saint-René-de-Matane, m;1;;12;295;101;19;30;3;0;153;2;
711;Matane-Matapédia;2014-04-07;G;Matane, v;1;;13;302;117;17;23;10;0;167;1;
711;Matane-Matapédia;2014-04-07;G;Matane, v;1;;14;310;85;18;38;6;0;147;3;
711;Matane-Matapédia;2014-04-07;G;Matane, v;1;;15;296;52;13;33;8;0;106;7;
711;Matane-Matapédia;2014-04-07;G;Matane, v;1;;16;300;62;4;16;6;0;88;1;
711;Matane-Matapédia;2014-04-07;G;Matane, v;1;;17;321;75;11;18;6;0;110;0;
711;Matane-Matapédia;2014-04-07;G;Matane, v;1;;18;324;79;10;22;6;1;118;1;
711;Matane-Matapédia;2014-04-07;G;Matane, v;1;;19;293;102;3;31;4;0;140;3;
711;Matane-Matapédia;2014-04-07;G;Matane, v;2;;20;370;117;20;51;3;0;191;5;
711;Matane-Matapédia;2014-04-07;G;Matane, v;2;;21;396;147;6;43;5;0;201;2;
711;Matane-Matapédia;2014-04-07;G;Matane, v;2;;22;389;141;7;32;4;0;184;4;
711;Matane-Matapédia;2014-04-07;G;Matane, v;2;;23;403;113;24;40;11;3;191;2;
711;Matane-Matapédia;2014-04-07;G;Matane, v;3;;24;372;106;16;35;9;2;168;5;
711;Matane-Matapédia;2014-04-07;G;Matane, v;3;Regr. BVO-26;25;0;0;0;0;0;0;0;0;
711;Matane-Matapédia;2014-04-07;G;Matane, v;3;;26;457;82;12;24;7;2;127;2;
711;Matane-Matapédia;2014-04-07;G;Matane, v;3;Regr. BVO-28;27;0;0;0;0;0;0;0;0;
711;Matane-Matapédia;2014-04-07;G;Matane, v;3;;28;414;91;4;27;7;1;130;2;
711;Matane-Matapédia;2014-04-07;G;Matane, v;4;;29;360;125;15;35;9;2;186;1;
711;Matane-Matapédia;2014-04-07;G;Matane, v;4;;30;354;120;17;35;8;0;180;1;
711;Matane-Matapédia;2014-04-07;G;Matane, v;4;;31;359;110;16;38;8;0;172;4;
711;Matane-Matapédia;2014-04-07;G;Matane, v;4;;32;365;122;9;35;11;1;178;5;
711;Matane-Matapédia;2014-04-07;G;Matane, v;4;;33;361;113;18;20;16;4;171;3;
711;Matane-Matapédia;2014-04-07;G;Matane, v;4;;34;370;136;14;28;11;1;190;2;
711;Matane-Matapédia;2014-04-07;G;Matane, v;5;;35;390;104;7;21;6;1;139;2;
711;Matane-Matapédia;2014-04-07;G;Matane, v;5;;36;358;118;10;22;7;1;158;1;
711;Matane-Matapédia;2014-04-07;G;Matane, v;5;;37;346;94;11;25;13;0;143;2;
711;Matane-Matapédia;2014-04-07;G;Matane, v;5;;38;361;130;15;24;10;3;182;3;
711;Matane-Matapédia;2014-04-07;G;Matane, v;5;;39;376;95;18;44;7;0;164;2;
711;Matane-Matapédia;2014-04-07;G;Matane, v;5;;40;358;141;13;35;4;0;193;7;
711;Matane-Matapédia;2014-04-07;G;Matane, v;6;;41;359;103;26;36;7;1;173;5;
711;Matane-Matapédia;2014-04-07;G;Matane, v;6;;42;364;134;23;26;4;1;188;1;
711;Matane-Matapédia;2014-04-07;G;Matane, v;6;;43;360;123;8;36;2;2;171;1;
711;Matane-Matapédia;2014-04-07;G;Matane, v;6;;44;346;105;10;23;8;1;147;4;
711;Matane-Matapédia;2014-04-07;G;Matane, v;6;;45;365;121;10;16;4;1;152;5;
711;Matane-Matapédia;2014-04-07;G;Matane, v;6;;46;357;138;11;34;6;0;189;1;
