Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Benhabib Djemila P.Q.;Charbonneau Francine P.L.Q./Q.L.P.;Jitaru Bianca P.V.Q./G.P.Q.;Loranger Sylvain C.A.Q.-É.F.L.;Mirabella David É.A.P. - P.C.Q.;Paradis Anik Q.S.;Rieussec Maël O.N. - P.I.Q.;B.V.;B.R.;
451;Mille-Îles;2014-04-07;G;Laval, v;77;;1;378;72;108;5;36;0;17;2;240;3;
451;Mille-Îles;2014-04-07;G;Laval, v;77;;2;363;52;97;2;40;0;13;0;204;0;
451;Mille-Îles;2014-04-07;G;Laval, v;77;;3;372;53;112;6;47;1;14;0;233;4;
451;Mille-Îles;2014-04-07;G;Laval, v;77;;4;365;45;101;3;38;0;14;0;201;2;
451;Mille-Îles;2014-04-07;G;Laval, v;77;;5;387;49;138;1;41;0;11;1;241;2;
451;Mille-Îles;2014-04-07;G;Laval, v;77;;6;376;50;140;2;34;0;7;0;233;1;
451;Mille-Îles;2014-04-07;G;Laval, v;77;;7;377;51;122;3;43;0;15;1;235;1;
451;Mille-Îles;2014-04-07;G;Laval, v;78;;8;388;53;94;2;51;0;12;1;213;4;
451;Mille-Îles;2014-04-07;G;Laval, v;78;;9;404;83;102;3;50;0;12;0;250;5;
451;Mille-Îles;2014-04-07;G;Laval, v;78;;10;388;75;99;1;43;0;13;0;231;1;
451;Mille-Îles;2014-04-07;G;Laval, v;78;;11;384;60;62;3;53;0;14;0;192;3;
451;Mille-Îles;2014-04-07;G;Laval, v;78;;12;388;79;101;3;34;0;16;1;234;7;
451;Mille-Îles;2014-04-07;G;Laval, v;78;;13;385;65;106;1;57;0;18;1;248;2;
451;Mille-Îles;2014-04-07;G;Laval, v;78;;14;392;40;173;0;44;1;9;0;267;2;
451;Mille-Îles;2014-04-07;G;Laval, v;79;;15;393;56;147;1;25;1;9;0;239;3;
451;Mille-Îles;2014-04-07;G;Laval, v;79;;16;369;24;184;0;19;0;4;0;231;1;
451;Mille-Îles;2014-04-07;G;Laval, v;79;;17;373;60;112;1;25;0;15;1;214;5;
451;Mille-Îles;2014-04-07;G;Laval, v;79;;18;380;54;133;2;38;0;13;0;240;3;
451;Mille-Îles;2014-04-07;G;Laval, v;79;;19;371;57;131;2;36;1;18;1;246;1;
451;Mille-Îles;2014-04-07;G;Laval, v;79;;20;366;49;154;6;34;0;11;0;254;4;
451;Mille-Îles;2014-04-07;G;Laval, v;79;;21;396;60;154;2;41;1;9;0;267;2;
