Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Beaudoin Denise P.Q.;Boisvert Ismaël P.L.Q./Q.L.P.;D'Amours Sylvie C.A.Q.-É.F.L.;Jaccoud Mylène Q.S.;Jean-Louis Curtis O.N. - P.I.Q.;Linskiy Andre É.A.P. - P.C.Q.;B.V.;B.R.;
495;Mirabel;2014-04-07;G;Saint-Placide, m;1;;1;350;86;25;84;29;2;1;227;4;
495;Mirabel;2014-04-07;G;Saint-Placide, m;1;;2;331;66;44;70;16;1;0;197;4;
495;Mirabel;2014-04-07;G;Saint-Placide, m;1;;3;341;79;37;89;14;2;0;221;0;
495;Mirabel;2014-04-07;G;Saint-Placide, m;1;;4;333;80;29;75;11;1;0;196;1;
495;Mirabel;2014-04-07;G;Oka, m;1;;5;324;46;20;49;17;0;0;132;5;
495;Mirabel;2014-04-07;G;Oka, m;1;;6;322;52;41;54;18;0;0;165;3;
495;Mirabel;2014-04-07;G;Oka, m;1;;7;329;46;34;69;18;1;0;168;1;
495;Mirabel;2014-04-07;G;Oka, m;1;;8;337;67;28;74;11;0;2;182;2;
495;Mirabel;2014-04-07;G;Oka, m;1;;9;326;46;33;85;17;2;3;186;1;
495;Mirabel;2014-04-07;G;Oka, m;1;;10;325;58;26;82;24;0;1;191;3;
495;Mirabel;2014-04-07;G;Oka, m;1;;11;336;62;38;76;8;3;0;187;7;
495;Mirabel;2014-04-07;G;Oka, m;1;;12;311;48;32;56;6;0;1;143;7;
495;Mirabel;2014-04-07;G;Oka, m;1;;13;329;74;30;74;16;0;2;196;2;
495;Mirabel;2014-04-07;G;Pointe-Calumet, m;1;;14;326;78;19;84;6;1;1;189;4;
495;Mirabel;2014-04-07;G;Pointe-Calumet, m;1;;15;324;70;22;60;8;1;2;163;6;
495;Mirabel;2014-04-07;G;Pointe-Calumet, m;1;;16;329;56;27;72;7;2;1;165;7;
495;Mirabel;2014-04-07;G;Pointe-Calumet, m;1;;17;317;67;22;66;12;2;3;172;0;
495;Mirabel;2014-04-07;G;Pointe-Calumet, m;1;;18;319;59;34;78;7;0;1;179;6;
495;Mirabel;2014-04-07;G;Pointe-Calumet, m;1;;19;313;65;24;74;10;0;0;173;8;
495;Mirabel;2014-04-07;G;Pointe-Calumet, m;1;;20;352;70;23;73;8;0;1;175;5;
495;Mirabel;2014-04-07;G;Pointe-Calumet, m;1;;21;327;67;26;92;11;2;0;198;5;
495;Mirabel;2014-04-07;G;Pointe-Calumet, m;2;;22;315;65;29;44;12;2;4;156;3;
495;Mirabel;2014-04-07;G;Pointe-Calumet, m;2;;23;330;68;38;61;8;1;1;177;3;
495;Mirabel;2014-04-07;G;Pointe-Calumet, m;2;;24;312;64;27;47;9;1;0;148;3;
495;Mirabel;2014-04-07;G;Pointe-Calumet, m;2;;25;299;61;27;65;7;2;1;163;7;
495;Mirabel;2014-04-07;G;Pointe-Calumet, m;2;;26;308;64;41;68;11;2;0;186;5;
495;Mirabel;2014-04-07;G;Pointe-Calumet, m;2;;27;305;52;20;59;15;0;1;147;8;
495;Mirabel;2014-04-07;G;Pointe-Calumet, m;2;;28;333;64;40;55;8;3;0;170;8;
495;Mirabel;2014-04-07;G;Sainte-Marthe-sur-le-Lac, v;1;;29;372;91;42;76;13;1;2;225;4;
495;Mirabel;2014-04-07;G;Sainte-Marthe-sur-le-Lac, v;1;;30;428;76;42;100;13;1;2;234;4;
495;Mirabel;2014-04-07;G;Sainte-Marthe-sur-le-Lac, v;1;;31;339;47;22;67;13;1;0;150;3;
495;Mirabel;2014-04-07;G;Sainte-Marthe-sur-le-Lac, v;1;;32;317;44;19;54;16;1;1;135;2;
495;Mirabel;2014-04-07;G;Sainte-Marthe-sur-le-Lac, v;1;;33;331;64;30;58;13;0;0;165;8;
495;Mirabel;2014-04-07;G;Sainte-Marthe-sur-le-Lac, v;1;;34;336;60;27;55;5;3;1;151;8;
495;Mirabel;2014-04-07;G;Sainte-Marthe-sur-le-Lac, v;1;;35;327;58;28;61;14;0;0;161;5;
495;Mirabel;2014-04-07;G;Sainte-Marthe-sur-le-Lac, v;1;;36;321;61;41;66;13;0;2;183;5;
495;Mirabel;2014-04-07;G;Sainte-Marthe-sur-le-Lac, v;1;;37;322;65;29;50;11;1;1;157;5;
495;Mirabel;2014-04-07;G;Sainte-Marthe-sur-le-Lac, v;1;;38A;231;34;24;54;7;0;0;119;2;
495;Mirabel;2014-04-07;G;Sainte-Marthe-sur-le-Lac, v;1;;38B;267;32;58;57;4;0;0;151;4;
495;Mirabel;2014-04-07;G;Sainte-Marthe-sur-le-Lac, v;1;;39;330;48;44;46;11;1;0;150;6;
495;Mirabel;2014-04-07;G;Sainte-Marthe-sur-le-Lac, v;1;;40;329;67;34;95;13;0;3;212;7;
495;Mirabel;2014-04-07;G;Sainte-Marthe-sur-le-Lac, v;1;;41;330;61;49;61;14;0;1;186;5;
495;Mirabel;2014-04-07;G;Sainte-Marthe-sur-le-Lac, v;1;;42;332;75;31;67;15;0;1;189;1;
495;Mirabel;2014-04-07;G;Sainte-Marthe-sur-le-Lac, v;1;;43;346;49;47;90;12;0;1;199;4;
495;Mirabel;2014-04-07;G;Sainte-Marthe-sur-le-Lac, v;1;;44;407;77;33;117;13;1;0;241;8;
495;Mirabel;2014-04-07;G;Sainte-Marthe-sur-le-Lac, v;1;;45;347;65;51;105;10;1;1;233;3;
495;Mirabel;2014-04-07;G;Sainte-Marthe-sur-le-Lac, v;1;;46;342;52;40;86;8;1;0;187;4;
495;Mirabel;2014-04-07;G;Sainte-Marthe-sur-le-Lac, v;1;;47;388;59;51;74;8;1;0;193;3;
495;Mirabel;2014-04-07;G;Sainte-Marthe-sur-le-Lac, v;1;;48;331;59;29;57;16;1;0;162;0;
495;Mirabel;2014-04-07;G;Sainte-Marthe-sur-le-Lac, v;1;;49;312;61;27;50;8;1;3;150;5;
495;Mirabel;2014-04-07;G;Sainte-Marthe-sur-le-Lac, v;1;;50;324;47;26;79;14;1;0;167;4;
495;Mirabel;2014-04-07;G;Sainte-Marthe-sur-le-Lac, v;1;;51;368;49;35;85;16;0;0;185;8;
495;Mirabel;2014-04-07;G;Sainte-Marthe-sur-le-Lac, v;2;;52;335;65;34;56;16;2;1;174;6;
495;Mirabel;2014-04-07;G;Sainte-Marthe-sur-le-Lac, v;2;;53;360;67;31;48;15;5;2;168;2;
495;Mirabel;2014-04-07;G;Sainte-Marthe-sur-le-Lac, v;2;;54;357;58;25;70;20;5;3;181;1;
495;Mirabel;2014-04-07;G;Sainte-Marthe-sur-le-Lac, v;2;;55;361;86;41;70;20;0;0;217;7;
495;Mirabel;2014-04-07;G;Sainte-Marthe-sur-le-Lac, v;2;;56;311;69;55;51;16;0;0;191;3;
495;Mirabel;2014-04-07;G;Sainte-Marthe-sur-le-Lac, v;2;;57;330;59;41;54;9;2;3;168;3;
495;Mirabel;2014-04-07;G;Sainte-Marthe-sur-le-Lac, v;2;;58;341;51;27;79;11;2;3;173;3;
495;Mirabel;2014-04-07;G;Sainte-Marthe-sur-le-Lac, v;2;;59A;263;39;34;53;8;0;3;137;4;
495;Mirabel;2014-04-07;G;Sainte-Marthe-sur-le-Lac, v;2;;59B;166;28;30;35;2;0;2;97;2;
495;Mirabel;2014-04-07;G;Sainte-Marthe-sur-le-Lac, v;2;;60;332;80;51;56;8;0;1;196;7;
495;Mirabel;2014-04-07;G;Sainte-Marthe-sur-le-Lac, v;2;;61A;334;54;40;78;5;1;0;178;10;
495;Mirabel;2014-04-07;G;Sainte-Marthe-sur-le-Lac, v;2;;61B;221;44;45;47;5;0;0;141;3;
495;Mirabel;2014-04-07;G;Sainte-Marthe-sur-le-Lac, v;2;;62;335;56;39;64;8;1;2;170;2;
495;Mirabel;2014-04-07;G;Sainte-Marthe-sur-le-Lac, v;2;;63;294;37;45;76;15;0;3;176;1;
495;Mirabel;2014-04-07;G;Saint-Joseph-du-Lac, m;1;;64;354;60;41;115;13;0;0;229;2;
495;Mirabel;2014-04-07;G;Saint-Joseph-du-Lac, m;1;;65;328;87;44;72;8;0;0;211;3;
495;Mirabel;2014-04-07;G;Saint-Joseph-du-Lac, m;1;;66;329;85;28;97;13;0;0;223;4;
495;Mirabel;2014-04-07;G;Saint-Joseph-du-Lac, m;1;;67;357;88;35;90;16;1;2;232;3;
495;Mirabel;2014-04-07;G;Saint-Joseph-du-Lac, m;1;;68;330;52;43;62;11;1;2;171;2;
495;Mirabel;2014-04-07;G;Saint-Joseph-du-Lac, m;1;;69;337;80;30;86;10;2;2;210;6;
495;Mirabel;2014-04-07;G;Saint-Joseph-du-Lac, m;1;;70;331;52;32;100;11;0;0;195;7;
495;Mirabel;2014-04-07;G;Saint-Joseph-du-Lac, m;1;;71;324;54;38;87;17;0;0;196;3;
495;Mirabel;2014-04-07;G;Saint-Joseph-du-Lac, m;1;;72;362;60;37;96;5;1;5;204;3;
495;Mirabel;2014-04-07;G;Saint-Joseph-du-Lac, m;1;;73;415;77;28;130;14;0;1;250;3;
495;Mirabel;2014-04-07;G;Saint-Joseph-du-Lac, m;1;;74;405;76;36;85;14;0;2;213;6;
495;Mirabel;2014-04-07;G;Saint-Joseph-du-Lac, m;1;;75;351;67;27;54;8;0;1;157;8;
495;Mirabel;2014-04-07;G;Saint-Joseph-du-Lac, m;1;;76;351;57;45;93;11;0;0;206;6;
495;Mirabel;2014-04-07;G;Saint-Joseph-du-Lac, m;1;;77;394;70;31;77;8;1;1;188;2;
495;Mirabel;2014-04-07;G;Mirabel, v;1;;78;316;58;41;75;12;1;0;187;0;
495;Mirabel;2014-04-07;G;Mirabel, v;1;;79;366;92;46;114;5;1;0;258;8;
495;Mirabel;2014-04-07;G;Mirabel, v;1;;80;335;63;50;71;8;1;0;193;2;
495;Mirabel;2014-04-07;G;Mirabel, v;1;;81;312;88;32;69;19;0;0;208;2;
495;Mirabel;2014-04-07;G;Mirabel, v;1;;82;335;57;41;104;18;1;5;226;4;
495;Mirabel;2014-04-07;G;Mirabel, v;1;;83;368;71;24;98;13;0;1;207;4;
495;Mirabel;2014-04-07;G;Mirabel, v;1;Regr. BVO-83;84;0;0;0;0;0;0;0;0;0;
495;Mirabel;2014-04-07;G;Mirabel, v;1;;85;344;81;25;114;14;0;1;235;4;
495;Mirabel;2014-04-07;G;Mirabel, v;1;;86;307;40;37;98;13;3;2;193;4;
495;Mirabel;2014-04-07;G;Mirabel, v;2;;87;303;51;24;87;18;0;0;180;1;
495;Mirabel;2014-04-07;G;Mirabel, v;2;;88;344;56;30;88;4;4;1;183;1;
495;Mirabel;2014-04-07;G;Mirabel, v;2;;89;333;46;29;63;8;1;1;148;7;
495;Mirabel;2014-04-07;G;Mirabel, v;2;;90;313;46;20;58;9;0;1;134;6;
495;Mirabel;2014-04-07;G;Mirabel, v;2;;91;328;57;45;89;10;0;2;203;2;
495;Mirabel;2014-04-07;G;Mirabel, v;2;;92A;254;35;15;81;5;1;1;138;3;
495;Mirabel;2014-04-07;G;Mirabel, v;2;;92B;216;28;25;41;4;2;1;101;0;
495;Mirabel;2014-04-07;G;Mirabel, v;2;;93A;243;19;31;66;10;0;0;126;1;
495;Mirabel;2014-04-07;G;Mirabel, v;2;;93B;275;47;38;63;8;1;2;159;2;
495;Mirabel;2014-04-07;G;Mirabel, v;2;;94;322;46;33;93;8;2;2;184;7;
495;Mirabel;2014-04-07;G;Mirabel, v;2;;95;352;54;44;90;9;0;1;198;3;
495;Mirabel;2014-04-07;G;Mirabel, v;2;;96;318;42;37;87;3;1;0;170;4;
495;Mirabel;2014-04-07;G;Mirabel, v;2;;97;301;68;35;97;11;0;1;212;0;
495;Mirabel;2014-04-07;G;Mirabel, v;2;;98;324;63;38;101;7;1;1;211;0;
495;Mirabel;2014-04-07;G;Mirabel, v;2;;99;348;68;38;93;9;0;0;208;1;
495;Mirabel;2014-04-07;G;Mirabel, v;2;;100;370;90;48;93;11;1;2;245;5;
495;Mirabel;2014-04-07;G;Mirabel, v;2;;101A;252;38;48;72;12;1;1;172;2;
495;Mirabel;2014-04-07;G;Mirabel, v;2;;101B;305;63;29;75;10;2;0;179;2;
495;Mirabel;2014-04-07;G;Mirabel, v;2;;102A;259;50;27;71;5;1;0;154;3;
495;Mirabel;2014-04-07;G;Mirabel, v;2;;102B;273;39;13;84;10;0;1;147;4;
495;Mirabel;2014-04-07;G;Mirabel, v;2;;103;354;71;25;65;11;1;0;173;2;
495;Mirabel;2014-04-07;G;Mirabel, v;2;;104A;404;55;34;101;15;0;3;208;1;
495;Mirabel;2014-04-07;G;Mirabel, v;2;;104B;423;61;25;94;14;1;0;195;4;
495;Mirabel;2014-04-07;G;Mirabel, v;2;;104C;245;38;16;63;7;0;2;126;0;
495;Mirabel;2014-04-07;G;Mirabel, v;2;;105;325;108;16;65;22;2;2;215;8;
495;Mirabel;2014-04-07;G;Mirabel, v;2;;106;345;81;28;92;11;1;1;214;2;
495;Mirabel;2014-04-07;G;Mirabel, v;3;;107;323;59;20;71;9;0;2;161;2;
495;Mirabel;2014-04-07;G;Mirabel, v;3;;108;318;42;39;81;9;7;0;178;3;
495;Mirabel;2014-04-07;G;Mirabel, v;3;;109;333;55;20;66;10;1;0;152;3;
