Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Arcand Pierre P.L.Q./Q.L.P.;Beauséjour Audrey P.Q.;Floch Hélène É.A.P. - P.C.Q.;Giraud Darryl L P.V.Q./G.P.Q.;Johnston Diane P.M.L.Q.;Leboeuf Jamilla C.A.Q.-É.F.L.;Semak Roy Q.S.;B.V.;B.R.;
419;Mont-Royal;2014-04-07;G;Mont-Royal, v;1;;1;367;131;6;0;3;1;12;4;157;2;
419;Mont-Royal;2014-04-07;G;Mont-Royal, v;1;;2;375;150;4;1;8;0;20;10;193;3;
419;Mont-Royal;2014-04-07;G;Mont-Royal, v;1;;3;343;144;3;1;3;0;12;3;166;0;
419;Mont-Royal;2014-04-07;G;Mont-Royal, v;1;;4;359;183;4;3;3;0;10;5;208;0;
419;Mont-Royal;2014-04-07;G;Mont-Royal, v;1;;5;371;159;3;1;2;0;12;6;183;1;
419;Mont-Royal;2014-04-07;G;Mont-Royal, v;1;;6;348;151;6;1;3;0;24;3;188;0;
419;Mont-Royal;2014-04-07;G;Mont-Royal, v;1;;7;363;152;7;2;2;0;24;3;190;3;
419;Mont-Royal;2014-04-07;G;Mont-Royal, v;2;;8;378;134;6;3;4;1;21;10;179;0;
419;Mont-Royal;2014-04-07;G;Mont-Royal, v;2;;9;386;137;8;1;5;0;26;7;184;4;
419;Mont-Royal;2014-04-07;G;Mont-Royal, v;2;;10;371;144;12;0;3;0;34;5;198;2;
419;Mont-Royal;2014-04-07;G;Mont-Royal, v;2;;11;425;173;14;0;4;0;31;14;236;0;
419;Mont-Royal;2014-04-07;G;Mont-Royal, v;2;;12;390;171;16;2;3;0;21;7;220;1;
419;Mont-Royal;2014-04-07;G;Mont-Royal, v;2;;13;398;156;8;0;5;0;24;8;201;3;
419;Mont-Royal;2014-04-07;G;Mont-Royal, v;3;;14;416;122;11;0;1;0;16;4;154;3;
419;Mont-Royal;2014-04-07;G;Mont-Royal, v;3;;15;353;111;13;1;4;0;27;11;167;0;
419;Mont-Royal;2014-04-07;G;Mont-Royal, v;3;;16;333;137;14;0;5;0;39;18;213;0;
419;Mont-Royal;2014-04-07;G;Mont-Royal, v;3;;17;371;168;6;1;3;2;10;1;191;4;
419;Mont-Royal;2014-04-07;G;Mont-Royal, v;3;;18;363;151;8;0;1;0;13;2;175;0;
419;Mont-Royal;2014-04-07;G;Mont-Royal, v;4;;19;406;179;9;5;5;0;11;2;211;2;
419;Mont-Royal;2014-04-07;G;Mont-Royal, v;4;;20;585;184;9;1;2;2;17;2;217;3;
419;Mont-Royal;2014-04-07;G;Mont-Royal, v;4;;21;405;172;11;3;2;0;33;15;236;2;
419;Mont-Royal;2014-04-07;G;Mont-Royal, v;4;;22;399;115;27;2;9;3;46;14;216;2;
419;Mont-Royal;2014-04-07;G;Mont-Royal, v;4;;23;388;165;9;2;5;0;25;2;208;0;
419;Mont-Royal;2014-04-07;G;Mont-Royal, v;5;;24;389;150;5;1;0;0;16;9;181;1;
