Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bernier Raymond P.L.Q./Q.L.P.;Bouchard Jean O.N. - P.I.Q.;Duchesneau Jean-Pierre Q.S.;Guimond Michel P.Q.;Parent Marielle P.V.Q./G.P.Q.;Pouliot Adrien É.A.P. - P.C.Q.;St-Laurent Michelyne C. C.A.Q.-É.F.L.;B.V.;B.R.;
673;Montmorency;2014-04-07;G;Québec, v;77;;1;274;40;1;4;17;0;1;52;115;0;
673;Montmorency;2014-04-07;G;Québec, v;77;;2;305;36;3;8;11;1;5;47;111;0;
673;Montmorency;2014-04-07;G;Québec, v;77;;3A;250;44;0;2;19;3;5;32;105;3;
673;Montmorency;2014-04-07;G;Québec, v;77;;3B;201;34;2;3;17;1;2;32;91;2;
673;Montmorency;2014-04-07;G;Québec, v;77;;4;286;57;0;13;21;3;5;46;145;5;
673;Montmorency;2014-04-07;G;Québec, v;77;;5;323;53;0;14;31;3;3;48;152;1;
673;Montmorency;2014-04-07;G;Québec, v;77;;6;316;57;1;16;36;2;4;58;174;4;
673;Montmorency;2014-04-07;G;Québec, v;78;;7;323;42;1;21;27;3;5;49;148;0;
673;Montmorency;2014-04-07;G;Québec, v;78;;8;296;45;0;0;12;1;1;16;75;1;
673;Montmorency;2014-04-07;G;Québec, v;78;;9;310;52;0;12;31;5;2;70;172;4;
673;Montmorency;2014-04-07;G;Québec, v;78;;10;302;52;1;5;24;3;7;76;168;2;
673;Montmorency;2014-04-07;G;Québec, v;78;;11;284;66;1;9;40;2;3;49;170;1;
673;Montmorency;2014-04-07;G;Québec, v;78;;12;311;64;0;10;26;4;5;36;145;0;
673;Montmorency;2014-04-07;G;Québec, v;78;;13;284;42;0;4;32;3;2;50;133;3;
673;Montmorency;2014-04-07;G;Québec, v;78;;14;293;46;2;18;11;4;2;42;125;1;
673;Montmorency;2014-04-07;G;Québec, v;79;;15;287;39;1;5;25;2;8;50;130;1;
673;Montmorency;2014-04-07;G;Québec, v;79;;16;298;60;1;10;25;3;1;54;154;3;
673;Montmorency;2014-04-07;G;Québec, v;79;;17;328;42;4;7;21;3;4;58;139;3;
673;Montmorency;2014-04-07;G;Québec, v;79;;18;302;33;1;5;22;1;1;41;104;0;
673;Montmorency;2014-04-07;G;Québec, v;79;;19;308;33;0;9;26;2;4;40;114;3;
673;Montmorency;2014-04-07;G;Québec, v;79;Regr. BVO-21;20;0;0;0;0;0;0;0;0;0;0;
673;Montmorency;2014-04-07;G;Québec, v;79;;21;372;71;0;12;37;3;6;52;181;3;
673;Montmorency;2014-04-07;G;Québec, v;79;;22;326;50;3;14;29;3;2;63;164;2;
673;Montmorency;2014-04-07;G;Québec, v;79;;23;294;32;1;7;19;2;3;68;132;1;
673;Montmorency;2014-04-07;G;Québec, v;80;;24;302;57;1;14;22;4;2;49;149;1;
673;Montmorency;2014-04-07;G;Québec, v;80;;25;415;80;4;12;34;3;3;66;202;4;
673;Montmorency;2014-04-07;G;Québec, v;80;;26;311;96;1;9;22;1;3;43;175;5;
673;Montmorency;2014-04-07;G;Québec, v;80;;27;311;79;0;9;23;1;1;70;183;1;
673;Montmorency;2014-04-07;G;Québec, v;80;;28;309;55;3;2;35;4;3;68;170;2;
673;Montmorency;2014-04-07;G;Québec, v;80;;29;309;58;2;5;25;1;8;60;159;2;
673;Montmorency;2014-04-07;G;Québec, v;80;;30;307;68;1;11;21;1;5;64;171;3;
673;Montmorency;2014-04-07;G;Québec, v;80;;31;346;54;1;9;30;4;2;47;147;3;
673;Montmorency;2014-04-07;G;Québec, v;81;;32A;208;44;0;5;17;0;4;24;94;0;
673;Montmorency;2014-04-07;G;Québec, v;81;;32B;308;59;2;10;24;1;1;51;148;1;
673;Montmorency;2014-04-07;G;Québec, v;81;;33;414;71;0;14;41;5;4;75;210;12;
673;Montmorency;2014-04-07;G;Québec, v;81;;34;289;35;1;9;19;1;1;47;113;4;
673;Montmorency;2014-04-07;G;Québec, v;81;;35;339;41;1;3;27;1;1;48;122;3;
673;Montmorency;2014-04-07;G;Québec, v;81;;36;312;52;0;11;25;0;3;52;143;3;
673;Montmorency;2014-04-07;G;Québec, v;81;;37;305;64;2;18;31;1;2;42;160;1;
673;Montmorency;2014-04-07;G;Québec, v;81;Regr. BVO-39;38;0;0;0;0;0;0;0;0;0;0;
673;Montmorency;2014-04-07;G;Québec, v;81;;39;331;48;0;17;38;0;6;42;151;4;
673;Montmorency;2014-04-07;G;Québec, v;81;;40;320;38;7;14;40;5;5;47;156;3;
673;Montmorency;2014-04-07;G;Québec, v;81;;41;299;50;0;11;26;3;3;38;131;4;
673;Montmorency;2014-04-07;G;Québec, v;81;;42;298;54;1;3;23;2;2;52;137;3;
673;Montmorency;2014-04-07;G;Québec, v;81;;43;408;77;2;14;42;4;6;66;211;0;
673;Montmorency;2014-04-07;G;Québec, v;81;;44;401;57;1;8;38;0;9;76;189;1;
673;Montmorency;2014-04-07;G;Québec, v;131;;45;338;62;0;4;27;2;1;67;163;2;
673;Montmorency;2014-04-07;G;Québec, v;131;;46;329;53;2;10;17;5;4;58;149;2;
673;Montmorency;2014-04-07;G;Québec, v;131;;47;322;54;0;3;32;1;4;85;179;3;
673;Montmorency;2014-04-07;G;Québec, v;131;;48;343;77;4;3;39;1;4;70;198;1;
673;Montmorency;2014-04-07;G;Québec, v;131;;49;317;58;0;14;26;5;2;69;174;3;
673;Montmorency;2014-04-07;G;Québec, v;131;;50;320;54;2;8;27;0;10;65;166;2;
673;Montmorency;2014-04-07;G;Québec, v;131;;51;326;42;1;5;38;0;2;56;144;2;
