Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Beaudin Évelyne O.N. - P.I.Q.;Bolduc Ghislain P.L.Q./Q.L.P.;Boulanger Pierre-Luc C.A.Q.-É.F.L.;Hallé Isabelle P.Q.;Nadeau Ludovick Q.S.;B.V.;B.R.;
103;Mégantic;2014-04-07;G;Lac-Mégantic, v;1;;1;321;3;51;44;72;9;179;1;
103;Mégantic;2014-04-07;G;Lac-Mégantic, v;1;;2;313;3;70;33;70;9;185;0;
103;Mégantic;2014-04-07;G;Lac-Mégantic, v;1;;3;283;2;48;20;41;6;117;0;
103;Mégantic;2014-04-07;G;Lac-Mégantic, v;1;;4;318;1;60;33;64;7;165;3;
103;Mégantic;2014-04-07;G;Lac-Mégantic, v;1;;5;302;6;59;33;62;7;167;1;
103;Mégantic;2014-04-07;G;Lac-Mégantic, v;1;;6;317;1;78;18;72;7;176;6;
103;Mégantic;2014-04-07;G;Lac-Mégantic, v;1;;7;361;2;55;24;83;3;167;2;
103;Mégantic;2014-04-07;G;Lac-Mégantic, v;1;Regr. BVO-7;8;0;0;0;0;0;0;0;0;
103;Mégantic;2014-04-07;G;Lac-Mégantic, v;1;;9;350;0;66;35;72;7;180;4;
103;Mégantic;2014-04-07;G;Lac-Mégantic, v;1;;10;324;2;40;28;90;11;171;1;
103;Mégantic;2014-04-07;G;Lac-Mégantic, v;1;;11;285;0;61;22;59;10;152;2;
103;Mégantic;2014-04-07;G;Lac-Mégantic, v;2;;12;443;1;43;33;65;5;147;1;
103;Mégantic;2014-04-07;G;Lac-Mégantic, v;2;Regr. BVO-12;13;0;0;0;0;0;0;0;0;
103;Mégantic;2014-04-07;G;Lac-Mégantic, v;2;;14;279;1;45;25;64;11;146;3;
103;Mégantic;2014-04-07;G;Lac-Mégantic, v;2;;15;219;1;29;15;46;7;98;3;
103;Mégantic;2014-04-07;G;Lac-Mégantic, v;2;;16;275;1;46;23;50;6;126;1;
103;Mégantic;2014-04-07;G;Lac-Mégantic, v;2;;17;286;2;48;27;65;6;148;3;
103;Mégantic;2014-04-07;G;Marston, ct;1;;18;274;1;58;39;48;11;157;4;
103;Mégantic;2014-04-07;G;Marston, ct;1;;19;253;0;61;36;48;8;153;3;
103;Mégantic;2014-04-07;G;Frontenac, m;1;;20;333;4;58;41;72;10;185;2;
103;Mégantic;2014-04-07;G;Frontenac, m;1;;21;315;0;54;30;58;6;148;2;
103;Mégantic;2014-04-07;G;Frontenac, m;1;;22;360;0;74;45;69;11;199;1;
