Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bénard Louis-David P.Q.;Bitton Albert C.A.Q.-É.F.L.;Bourassa Charles P.V.Q./G.P.Q.;Coiteux Martin P.L.Q./Q.L.P.;Landry François O.N. - P.I.Q.;Pinto Trevor É.A.P. - P.C.Q.;B.V.;B.R.;
411;Nelligan;2014-04-07;G;Kirkland, v;1;;1;325;3;11;2;189;1;0;206;0;
411;Nelligan;2014-04-07;G;Kirkland, v;1;;2;331;3;10;7;179;0;0;199;0;
411;Nelligan;2014-04-07;G;Kirkland, v;1;;3;316;3;12;2;162;1;0;180;0;
411;Nelligan;2014-04-07;G;Kirkland, v;1;;4;329;2;6;2;172;0;1;183;0;
411;Nelligan;2014-04-07;G;Kirkland, v;1;;5;349;5;5;4;189;0;0;203;1;
411;Nelligan;2014-04-07;G;Kirkland, v;1;;6;347;7;17;3;171;0;0;198;2;
411;Nelligan;2014-04-07;G;Kirkland, v;2;;7;364;3;15;5;218;0;1;242;0;
411;Nelligan;2014-04-07;G;Kirkland, v;2;;8;311;5;14;4;182;0;0;205;1;
411;Nelligan;2014-04-07;G;Kirkland, v;2;;9;322;1;9;8;188;1;0;207;0;
411;Nelligan;2014-04-07;G;Kirkland, v;2;;10;321;9;18;8;161;1;0;197;2;
411;Nelligan;2014-04-07;G;Kirkland, v;2;;11;293;10;12;5;161;1;1;190;1;
411;Nelligan;2014-04-07;G;Kirkland, v;2;;12;302;8;7;6;186;1;2;210;1;
411;Nelligan;2014-04-07;G;Kirkland, v;2;;13;321;0;14;3;194;0;2;213;1;
411;Nelligan;2014-04-07;G;Kirkland, v;2;;14;322;9;9;3;180;0;0;201;0;
411;Nelligan;2014-04-07;G;Kirkland, v;2;;15;317;0;9;2;101;0;0;112;0;
411;Nelligan;2014-04-07;G;Kirkland, v;2;;16;328;4;15;4;177;1;1;202;0;
411;Nelligan;2014-04-07;G;Kirkland, v;2;;17;347;2;10;0;181;2;0;195;0;
411;Nelligan;2014-04-07;G;Kirkland, v;3;;18;311;1;6;3;154;0;1;165;0;
411;Nelligan;2014-04-07;G;Kirkland, v;3;;19;334;4;8;5;188;1;0;206;0;
411;Nelligan;2014-04-07;G;Kirkland, v;3;;20;336;3;12;5;180;0;2;202;0;
411;Nelligan;2014-04-07;G;Kirkland, v;3;;21;343;7;24;8;172;0;4;215;0;
411;Nelligan;2014-04-07;G;Kirkland, v;3;;22;319;0;7;1;149;0;0;157;0;
411;Nelligan;2014-04-07;G;Kirkland, v;3;;23;345;6;13;9;158;0;0;186;1;
411;Nelligan;2014-04-07;G;Kirkland, v;3;;24;311;4;7;4;154;0;2;171;0;
411;Nelligan;2014-04-07;G;Kirkland, v;3;;25;343;5;12;6;172;0;0;195;1;
411;Nelligan;2014-04-07;G;Kirkland, v;3;;26;316;0;5;3;162;0;0;170;1;
411;Nelligan;2014-04-07;G;Kirkland, v;3;;27;352;3;7;2;178;1;0;191;2;
411;Nelligan;2014-04-07;G;Kirkland, v;3;;28;331;1;9;1;140;0;1;152;0;
411;Nelligan;2014-04-07;G;Kirkland, v;3;;29;336;2;5;1;184;1;0;193;1;
411;Nelligan;2014-04-07;G;Kirkland, v;3;;30;321;2;8;5;174;0;0;189;0;
411;Nelligan;2014-04-07;G;Kirkland, v;3;;31;334;7;4;2;161;0;0;174;0;
411;Nelligan;2014-04-07;G;Kirkland, v;3;;32;315;2;9;1;151;0;1;164;0;
411;Nelligan;2014-04-07;G;Kirkland, v;4;;33;379;10;9;4;197;0;3;223;0;
411;Nelligan;2014-04-07;G;Kirkland, v;4;;34;369;9;4;8;212;1;1;235;0;
411;Nelligan;2014-04-07;G;Kirkland, v;4;;35;367;4;11;6;197;1;0;219;0;
411;Nelligan;2014-04-07;G;Kirkland, v;4;;36;350;3;13;5;211;0;0;232;0;
411;Nelligan;2014-04-07;G;Kirkland, v;4;;37;378;7;8;10;201;2;1;229;1;
411;Nelligan;2014-04-07;G;Kirkland, v;4;;38;358;2;6;7;210;0;1;226;0;
411;Nelligan;2014-04-07;G;Kirkland, v;4;;39;366;8;16;7;170;0;0;201;0;
411;Nelligan;2014-04-07;G;Kirkland, v;4;;40;370;6;8;2;161;0;0;177;0;
411;Nelligan;2014-04-07;G;Kirkland, v;5;;41;351;4;18;4;208;0;1;235;0;
411;Nelligan;2014-04-07;G;Kirkland, v;5;;42;355;12;15;3;188;2;2;222;0;
411;Nelligan;2014-04-07;G;Kirkland, v;5;;43;356;2;11;5;197;1;2;218;0;
411;Nelligan;2014-04-07;G;Kirkland, v;5;;44;355;3;10;1;216;0;1;231;1;
411;Nelligan;2014-04-07;G;Kirkland, v;5;;45;527;5;16;3;177;0;1;202;0;
411;Nelligan;2014-04-07;G;Kirkland, v;5;Regr. BVO-45;46;0;0;0;0;0;0;0;0;0;
411;Nelligan;2014-04-07;G;Kirkland, v;5;;47;369;1;7;9;174;0;2;193;1;
411;Nelligan;2014-04-07;G;Montréal, v;1;Regr. BVO-49;48;0;0;0;0;0;0;0;0;0;
411;Nelligan;2014-04-07;G;Montréal, v;1;;49;474;15;23;4;197;1;1;241;2;
411;Nelligan;2014-04-07;G;Montréal, v;1;;50A;235;20;22;3;81;3;0;129;1;
411;Nelligan;2014-04-07;G;Montréal, v;1;;50B;218;15;31;3;74;0;1;124;2;
411;Nelligan;2014-04-07;G;Montréal, v;1;;51A;227;4;6;6;114;0;0;130;0;
411;Nelligan;2014-04-07;G;Montréal, v;1;;51B;260;8;8;1;143;0;0;160;1;
411;Nelligan;2014-04-07;G;Montréal, v;1;;52;386;13;13;4;209;1;3;243;1;
411;Nelligan;2014-04-07;G;Montréal, v;1;;53;404;6;17;8;199;0;0;230;1;
411;Nelligan;2014-04-07;G;Montréal, v;1;;54;417;12;27;5;210;0;1;255;0;
411;Nelligan;2014-04-07;G;Montréal, v;1;;55;408;13;34;6;230;0;1;284;2;
411;Nelligan;2014-04-07;G;Montréal, v;1;;56;413;7;26;8;215;0;0;256;3;
411;Nelligan;2014-04-07;G;Montréal, v;1;;57;402;18;21;5;195;1;0;240;1;
411;Nelligan;2014-04-07;G;Montréal, v;1;;58;403;8;17;7;209;1;1;243;1;
411;Nelligan;2014-04-07;G;Montréal, v;1;;59;418;22;37;8;190;2;1;260;3;
411;Nelligan;2014-04-07;G;Montréal, v;1;;60;393;2;15;7;208;0;1;233;1;
411;Nelligan;2014-04-07;G;Montréal, v;1;;61;402;14;14;5;155;1;3;192;1;
411;Nelligan;2014-04-07;G;Montréal, v;1;;62;420;8;25;6;175;0;0;214;1;
411;Nelligan;2014-04-07;G;Montréal, v;1;;63;374;28;18;9;128;1;1;185;1;
411;Nelligan;2014-04-07;G;Montréal, v;1;;64;398;19;31;3;197;1;0;251;0;
411;Nelligan;2014-04-07;G;Montréal, v;1;;65;423;10;19;6;259;2;2;298;2;
411;Nelligan;2014-04-07;G;Montréal, v;2;;66;414;10;23;6;212;1;0;252;5;
411;Nelligan;2014-04-07;G;Montréal, v;2;;67;407;12;17;3;215;0;1;248;1;
411;Nelligan;2014-04-07;G;Montréal, v;2;;68;417;11;21;5;258;1;0;296;1;
411;Nelligan;2014-04-07;G;Montréal, v;2;;69;400;19;23;10;198;1;4;255;2;
411;Nelligan;2014-04-07;G;Montréal, v;2;;70;399;13;39;8;202;4;1;267;0;
411;Nelligan;2014-04-07;G;Montréal, v;2;;71;415;14;28;9;218;0;1;270;2;
411;Nelligan;2014-04-07;G;Montréal, v;2;;72;390;11;27;2;206;0;1;247;4;
411;Nelligan;2014-04-07;G;Montréal, v;2;;73;391;8;18;5;210;0;1;242;0;
411;Nelligan;2014-04-07;G;Montréal, v;2;;74;407;9;25;1;218;1;2;256;2;
411;Nelligan;2014-04-07;G;Montréal, v;3;;75;378;12;24;9;181;0;0;226;1;
411;Nelligan;2014-04-07;G;Montréal, v;3;;76;370;13;25;4;181;1;2;226;2;
411;Nelligan;2014-04-07;G;Montréal, v;3;;77;386;8;14;5;152;0;1;180;1;
411;Nelligan;2014-04-07;G;Montréal, v;3;;78;383;7;19;5;167;1;0;199;1;
411;Nelligan;2014-04-07;G;Montréal, v;3;;79;397;9;5;4;232;2;1;253;0;
411;Nelligan;2014-04-07;G;Montréal, v;3;;80;420;21;36;2;197;3;0;259;3;
411;Nelligan;2014-04-07;G;Montréal, v;3;;81;394;8;8;3;244;2;0;265;0;
411;Nelligan;2014-04-07;G;Montréal, v;3;;82;383;8;11;5;223;0;2;249;0;
411;Nelligan;2014-04-07;G;Montréal, v;4;;83;413;6;16;7;215;0;1;245;1;
411;Nelligan;2014-04-07;G;Montréal, v;4;;84;407;11;16;6;240;3;0;276;1;
411;Nelligan;2014-04-07;G;Montréal, v;4;;85;400;11;37;5;216;1;1;271;1;
411;Nelligan;2014-04-07;G;Montréal, v;4;;86;423;6;16;4;260;1;1;288;1;
411;Nelligan;2014-04-07;G;Montréal, v;4;;87;401;23;28;11;213;3;4;282;2;
411;Nelligan;2014-04-07;G;Montréal, v;4;;88;404;14;32;5;229;0;0;280;3;
411;Nelligan;2014-04-07;G;Montréal, v;4;;89;407;18;20;6;206;1;2;253;1;
411;Nelligan;2014-04-07;G;Montréal, v;4;;90;380;6;21;7;192;1;1;228;0;
411;Nelligan;2014-04-07;G;Montréal, v;5;;91;334;8;16;2;142;1;2;171;1;
411;Nelligan;2014-04-07;G;Montréal, v;5;Regr. BVO-93;92;0;0;0;0;0;0;0;0;0;
411;Nelligan;2014-04-07;G;Montréal, v;5;;93;439;15;25;3;156;1;0;200;4;
411;Nelligan;2014-04-07;G;Montréal, v;6;;94;297;11;15;3;113;1;0;143;1;
411;Nelligan;2014-04-07;G;Montréal, v;6;Regr. BVO-96;95;0;0;0;0;0;0;0;0;0;
411;Nelligan;2014-04-07;G;Montréal, v;6;;96;694;23;31;10;125;5;1;195;1;
411;Nelligan;2014-04-07;G;Montréal, v;6;;97;393;30;37;8;115;6;3;199;5;
411;Nelligan;2014-04-07;G;Montréal, v;6;Regr. BVO-99;98;0;0;0;0;0;0;0;0;0;
411;Nelligan;2014-04-07;G;Montréal, v;6;;99;518;44;32;5;103;2;3;189;4;
411;Nelligan;2014-04-07;G;Montréal, v;6;Regr. BVO-99;100;0;0;0;0;0;0;0;0;0;
411;Nelligan;2014-04-07;G;Montréal, v;6;Regr. BVO-99;101;0;0;0;0;0;0;0;0;0;
411;Nelligan;2014-04-07;G;Montréal, v;6;;102;353;25;21;4;101;5;1;157;1;
411;Nelligan;2014-04-07;G;Montréal, v;6;;103;378;15;26;8;134;1;1;185;1;
411;Nelligan;2014-04-07;G;Montréal, v;7;;104;334;34;43;4;90;0;1;172;1;
411;Nelligan;2014-04-07;G;Montréal, v;7;;105;326;24;43;7;76;1;0;151;3;
411;Nelligan;2014-04-07;G;Montréal, v;7;;106;351;24;38;6;116;0;1;185;0;
411;Nelligan;2014-04-07;G;Montréal, v;7;;107;356;11;30;5;169;1;2;218;0;
411;Nelligan;2014-04-07;G;Montréal, v;7;;108;339;13;18;5;171;1;0;208;1;
411;Nelligan;2014-04-07;G;Montréal, v;7;;109;413;31;32;8;199;2;0;272;1;
411;Nelligan;2014-04-07;G;Montréal, v;7;;110;347;42;32;11;100;2;0;187;5;
411;Nelligan;2014-04-07;G;Montréal, v;7;;111;371;52;61;9;89;2;0;213;9;
411;Nelligan;2014-04-07;G;Montréal, v;8;;112;372;47;39;11;80;3;0;180;5;
411;Nelligan;2014-04-07;G;Montréal, v;8;;113;453;53;28;10;87;1;0;179;1;
411;Nelligan;2014-04-07;G;Montréal, v;8;;114;345;44;38;12;100;2;1;197;0;
411;Nelligan;2014-04-07;G;Montréal, v;8;;115;373;55;44;16;77;2;0;194;3;
411;Nelligan;2014-04-07;G;Montréal, v;8;;116;331;28;46;6;118;2;1;201;1;
411;Nelligan;2014-04-07;G;Montréal, v;8;;117;349;36;40;4;112;1;1;194;2;
411;Nelligan;2014-04-07;G;Montréal, v;8;;118;335;25;33;4;133;2;0;197;1;
411;Nelligan;2014-04-07;G;Montréal, v;8;;119;338;19;35;4;148;1;0;207;2;
411;Nelligan;2014-04-07;G;Montréal, v;8;;120;331;21;41;2;102;2;1;169;1;
411;Nelligan;2014-04-07;G;Montréal, v;8;Regr. BVO-122;121;0;0;0;0;0;0;0;0;0;
411;Nelligan;2014-04-07;G;Montréal, v;9;;122;417;21;44;4;135;1;0;205;5;
411;Nelligan;2014-04-07;G;Montréal, v;9;;123;323;22;40;9;109;0;0;180;2;
411;Nelligan;2014-04-07;G;Montréal, v;9;;124;318;32;50;6;112;5;0;205;0;
411;Nelligan;2014-04-07;G;Montréal, v;9;;125;340;39;36;16;89;2;0;182;10;
411;Nelligan;2014-04-07;G;Montréal, v;9;Regr. BVO-113;126;0;0;0;0;0;0;0;0;0;
