Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Dion Marc Q.S.;Dubois Jean-René P.Q.;Lachapelle Marjolaine O.N. - P.I.Q.;Laquerre Guillaume É.A.P. - P.C.Q.;Martel Donald C.A.Q.-É.F.L.;Vallée Denis P.L.Q./Q.L.P.;B.V.;B.R.;
329;Nicolet-Bécancour;2014-04-07;G;Bécancour, v;1;;1;306;10;33;1;1;59;34;138;4;
329;Nicolet-Bécancour;2014-04-07;G;Bécancour, v;1;;2;383;18;57;3;4;92;42;216;2;
329;Nicolet-Bécancour;2014-04-07;G;Bécancour, v;1;;3;272;14;35;1;5;68;55;178;0;
329;Nicolet-Bécancour;2014-04-07;G;Bécancour, v;1;;4;293;18;39;3;1;98;41;200;1;
329;Nicolet-Bécancour;2014-04-07;G;Bécancour, v;1;;5;246;14;40;3;3;78;37;175;1;
329;Nicolet-Bécancour;2014-04-07;G;Bécancour, v;2;;6;384;8;33;4;2;120;81;248;2;
329;Nicolet-Bécancour;2014-04-07;G;Bécancour, v;2;;7;351;20;23;2;3;135;45;228;5;
329;Nicolet-Bécancour;2014-04-07;G;Bécancour, v;2;;8A;205;12;19;2;4;54;26;117;4;
329;Nicolet-Bécancour;2014-04-07;G;Bécancour, v;2;;8B;218;4;14;2;3;66;50;139;1;
329;Nicolet-Bécancour;2014-04-07;G;Bécancour, v;2;;9;386;10;49;3;2;91;71;226;6;
329;Nicolet-Bécancour;2014-04-07;G;Bécancour, v;2;;10;317;20;53;1;1;85;57;217;4;
329;Nicolet-Bécancour;2014-04-07;G;Bécancour, v;2;;11;311;23;36;6;5;101;37;208;0;
329;Nicolet-Bécancour;2014-04-07;G;Bécancour, v;2;;12;576;24;39;6;1;90;57;217;4;
329;Nicolet-Bécancour;2014-04-07;G;Bécancour, v;2;;13A;248;20;24;1;3;75;37;160;5;
329;Nicolet-Bécancour;2014-04-07;G;Bécancour, v;2;;13B;202;14;22;4;2;75;40;157;2;
329;Nicolet-Bécancour;2014-04-07;G;Bécancour, v;2;;14;323;16;29;4;5;72;72;198;5;
329;Nicolet-Bécancour;2014-04-07;G;Bécancour, v;2;;15;340;14;25;4;2;110;52;207;4;
329;Nicolet-Bécancour;2014-04-07;G;Bécancour, v;2;;16;331;11;52;2;3;89;67;224;0;
329;Nicolet-Bécancour;2014-04-07;G;Bécancour, v;2;;17;382;23;56;5;2;76;68;230;5;
329;Nicolet-Bécancour;2014-04-07;G;Bécancour, v;3;;18;293;13;49;0;13;72;33;180;2;
329;Nicolet-Bécancour;2014-04-07;G;Bécancour, v;3;;19;410;10;35;1;4;120;54;224;7;
329;Nicolet-Bécancour;2014-04-07;G;Bécancour, v;3;;20;330;19;34;0;6;74;45;178;3;
329;Nicolet-Bécancour;2014-04-07;G;Bécancour, v;3;;21;300;16;41;1;16;58;70;202;1;
329;Nicolet-Bécancour;2014-04-07;G;Bécancour, v;3;;22;294;11;38;3;5;83;56;196;2;
329;Nicolet-Bécancour;2014-04-07;G;Bécancour, v;3;;23;313;8;30;3;1;82;56;180;2;
