Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Desjardins Annick Q.S.;Hoffman Rachel P.M.L.Q.;Sidel Noah C.A.Q.-É.F.L.;Sirard Olivier P.Q.;Tyrrell Alex P.V.Q./G.P.Q.;Weil Kathleen P.L.Q./Q.L.P.;B.V.;B.R.;
401;Notre-Dame-de-Grâce;2014-04-07;G;Montréal-Ouest, v;1;;1;362;6;0;1;0;3;224;234;0;
401;Notre-Dame-de-Grâce;2014-04-07;G;Montréal-Ouest, v;1;;2;368;1;0;8;6;7;224;246;1;
401;Notre-Dame-de-Grâce;2014-04-07;G;Montréal-Ouest, v;1;;3;377;8;0;5;2;5;243;263;1;
401;Notre-Dame-de-Grâce;2014-04-07;G;Montréal-Ouest, v;1;;4;360;3;0;19;5;6;191;224;0;
401;Notre-Dame-de-Grâce;2014-04-07;G;Montréal-Ouest, v;1;;5;380;4;1;7;3;8;198;221;1;
401;Notre-Dame-de-Grâce;2014-04-07;G;Montréal-Ouest, v;2;;6;374;6;0;7;7;11;214;245;0;
401;Notre-Dame-de-Grâce;2014-04-07;G;Montréal-Ouest, v;2;;7;375;5;0;9;1;6;197;218;0;
401;Notre-Dame-de-Grâce;2014-04-07;G;Montréal-Ouest, v;2;;8;364;9;1;12;1;5;174;202;0;
401;Notre-Dame-de-Grâce;2014-04-07;G;Montréal-Ouest, v;2;;9;375;7;1;10;2;19;235;274;0;
401;Notre-Dame-de-Grâce;2014-04-07;G;Montréal-Ouest, v;2;;10;377;5;1;6;5;4;201;222;0;
401;Notre-Dame-de-Grâce;2014-04-07;G;Montréal, v;107;;11;389;9;0;7;14;15;159;204;1;
401;Notre-Dame-de-Grâce;2014-04-07;G;Montréal, v;107;;12;401;6;1;9;4;6;173;199;1;
401;Notre-Dame-de-Grâce;2014-04-07;G;Montréal, v;107;;13;415;7;0;9;2;11;188;217;1;
401;Notre-Dame-de-Grâce;2014-04-07;G;Montréal, v;107;;14;411;7;0;8;7;8;144;174;5;
401;Notre-Dame-de-Grâce;2014-04-07;G;Montréal, v;107;;15;407;18;1;15;11;14;199;258;2;
401;Notre-Dame-de-Grâce;2014-04-07;G;Montréal, v;107;;16;381;13;0;13;9;11;202;248;1;
401;Notre-Dame-de-Grâce;2014-04-07;G;Montréal, v;108;;17;371;6;0;15;8;9;204;242;0;
401;Notre-Dame-de-Grâce;2014-04-07;G;Montréal, v;108;;18;388;14;1;17;6;5;201;244;0;
401;Notre-Dame-de-Grâce;2014-04-07;G;Montréal, v;108;;19;385;12;1;15;9;9;203;249;0;
401;Notre-Dame-de-Grâce;2014-04-07;G;Montréal, v;108;;20;372;3;1;7;2;9;171;193;1;
401;Notre-Dame-de-Grâce;2014-04-07;G;Montréal, v;108;;21;401;4;1;6;11;8;205;235;2;
401;Notre-Dame-de-Grâce;2014-04-07;G;Montréal, v;108;;22;374;8;0;17;5;9;177;216;1;
401;Notre-Dame-de-Grâce;2014-04-07;G;Montréal, v;109;;23;395;13;1;19;14;17;155;219;0;
401;Notre-Dame-de-Grâce;2014-04-07;G;Montréal, v;109;;24;485;7;0;17;3;5;158;190;2;
401;Notre-Dame-de-Grâce;2014-04-07;G;Montréal, v;109;;25;389;28;0;4;6;17;176;231;0;
401;Notre-Dame-de-Grâce;2014-04-07;G;Montréal, v;109;;26;410;10;0;11;5;6;168;200;0;
401;Notre-Dame-de-Grâce;2014-04-07;G;Montréal, v;109;;27;446;6;2;4;5;7;162;186;0;
401;Notre-Dame-de-Grâce;2014-04-07;G;Montréal, v;109;;28;423;7;0;10;3;9;170;199;0;
401;Notre-Dame-de-Grâce;2014-04-07;G;Montréal, v;109;;29;396;18;0;8;15;18;165;224;4;
401;Notre-Dame-de-Grâce;2014-04-07;G;Montréal, v;110;;30;353;19;2;17;7;8;153;206;1;
401;Notre-Dame-de-Grâce;2014-04-07;G;Montréal, v;110;;31;381;13;0;10;15;9;150;197;1;
401;Notre-Dame-de-Grâce;2014-04-07;G;Montréal, v;110;;32;349;12;2;11;8;11;163;207;1;
401;Notre-Dame-de-Grâce;2014-04-07;G;Montréal, v;110;;33;344;6;1;4;2;7;147;167;2;
401;Notre-Dame-de-Grâce;2014-04-07;G;Montréal, v;110;;34;342;6;0;17;13;5;173;214;2;
401;Notre-Dame-de-Grâce;2014-04-07;G;Montréal, v;111;;35;399;11;0;11;4;7;189;222;0;
401;Notre-Dame-de-Grâce;2014-04-07;G;Montréal, v;111;;36;396;8;1;9;5;7;201;231;1;
401;Notre-Dame-de-Grâce;2014-04-07;G;Montréal, v;111;;37;400;17;0;10;13;5;215;260;1;
401;Notre-Dame-de-Grâce;2014-04-07;G;Montréal, v;111;;38;393;19;2;10;7;16;169;223;0;
401;Notre-Dame-de-Grâce;2014-04-07;G;Montréal, v;111;;39;390;27;4;10;10;14;165;230;3;
401;Notre-Dame-de-Grâce;2014-04-07;G;Montréal, v;112;;40;391;17;1;9;7;3;172;209;0;
401;Notre-Dame-de-Grâce;2014-04-07;G;Montréal, v;112;;41;360;7;0;10;25;9;131;182;1;
401;Notre-Dame-de-Grâce;2014-04-07;G;Montréal, v;112;;42;372;7;2;11;6;6;158;190;1;
401;Notre-Dame-de-Grâce;2014-04-07;G;Montréal, v;112;;43;373;8;0;12;7;4;144;175;0;
401;Notre-Dame-de-Grâce;2014-04-07;G;Montréal, v;112;;44;389;5;0;12;5;13;146;181;1;
401;Notre-Dame-de-Grâce;2014-04-07;G;Montréal, v;112;;45;364;3;1;3;10;4;133;154;1;
401;Notre-Dame-de-Grâce;2014-04-07;G;Montréal, v;112;;46;383;3;1;10;8;9;129;160;0;
401;Notre-Dame-de-Grâce;2014-04-07;G;Montréal, v;112;;47;400;8;1;6;8;13;156;192;1;
401;Notre-Dame-de-Grâce;2014-04-07;G;Montréal, v;112;;48;373;19;0;5;8;5;122;159;1;
401;Notre-Dame-de-Grâce;2014-04-07;G;Montréal, v;113;;49;363;15;2;12;4;13;149;195;1;
401;Notre-Dame-de-Grâce;2014-04-07;G;Montréal, v;113;;50;391;14;0;11;9;23;137;194;0;
401;Notre-Dame-de-Grâce;2014-04-07;G;Montréal, v;113;;51;347;13;1;10;12;9;137;182;1;
401;Notre-Dame-de-Grâce;2014-04-07;G;Montréal, v;113;;52;364;21;0;17;12;8;162;220;2;
401;Notre-Dame-de-Grâce;2014-04-07;G;Montréal, v;113;;53;369;17;0;16;14;17;137;201;1;
401;Notre-Dame-de-Grâce;2014-04-07;G;Montréal, v;113;;54;352;14;0;27;16;14;137;208;2;
401;Notre-Dame-de-Grâce;2014-04-07;G;Montréal, v;114;;55;362;24;1;20;15;11;167;238;1;
401;Notre-Dame-de-Grâce;2014-04-07;G;Montréal, v;114;;56;373;42;0;16;22;12;155;247;1;
401;Notre-Dame-de-Grâce;2014-04-07;G;Montréal, v;114;;57;360;24;0;16;21;16;163;240;1;
401;Notre-Dame-de-Grâce;2014-04-07;G;Montréal, v;114;;58;363;29;0;23;13;6;167;238;0;
401;Notre-Dame-de-Grâce;2014-04-07;G;Montréal, v;114;;59;352;21;2;15;15;12;152;217;1;
401;Notre-Dame-de-Grâce;2014-04-07;G;Montréal, v;114;;60;375;24;0;28;25;10;119;206;2;
401;Notre-Dame-de-Grâce;2014-04-07;G;Montréal, v;114;;61;366;19;0;12;17;6;134;188;4;
401;Notre-Dame-de-Grâce;2014-04-07;G;Montréal, v;115;;62;416;32;0;23;12;10;129;206;2;
401;Notre-Dame-de-Grâce;2014-04-07;G;Montréal, v;115;;63;393;39;0;26;23;5;143;236;1;
401;Notre-Dame-de-Grâce;2014-04-07;G;Montréal, v;115;;64;406;40;0;34;21;12;148;255;4;
401;Notre-Dame-de-Grâce;2014-04-07;G;Montréal, v;115;;65;417;18;2;14;11;12;175;232;3;
401;Notre-Dame-de-Grâce;2014-04-07;G;Montréal, v;116;;66;382;39;0;26;18;16;148;247;0;
401;Notre-Dame-de-Grâce;2014-04-07;G;Montréal, v;116;;67;378;22;0;11;18;7;147;205;0;
401;Notre-Dame-de-Grâce;2014-04-07;G;Montréal, v;116;;68;402;28;0;24;24;9;145;230;0;
401;Notre-Dame-de-Grâce;2014-04-07;G;Montréal, v;116;;69;371;37;0;21;32;11;129;230;0;
401;Notre-Dame-de-Grâce;2014-04-07;G;Montréal, v;116;;70;403;24;1;12;14;18;159;228;4;
401;Notre-Dame-de-Grâce;2014-04-07;G;Montréal, v;116;;71;379;26;2;18;17;18;141;222;0;
401;Notre-Dame-de-Grâce;2014-04-07;G;Montréal, v;116;;72;387;25;0;22;19;20;139;225;4;
401;Notre-Dame-de-Grâce;2014-04-07;G;Montréal, v;117;;73;416;5;1;4;12;9;144;175;1;
401;Notre-Dame-de-Grâce;2014-04-07;G;Montréal, v;117;;74;385;10;1;10;5;10;198;234;1;
401;Notre-Dame-de-Grâce;2014-04-07;G;Montréal, v;117;;75;388;9;0;3;12;11;225;260;2;
401;Notre-Dame-de-Grâce;2014-04-07;G;Montréal, v;117;;76;427;9;0;18;8;20;191;246;3;
401;Notre-Dame-de-Grâce;2014-04-07;G;Montréal, v;117;;77;397;8;2;11;2;9;218;250;2;
401;Notre-Dame-de-Grâce;2014-04-07;G;Montréal, v;117;;78;379;8;0;9;11;15;189;232;1;
401;Notre-Dame-de-Grâce;2014-04-07;G;Montréal, v;117;;79;392;12;0;14;13;19;160;218;2;
401;Notre-Dame-de-Grâce;2014-04-07;G;Montréal, v;118;;80;404;12;0;8;3;14;126;163;6;
401;Notre-Dame-de-Grâce;2014-04-07;G;Montréal, v;118;;81;366;23;1;13;13;10;140;200;1;
401;Notre-Dame-de-Grâce;2014-04-07;G;Montréal, v;118;;82;363;10;1;10;8;5;144;178;0;
401;Notre-Dame-de-Grâce;2014-04-07;G;Montréal, v;118;;83;390;22;2;15;7;11;119;176;0;
401;Notre-Dame-de-Grâce;2014-04-07;G;Montréal, v;118;;84;480;9;2;6;6;15;140;178;6;
401;Notre-Dame-de-Grâce;2014-04-07;G;Montréal, v;118;;85;398;33;1;7;12;11;113;177;3;
401;Notre-Dame-de-Grâce;2014-04-07;G;Montréal, v;118;;86;358;33;1;9;8;25;131;207;2;
401;Notre-Dame-de-Grâce;2014-04-07;G;Montréal, v;119;;87;388;17;3;14;22;25;134;215;1;
401;Notre-Dame-de-Grâce;2014-04-07;G;Montréal, v;119;;88;401;41;0;11;12;28;141;233;1;
401;Notre-Dame-de-Grâce;2014-04-07;G;Montréal, v;119;;89;394;30;1;11;13;22;178;255;2;
401;Notre-Dame-de-Grâce;2014-04-07;G;Montréal, v;119;;90;407;24;0;20;37;14;146;241;1;
401;Notre-Dame-de-Grâce;2014-04-07;G;Montréal, v;120;;91;378;32;0;29;21;4;136;222;2;
401;Notre-Dame-de-Grâce;2014-04-07;G;Montréal, v;120;;92;390;28;0;9;17;12;142;208;1;
401;Notre-Dame-de-Grâce;2014-04-07;G;Montréal, v;120;;93;400;15;1;8;14;13;122;173;1;
401;Notre-Dame-de-Grâce;2014-04-07;G;Montréal, v;120;;94;401;30;1;20;4;12;130;197;2;
401;Notre-Dame-de-Grâce;2014-04-07;G;Montréal, v;120;;95;402;21;0;17;16;11;146;211;2;
401;Notre-Dame-de-Grâce;2014-04-07;G;Montréal, v;120;;96;352;13;1;6;8;5;97;130;1;
401;Notre-Dame-de-Grâce;2014-04-07;G;Montréal, v;121;;97;452;3;0;7;2;6;146;164;0;
401;Notre-Dame-de-Grâce;2014-04-07;G;Montréal, v;121;;98;432;16;1;26;17;10;132;202;5;
401;Notre-Dame-de-Grâce;2014-04-07;G;Montréal, v;121;;99;366;22;0;9;15;6;144;196;1;
401;Notre-Dame-de-Grâce;2014-04-07;G;Montréal, v;121;;100;366;16;0;24;20;6;95;161;1;
401;Notre-Dame-de-Grâce;2014-04-07;G;Montréal, v;121;;101;378;24;1;14;25;4;159;227;3;
401;Notre-Dame-de-Grâce;2014-04-07;G;Montréal, v;121;;102;357;33;0;21;19;6;126;205;1;
401;Notre-Dame-de-Grâce;2014-04-07;G;Montréal, v;121;;103;366;29;2;18;19;9;111;188;1;
401;Notre-Dame-de-Grâce;2014-04-07;G;Montréal, v;121;;104;558;36;0;26;31;9;134;236;3;
401;Notre-Dame-de-Grâce;2014-04-07;G;Montréal, v;109;Regr. BVO-24;500;0;0;0;0;0;0;0;0;0;
401;Notre-Dame-de-Grâce;2014-04-07;G;Montréal, v;109;Regr. BVO-27;501;0;0;0;0;0;0;0;0;0;
