Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Beauchamp Jonathan O.N. - P.I.Q.;Gagné Christine P.N.;Iraca Alexandre P.L.Q./Q.L.P.;Langelier René C.A.Q.-É.F.L.;Primeau Jean-Francois P.Q.;Sarazin Marc Q.S.;B.V.;B.R.;
553;Papineau;2014-04-07;G;Gatineau, v;46;;1;291;2;3;37;18;32;10;102;0;
553;Papineau;2014-04-07;G;Gatineau, v;46;;2;304;1;5;65;13;35;6;125;1;
553;Papineau;2014-04-07;G;Gatineau, v;46;;3;324;1;2;115;33;21;12;184;1;
553;Papineau;2014-04-07;G;Gatineau, v;46;;4;315;0;4;76;23;25;5;133;6;
553;Papineau;2014-04-07;G;Gatineau, v;46;;5;317;0;2;83;20;20;8;133;2;
553;Papineau;2014-04-07;G;Gatineau, v;46;;6;296;0;1;81;28;11;11;132;1;
553;Papineau;2014-04-07;G;Gatineau, v;46;;7;323;2;3;70;29;46;13;163;3;
553;Papineau;2014-04-07;G;Gatineau, v;46;;8;347;4;1;79;23;34;6;147;3;
553;Papineau;2014-04-07;G;Gatineau, v;46;;9;342;0;1;64;21;22;8;116;2;
553;Papineau;2014-04-07;G;Gatineau, v;47;;10;338;0;11;76;21;31;5;144;7;
553;Papineau;2014-04-07;G;Gatineau, v;47;;11;394;0;1;111;29;29;7;177;1;
553;Papineau;2014-04-07;G;Gatineau, v;47;;12;395;0;1;84;40;52;18;195;5;
553;Papineau;2014-04-07;G;Gatineau, v;47;;13;362;0;2;101;27;38;8;176;3;
553;Papineau;2014-04-07;G;Gatineau, v;47;;14;361;3;3;97;26;25;19;173;2;
553;Papineau;2014-04-07;G;Gatineau, v;48;;15;312;0;4;98;23;35;10;170;6;
553;Papineau;2014-04-07;G;Gatineau, v;48;;16;275;0;2;69;28;25;9;133;6;
553;Papineau;2014-04-07;G;Gatineau, v;48;;17;295;2;2;86;17;23;5;135;7;
553;Papineau;2014-04-07;G;Gatineau, v;48;;18A;224;0;1;43;19;19;9;91;1;
553;Papineau;2014-04-07;G;Gatineau, v;48;;18B;217;0;3;60;31;15;3;112;3;
553;Papineau;2014-04-07;G;Gatineau, v;48;;19;298;0;3;95;25;31;9;163;2;
553;Papineau;2014-04-07;G;Gatineau, v;48;;20;302;2;3;92;33;32;13;175;2;
553;Papineau;2014-04-07;G;Gatineau, v;48;;21;313;0;1;103;40;28;9;181;4;
