Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Binette Mathieu C.A.Q.-É.F.L.;Blais Claude P.L.Q./Q.L.P.;Chandonnet Louis É.A.;Cox David P.V.Q./G.P.Q.;Goyette-Gingras Camille O.N. - P.I.Q.;Larocque Natacha Q.S.;Léger Nicole P.Q.;Royer Geneviève P.M.L.Q.;B.V.;B.R.;
369;Pointe-aux-Trembles;2014-04-07;G;Montréal-Est, v;1;;1;363;38;43;0;2;3;16;47;0;149;2;
369;Pointe-aux-Trembles;2014-04-07;G;Montréal-Est, v;1;;2;354;54;32;0;4;5;16;84;0;195;7;
369;Pointe-aux-Trembles;2014-04-07;G;Montréal-Est, v;1;;3;342;57;23;0;3;2;11;84;0;180;8;
369;Pointe-aux-Trembles;2014-04-07;G;Montréal-Est, v;1;;4;366;45;36;0;3;0;11;56;3;154;4;
369;Pointe-aux-Trembles;2014-04-07;G;Montréal-Est, v;1;;5;376;49;32;1;0;2;16;86;0;186;4;
369;Pointe-aux-Trembles;2014-04-07;G;Montréal-Est, v;1;;6;353;27;26;0;1;0;14;79;2;149;8;
369;Pointe-aux-Trembles;2014-04-07;G;Montréal-Est, v;1;;7;351;29;45;0;1;0;9;50;1;135;5;
369;Pointe-aux-Trembles;2014-04-07;G;Montréal-Est, v;1;;8;354;41;34;1;2;0;12;70;0;160;1;
369;Pointe-aux-Trembles;2014-04-07;G;Montréal, v;385;;9;401;34;41;0;1;1;9;69;0;155;3;
369;Pointe-aux-Trembles;2014-04-07;G;Montréal, v;385;;10;371;30;25;0;1;1;12;64;0;133;5;
369;Pointe-aux-Trembles;2014-04-07;G;Montréal, v;385;;11;374;28;35;0;3;2;16;71;0;155;4;
369;Pointe-aux-Trembles;2014-04-07;G;Montréal, v;385;;12;341;43;25;0;3;0;9;72;0;152;4;
369;Pointe-aux-Trembles;2014-04-07;G;Montréal, v;385;;13;336;47;30;0;2;3;8;58;1;149;6;
369;Pointe-aux-Trembles;2014-04-07;G;Montréal, v;385;;14;360;41;41;0;3;4;7;71;1;168;0;
369;Pointe-aux-Trembles;2014-04-07;G;Montréal, v;386;;15;372;38;24;0;5;1;14;89;1;172;4;
369;Pointe-aux-Trembles;2014-04-07;G;Montréal, v;386;;16;366;35;32;0;0;0;23;91;2;183;4;
369;Pointe-aux-Trembles;2014-04-07;G;Montréal, v;386;;17;372;45;72;1;4;4;15;79;0;220;0;
369;Pointe-aux-Trembles;2014-04-07;G;Montréal, v;386;;18;381;45;40;0;1;3;18;84;1;192;4;
369;Pointe-aux-Trembles;2014-04-07;G;Montréal, v;386;;19;365;42;36;0;7;2;22;88;2;199;3;
369;Pointe-aux-Trembles;2014-04-07;G;Montréal, v;386;;20;383;63;20;0;1;1;23;76;1;185;2;
369;Pointe-aux-Trembles;2014-04-07;G;Montréal, v;387;;21;346;29;41;0;2;0;7;84;1;164;10;
369;Pointe-aux-Trembles;2014-04-07;G;Montréal, v;387;;22;347;35;32;0;6;0;19;69;0;161;8;
369;Pointe-aux-Trembles;2014-04-07;G;Montréal, v;387;;23;354;59;29;0;1;3;9;87;1;189;2;
369;Pointe-aux-Trembles;2014-04-07;G;Montréal, v;387;;24;337;33;46;0;6;1;11;77;0;174;4;
369;Pointe-aux-Trembles;2014-04-07;G;Montréal, v;387;;25;358;47;29;0;3;1;16;72;1;169;5;
369;Pointe-aux-Trembles;2014-04-07;G;Montréal, v;387;;26;346;47;39;1;1;2;9;75;0;174;3;
369;Pointe-aux-Trembles;2014-04-07;G;Montréal, v;388;;27;391;48;36;0;3;2;11;94;0;194;3;
369;Pointe-aux-Trembles;2014-04-07;G;Montréal, v;388;;28;403;47;40;0;4;2;14;112;1;220;4;
369;Pointe-aux-Trembles;2014-04-07;G;Montréal, v;388;;29;403;57;38;1;3;1;22;95;1;218;4;
369;Pointe-aux-Trembles;2014-04-07;G;Montréal, v;388;;30;391;58;37;0;1;3;17;86;2;204;6;
369;Pointe-aux-Trembles;2014-04-07;G;Montréal, v;388;;31;395;36;30;0;1;1;13;94;1;176;3;
369;Pointe-aux-Trembles;2014-04-07;G;Montréal, v;389;;32;358;38;61;1;1;2;13;61;1;178;4;
369;Pointe-aux-Trembles;2014-04-07;G;Montréal, v;389;;33;359;56;53;0;1;4;11;65;0;190;3;
369;Pointe-aux-Trembles;2014-04-07;G;Montréal, v;389;;34;350;52;61;0;2;2;23;103;1;244;2;
369;Pointe-aux-Trembles;2014-04-07;G;Montréal, v;389;;35;358;62;48;0;2;2;21;81;1;217;5;
369;Pointe-aux-Trembles;2014-04-07;G;Montréal, v;389;;36;366;53;53;1;3;1;27;87;1;226;7;
