Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Fortin André P.L.Q./Q.L.P.;Lang Louis P.M.L.Q.;Levy Charmain Q.S.;Mongeon Michel C.A.Q.-É.F.L.;Vallières-Murray Maryse P.Q.;B.V.;B.R.;
563;Pontiac;2014-04-07;G;Rapides-des-Joachims, m;1;;1;112;54;0;0;11;6;71;1;
563;Pontiac;2014-04-07;G;Sheenboro, m;1;;2;92;57;0;0;1;0;58;0;
563;Pontiac;2014-04-07;G;Chichester, ct;1;;3;292;146;0;1;0;1;148;0;
563;Pontiac;2014-04-07;G;L'Isle-aux-Allumettes, m;1;;4;308;180;1;1;3;0;185;0;
563;Pontiac;2014-04-07;G;L'Isle-aux-Allumettes, m;1;;5;325;149;0;4;4;5;162;0;
563;Pontiac;2014-04-07;G;L'Isle-aux-Allumettes, m;1;;6;314;115;0;0;0;8;123;1;
563;Pontiac;2014-04-07;G;Waltham, m;1;;7;316;191;1;1;1;2;196;3;
563;Pontiac;2014-04-07;G;Mansfield-et-Pontefract, m;1;;8;361;112;0;5;10;7;134;0;
563;Pontiac;2014-04-07;G;Mansfield-et-Pontefract, m;1;;9;348;118;2;0;8;13;141;2;
563;Pontiac;2014-04-07;G;Mansfield-et-Pontefract, m;1;;10;365;107;0;4;8;17;136;1;
563;Pontiac;2014-04-07;G;Mansfield-et-Pontefract, m;1;;11;381;97;0;2;9;10;118;1;
563;Pontiac;2014-04-07;G;Mansfield-et-Pontefract, m;1;;12;369;105;1;1;10;10;127;3;
563;Pontiac;2014-04-07;G;Fort-Coulonge, vl;1;;13;374;115;0;3;16;9;143;4;
563;Pontiac;2014-04-07;G;Fort-Coulonge, vl;1;;14;369;120;0;4;21;14;159;3;
563;Pontiac;2014-04-07;G;Fort-Coulonge, vl;1;;15;370;114;0;3;8;16;141;0;
563;Pontiac;2014-04-07;G;L'Île-du-Grand-Calumet, m;1;;16;272;114;1;5;20;12;152;0;
563;Pontiac;2014-04-07;G;L'Île-du-Grand-Calumet, m;1;;17;273;121;1;13;16;24;175;3;
563;Pontiac;2014-04-07;G;Portage-du-Fort, vl;1;;18;202;86;0;1;0;0;87;0;
563;Pontiac;2014-04-07;G;Bryson, m;1;;19;264;138;2;4;12;5;161;1;
563;Pontiac;2014-04-07;G;Bryson, m;1;;20;252;141;0;1;11;6;159;1;
563;Pontiac;2014-04-07;G;Campbell's Bay, m;1;;21;311;123;0;5;1;5;134;1;
563;Pontiac;2014-04-07;G;Campbell's Bay, m;1;;22;301;117;0;3;6;6;132;0;
563;Pontiac;2014-04-07;G;Litchfield, m;1;;23;371;146;1;1;6;9;163;0;
563;Pontiac;2014-04-07;G;Otter Lake, m;1;;24;354;179;1;4;7;2;193;1;
563;Pontiac;2014-04-07;G;Otter Lake, m;1;;25;366;200;1;1;8;7;217;1;
563;Pontiac;2014-04-07;G;Alleyn-et-Cawood, m;1;;26;174;101;0;2;6;2;111;0;
563;Pontiac;2014-04-07;G;Thorne, m;1;;27;323;165;0;7;10;8;190;0;
563;Pontiac;2014-04-07;G;Clarendon, m;1;;28;317;153;0;1;7;3;164;2;
563;Pontiac;2014-04-07;G;Clarendon, m;1;;29;330;171;0;1;1;0;173;1;
563;Pontiac;2014-04-07;G;Clarendon, m;1;;30;324;172;0;0;2;1;175;2;
563;Pontiac;2014-04-07;G;Shawville, m;1;;31;404;189;1;3;5;0;198;1;
563;Pontiac;2014-04-07;G;Shawville, m;1;;32;452;158;1;0;2;1;162;0;
563;Pontiac;2014-04-07;G;Shawville, m;1;;33;403;164;0;0;3;5;172;0;
563;Pontiac;2014-04-07;G;Bristol, m;1;;34;409;260;1;7;12;1;281;2;
563;Pontiac;2014-04-07;G;Bristol, m;1;;35;402;199;4;6;5;3;217;1;
563;Pontiac;2014-04-07;G;Pontiac, m;1;;36;296;92;2;9;10;10;123;2;
563;Pontiac;2014-04-07;G;Pontiac, m;1;;37;301;125;2;4;5;4;140;4;
563;Pontiac;2014-04-07;G;Pontiac, m;1;;38;296;182;0;8;5;2;197;2;
563;Pontiac;2014-04-07;G;Pontiac, m;1;;39;309;178;0;4;3;8;193;0;
563;Pontiac;2014-04-07;G;Pontiac, m;1;;40;297;121;0;6;4;18;149;0;
