Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Beaulieu Daniel É.A.P. - P.C.Q.;Côté Catherine Q.S.;Genois Hugues P.Q.;Grimard Stéphanie O.N. - P.I.Q.;Marcotte Jacques C.A.Q.-É.F.L.;Matte Michel P.L.Q./Q.L.P.;B.V.;B.R.;
599;Portneuf;2014-04-07;G;Saint-Ubalde, m;1;;1;293;1;11;22;1;59;102;196;2;
599;Portneuf;2014-04-07;G;Saint-Ubalde, m;1;;2;307;4;14;27;0;70;81;196;0;
599;Portneuf;2014-04-07;G;Saint-Ubalde, m;1;;3;288;1;12;20;1;59;104;197;3;
599;Portneuf;2014-04-07;G;Saint-Ubalde, m;1;;4;252;1;4;18;1;61;95;180;0;
599;Portneuf;2014-04-07;G;Saint-Thuribe, p;1;;5;233;2;8;7;0;56;87;160;5;
599;Portneuf;2014-04-07;G;Saint-Casimir, m;1;;6;293;2;5;32;1;70;52;162;3;
599;Portneuf;2014-04-07;G;Saint-Casimir, m;1;;7;282;3;11;22;2;31;55;124;3;
599;Portneuf;2014-04-07;G;Saint-Casimir, m;1;Regr. BVO-9;8;0;0;0;0;0;0;0;0;0;
599;Portneuf;2014-04-07;G;Saint-Casimir, m;1;;9;369;1;9;17;1;49;81;158;2;
599;Portneuf;2014-04-07;G;Saint-Casimir, m;1;;10;290;4;11;27;0;57;61;160;2;
599;Portneuf;2014-04-07;G;Deschambault-Grondines, m;1;;11;263;2;11;20;4;53;45;135;2;
599;Portneuf;2014-04-07;G;Deschambault-Grondines, m;1;;12;278;1;18;27;2;72;65;185;4;
599;Portneuf;2014-04-07;G;Deschambault-Grondines, m;1;;13;272;4;8;27;3;82;59;183;2;
599;Portneuf;2014-04-07;G;Deschambault-Grondines, m;1;;14;265;3;18;38;8;65;32;164;1;
599;Portneuf;2014-04-07;G;Deschambault-Grondines, m;1;;15;348;4;10;29;5;94;74;216;12;
599;Portneuf;2014-04-07;G;Deschambault-Grondines, m;1;;16;295;2;14;28;4;73;69;190;1;
599;Portneuf;2014-04-07;G;Saint-Gilbert, p;1;;17;240;1;3;18;0;48;83;153;1;
599;Portneuf;2014-04-07;G;Saint-Marc-des-Carrières, v;1;;18;263;2;4;22;0;44;70;142;4;
599;Portneuf;2014-04-07;G;Saint-Marc-des-Carrières, v;1;;19;302;1;2;13;0;55;85;156;1;
599;Portneuf;2014-04-07;G;Saint-Marc-des-Carrières, v;1;;20;318;1;4;12;1;42;67;127;0;
599;Portneuf;2014-04-07;G;Saint-Marc-des-Carrières, v;1;Regr. BVO-20;21;0;0;0;0;0;0;0;0;0;
599;Portneuf;2014-04-07;G;Saint-Marc-des-Carrières, v;1;;22;272;0;2;10;1;49;67;129;2;
599;Portneuf;2014-04-07;G;Saint-Marc-des-Carrières, v;1;;23;284;0;8;21;1;40;44;114;1;
599;Portneuf;2014-04-07;G;Saint-Marc-des-Carrières, v;1;Regr. BVO-23;24;0;0;0;0;0;0;0;0;0;
599;Portneuf;2014-04-07;G;Saint-Marc-des-Carrières, v;1;;25;259;2;5;17;2;53;68;147;0;
599;Portneuf;2014-04-07;G;Saint-Marc-des-Carrières, v;1;;26;386;2;1;17;2;76;117;215;3;
599;Portneuf;2014-04-07;G;Saint-Marc-des-Carrières, v;1;;27;302;2;3;18;2;58;66;149;2;
