Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Boivin Ringuette Nicolas O.N. - P.I.Q.;Clavette Marie-Pierre Q.S.;Dufour Marjolain P.Q.;Fortin-Morand Marie-Christine C.A.Q.-É.F.L.;Levesque Michel P.L.Q./Q.L.P.;B.V.;B.R.;
753;René-Lévesque;2014-04-07;G;Baie-Trinité, vl;1;;1;204;0;3;70;22;28;123;2;
753;René-Lévesque;2014-04-07;G;Baie-Trinité, vl;1;;2;208;1;2;72;16;24;115;1;
753;René-Lévesque;2014-04-07;G;Godbout, vl;1;;3;251;1;9;46;13;32;101;1;
753;René-Lévesque;2014-04-07;G;Franquelin, m;1;;4;263;2;6;90;23;41;162;1;
753;René-Lévesque;2014-04-07;G;Baie-Comeau, v;1;;5;367;2;12;116;21;49;200;2;
753;René-Lévesque;2014-04-07;G;Baie-Comeau, v;1;;6;363;2;6;111;35;46;200;1;
753;René-Lévesque;2014-04-07;G;Baie-Comeau, v;1;;7;361;0;12;131;20;28;191;5;
753;René-Lévesque;2014-04-07;G;Baie-Comeau, v;1;;8;370;0;10;77;25;34;146;2;
753;René-Lévesque;2014-04-07;G;Baie-Comeau, v;1;;9;375;2;8;94;27;36;167;3;
753;René-Lévesque;2014-04-07;G;Baie-Comeau, v;1;;10;366;1;12;98;30;32;173;2;
753;René-Lévesque;2014-04-07;G;Baie-Comeau, v;2;;11;400;2;21;106;22;27;178;3;
753;René-Lévesque;2014-04-07;G;Baie-Comeau, v;2;;12;404;3;5;101;23;24;156;2;
753;René-Lévesque;2014-04-07;G;Baie-Comeau, v;2;;13;394;2;12;94;31;26;165;3;
753;René-Lévesque;2014-04-07;G;Baie-Comeau, v;2;;14;392;3;9;118;35;42;207;2;
753;René-Lévesque;2014-04-07;G;Baie-Comeau, v;2;;15;633;4;6;101;28;26;165;6;
753;René-Lévesque;2014-04-07;G;Baie-Comeau, v;2;;16;389;1;11;114;33;27;186;1;
753;René-Lévesque;2014-04-07;G;Baie-Comeau, v;3;;17;379;0;5;83;23;25;136;5;
753;René-Lévesque;2014-04-07;G;Baie-Comeau, v;3;;18;380;2;12;76;38;18;146;1;
753;René-Lévesque;2014-04-07;G;Baie-Comeau, v;3;;19;403;1;16;121;34;23;195;7;
753;René-Lévesque;2014-04-07;G;Baie-Comeau, v;3;;20;468;0;18;133;24;26;201;4;
753;René-Lévesque;2014-04-07;G;Baie-Comeau, v;3;;21;377;2;16;96;16;19;149;2;
753;René-Lévesque;2014-04-07;G;Baie-Comeau, v;3;;22;368;2;16;90;20;13;141;5;
753;René-Lévesque;2014-04-07;G;Baie-Comeau, v;4;;23;393;2;12;97;42;30;183;7;
753;René-Lévesque;2014-04-07;G;Baie-Comeau, v;4;;24;399;1;11;80;34;24;150;2;
753;René-Lévesque;2014-04-07;G;Baie-Comeau, v;4;;25;404;1;7;94;22;24;148;3;
753;René-Lévesque;2014-04-07;G;Baie-Comeau, v;4;;26;382;1;11;88;32;46;178;9;
753;René-Lévesque;2014-04-07;G;Baie-Comeau, v;4;;27;400;3;8;89;28;35;163;3;
753;René-Lévesque;2014-04-07;G;Baie-Comeau, v;4;;28;391;0;8;87;25;39;159;6;
753;René-Lévesque;2014-04-07;G;Baie-Comeau, v;5;;29;360;2;12;86;45;36;181;10;
753;René-Lévesque;2014-04-07;G;Baie-Comeau, v;5;;30;352;2;6;90;37;41;176;10;
753;René-Lévesque;2014-04-07;G;Baie-Comeau, v;5;;31;350;2;9;79;41;57;188;5;
753;René-Lévesque;2014-04-07;G;Baie-Comeau, v;5;;32;365;1;11;90;37;47;186;9;
753;René-Lévesque;2014-04-07;G;Baie-Comeau, v;5;;33;342;0;12;61;32;55;160;6;
753;René-Lévesque;2014-04-07;G;Baie-Comeau, v;5;;34;361;3;13;94;24;38;172;6;
753;René-Lévesque;2014-04-07;G;Baie-Comeau, v;6;;35;378;1;14;64;27;34;140;0;
753;René-Lévesque;2014-04-07;G;Baie-Comeau, v;6;;36;388;4;6;77;33;49;169;8;
753;René-Lévesque;2014-04-07;G;Baie-Comeau, v;6;;37;385;4;18;81;30;56;189;4;
753;René-Lévesque;2014-04-07;G;Baie-Comeau, v;6;;38;376;2;12;89;27;62;192;3;
753;René-Lévesque;2014-04-07;G;Baie-Comeau, v;6;;39;375;3;18;93;33;25;172;4;
753;René-Lévesque;2014-04-07;G;Baie-Comeau, v;6;;40;361;3;22;88;20;33;166;7;
753;René-Lévesque;2014-04-07;G;Baie-Comeau, v;7;;41;347;1;10;63;25;46;145;3;
753;René-Lévesque;2014-04-07;G;Baie-Comeau, v;7;;42;383;1;24;60;32;34;151;9;
753;René-Lévesque;2014-04-07;G;Baie-Comeau, v;7;;43;331;2;25;85;26;24;162;2;
753;René-Lévesque;2014-04-07;G;Baie-Comeau, v;7;;44;359;1;36;80;42;50;209;5;
753;René-Lévesque;2014-04-07;G;Baie-Comeau, v;7;;45;351;1;13;57;32;60;163;3;
753;René-Lévesque;2014-04-07;G;Baie-Comeau, v;8;;46;334;4;11;95;40;39;189;3;
753;René-Lévesque;2014-04-07;G;Baie-Comeau, v;8;;47;325;4;15;100;18;32;169;4;
753;René-Lévesque;2014-04-07;G;Baie-Comeau, v;8;;48;330;4;5;63;29;43;144;6;
753;René-Lévesque;2014-04-07;G;Baie-Comeau, v;8;;49;340;1;20;87;31;26;165;4;
753;René-Lévesque;2014-04-07;G;Baie-Comeau, v;8;;50;355;0;9;88;40;38;175;2;
753;René-Lévesque;2014-04-07;G;Pointe-Lebel, vl;1;;51;381;1;13;154;18;23;209;1;
753;René-Lévesque;2014-04-07;G;Pointe-Lebel, vl;1;;52;381;0;9;129;31;27;196;6;
753;René-Lévesque;2014-04-07;G;Pointe-Lebel, vl;1;;53;386;2;9;116;39;36;202;8;
753;René-Lévesque;2014-04-07;G;Pointe-Lebel, vl;1;;54;389;4;17;137;23;24;205;3;
753;René-Lévesque;2014-04-07;G;Pointe-aux-Outardes, vl;1;;55;374;2;17;149;20;21;209;1;
753;René-Lévesque;2014-04-07;G;Pointe-aux-Outardes, vl;1;;56;342;3;11;108;36;21;179;8;
753;René-Lévesque;2014-04-07;G;Pointe-aux-Outardes, vl;1;;57;380;4;8;134;35;26;207;1;
753;René-Lévesque;2014-04-07;G;Chute-aux-Outardes, vl;1;;58;334;0;4;99;12;12;127;1;
753;René-Lévesque;2014-04-07;G;Chute-aux-Outardes, vl;1;;59;354;2;2;102;21;21;148;4;
753;René-Lévesque;2014-04-07;G;Chute-aux-Outardes, vl;1;;60;339;0;2;93;23;20;138;1;
753;René-Lévesque;2014-04-07;G;Chute-aux-Outardes, vl;1;;61;327;1;4;92;17;14;128;4;
753;René-Lévesque;2014-04-07;G;Ragueneau, p;1;;62;378;1;12;154;39;19;225;4;
753;René-Lévesque;2014-04-07;G;Ragueneau, p;1;;63;400;3;10;111;38;24;186;3;
753;René-Lévesque;2014-04-07;G;Ragueneau, p;1;;64;376;1;5;110;19;14;149;0;
753;René-Lévesque;2014-04-07;G;Pessamit, ri;1;;65;386;0;4;4;3;11;22;1;
753;René-Lévesque;2014-04-07;G;Pessamit, ri;1;;66;361;0;5;12;4;15;36;0;
753;René-Lévesque;2014-04-07;G;Pessamit, ri;1;;67;340;0;3;5;8;13;29;0;
753;René-Lévesque;2014-04-07;G;Pessamit, ri;1;;68;356;1;4;0;3;17;25;2;
753;René-Lévesque;2014-04-07;G;Colombier, m;1;;69;206;2;15;74;22;15;128;4;
753;René-Lévesque;2014-04-07;G;Colombier, m;1;;70;222;1;5;83;16;19;124;4;
753;René-Lévesque;2014-04-07;G;Colombier, m;1;;71;156;0;3;17;6;2;28;0;
753;René-Lévesque;2014-04-07;G;Forestville, v;1;;72;405;1;11;72;28;45;157;0;
753;René-Lévesque;2014-04-07;G;Forestville, v;1;;73;408;1;11;69;35;20;136;7;
753;René-Lévesque;2014-04-07;G;Forestville, v;1;;74;378;5;9;86;41;31;172;5;
753;René-Lévesque;2014-04-07;G;Forestville, v;1;;75;385;3;9;78;22;27;139;4;
753;René-Lévesque;2014-04-07;G;Forestville, v;1;;76;370;1;4;80;25;28;138;5;
753;René-Lévesque;2014-04-07;G;Forestville, v;1;;77;382;0;6;77;11;25;119;1;
753;René-Lévesque;2014-04-07;G;Forestville, v;1;;78;376;2;7;81;11;24;125;2;
753;René-Lévesque;2014-04-07;G;Portneuf-sur-Mer, m;1;;79;321;2;4;113;23;32;174;1;
753;René-Lévesque;2014-04-07;G;Portneuf-sur-Mer, m;1;;80;313;1;7;98;25;22;153;4;
753;René-Lévesque;2014-04-07;G;Longue-Rive, m;1;;81;313;0;7;93;35;31;166;5;
753;René-Lévesque;2014-04-07;G;Longue-Rive, m;1;;82;300;4;1;93;23;15;136;2;
753;René-Lévesque;2014-04-07;G;Longue-Rive, m;1;;83;311;0;1;91;24;28;144;2;
753;René-Lévesque;2014-04-07;G;Les Escoumins, m;1;;84;387;1;4;107;45;38;195;1;
753;René-Lévesque;2014-04-07;G;Les Escoumins, m;1;;85;380;2;10;110;50;15;187;0;
753;René-Lévesque;2014-04-07;G;Les Escoumins, m;1;;86;394;2;7;110;44;31;194;0;
753;René-Lévesque;2014-04-07;G;Les Escoumins, m;1;;87;410;2;12;91;70;42;217;3;
753;René-Lévesque;2014-04-07;G;Essipit, ri;1;;88;215;0;7;35;32;46;120;6;
753;René-Lévesque;2014-04-07;G;Les Bergeronnes, m;1;;89;309;0;11;85;26;37;159;3;
753;René-Lévesque;2014-04-07;G;Les Bergeronnes, m;1;;90;284;1;19;79;24;28;151;2;
753;René-Lévesque;2014-04-07;G;Tadoussac, vl;1;;91;333;3;28;89;41;37;198;9;
753;René-Lévesque;2014-04-07;G;Tadoussac, vl;1;;92;341;3;25;92;39;47;206;8;
753;René-Lévesque;2014-04-07;G;Sacré-Coeur, m;1;;93;380;4;9;75;37;67;192;9;
753;René-Lévesque;2014-04-07;G;Sacré-Coeur, m;1;;94;373;3;5;96;32;53;189;2;
753;René-Lévesque;2014-04-07;G;Sacré-Coeur, m;1;;95;365;2;11;78;41;91;223;3;
753;René-Lévesque;2014-04-07;G;Sacré-Coeur, m;1;;96;377;4;11;98;44;54;211;1;
753;René-Lévesque;2014-04-07;G;Rivière-aux-Outardes, no;1;;97;94;0;0;24;3;7;34;0;
753;René-Lévesque;2014-04-07;G;Baie-Comeau, v;2;Regr. BVO-15;500;0;0;0;0;0;0;0;0;
753;René-Lévesque;2014-04-07;G;Baie-Comeau, v;3;Regr. BVO-19;501;0;0;0;0;0;0;0;0;
753;René-Lévesque;2014-04-07;G;Baie-Comeau, v;3;Regr. BVO-20;502;0;0;0;0;0;0;0;0;
753;René-Lévesque;2014-04-07;G;Baie-Comeau, v;7;Regr. BVO-42;503;0;0;0;0;0;0;0;0;
753;René-Lévesque;2014-04-07;G;BVA1;;;;0;1;3;44;5;24;77;3;
753;René-Lévesque;2014-04-07;G;BVA2;;;;0;4;25;213;51;162;455;2;
753;René-Lévesque;2014-04-07;G;BVA3;;;;0;2;27;190;49;140;408;5;
753;René-Lévesque;2014-04-07;G;BVA4;;;;0;1;9;124;39;90;263;5;
753;René-Lévesque;2014-04-07;G;BVA5;;;;0;2;10;199;29;59;299;3;
753;René-Lévesque;2014-04-07;G;BVA6;;;;0;4;20;189;31;70;314;1;
753;René-Lévesque;2014-04-07;G;BVA7;;;;0;4;9;197;15;76;301;2;
753;René-Lévesque;2014-04-07;G;BVA8;;;;0;1;24;249;36;121;431;4;
753;René-Lévesque;2014-04-07;G;BVA9;;;;0;0;9;95;13;29;146;1;
753;René-Lévesque;2014-04-07;G;BVA10;;;;0;2;9;121;17;47;196;1;
753;René-Lévesque;2014-04-07;G;BVA11;;;;0;0;2;36;8;12;58;0;
753;René-Lévesque;2014-04-07;G;BVA12;;;;0;0;10;123;25;44;202;3;
753;René-Lévesque;2014-04-07;G;BVA13;;;;0;2;10;133;22;53;220;0;
753;René-Lévesque;2014-04-07;G;BVA14;;;;0;0;1;35;10;27;73;0;
753;René-Lévesque;2014-04-07;G;BVA15;;;;0;0;14;60;14;24;112;0;
753;René-Lévesque;2014-04-07;G;Vote en installation d'hébergement;;;;0;2;14;121;11;104;252;4;
753;René-Lévesque;2014-04-07;G;Vote itinérant et au domicile de l'électeur;;;;0;2;3;29;5;21;60;0;
