Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Huard Olivier Q.S.;Lacombe Pierre É.A.P. - P.C.Q.;Lavallée Lise C.A.Q.-É.F.L.;McKay Scott P.Q.;Nantel Robert P.L.Q./Q.L.P.;Strasbourg Christian O.N. - P.I.Q.;B.V.;B.R.;
367;Repentigny;2014-04-07;G;Repentigny, v;5;;1;335;13;1;58;52;15;0;139;2;
367;Repentigny;2014-04-07;G;Repentigny, v;5;Regr. BVO-1;2;0;0;0;0;0;0;0;0;0;
367;Repentigny;2014-04-07;G;Repentigny, v;5;;3;290;7;1;57;51;13;1;130;4;
367;Repentigny;2014-04-07;G;Repentigny, v;5;;4;304;9;1;78;71;40;0;199;5;
367;Repentigny;2014-04-07;G;Repentigny, v;5;;5;386;10;2;52;63;41;3;171;1;
367;Repentigny;2014-04-07;G;Repentigny, v;5;;6;322;9;1;50;59;27;1;147;3;
367;Repentigny;2014-04-07;G;Repentigny, v;5;Regr. BVO-5;7;0;0;0;0;0;0;0;0;0;
367;Repentigny;2014-04-07;G;Repentigny, v;5;;8;313;8;0;34;48;20;0;110;4;
367;Repentigny;2014-04-07;G;Repentigny, v;5;;9;338;5;0;42;35;31;0;113;2;
367;Repentigny;2014-04-07;G;Repentigny, v;6;;10;271;7;0;44;61;25;5;142;0;
367;Repentigny;2014-04-07;G;Repentigny, v;6;;11;267;12;1;45;46;21;3;128;4;
367;Repentigny;2014-04-07;G;Repentigny, v;6;;12;265;18;0;60;51;12;1;142;3;
367;Repentigny;2014-04-07;G;Repentigny, v;6;;13;297;20;1;74;45;23;1;164;8;
367;Repentigny;2014-04-07;G;Repentigny, v;6;;14;285;16;0;46;66;27;4;159;0;
367;Repentigny;2014-04-07;G;Repentigny, v;6;;15;282;19;0;78;46;36;2;181;2;
367;Repentigny;2014-04-07;G;Repentigny, v;6;;16;270;11;1;43;57;30;0;142;1;
367;Repentigny;2014-04-07;G;Repentigny, v;7;;17;291;18;2;48;52;29;4;153;4;
367;Repentigny;2014-04-07;G;Repentigny, v;7;;18;289;12;5;57;49;20;2;145;6;
367;Repentigny;2014-04-07;G;Repentigny, v;7;;19;278;10;0;54;62;38;2;166;2;
367;Repentigny;2014-04-07;G;Repentigny, v;7;;20;300;16;0;82;52;31;0;181;5;
367;Repentigny;2014-04-07;G;Repentigny, v;7;;21;280;11;0;62;57;27;1;158;3;
367;Repentigny;2014-04-07;G;Repentigny, v;7;;22;286;20;0;42;42;29;1;134;0;
367;Repentigny;2014-04-07;G;Repentigny, v;7;;23;302;20;1;62;59;28;0;170;5;
367;Repentigny;2014-04-07;G;Repentigny, v;7;;24;291;15;2;47;69;27;3;163;7;
367;Repentigny;2014-04-07;G;Repentigny, v;7;;25;284;11;0;68;59;34;1;173;0;
367;Repentigny;2014-04-07;G;Repentigny, v;7;;26;283;9;1;53;47;28;1;139;3;
367;Repentigny;2014-04-07;G;Repentigny, v;7;;27;297;11;3;43;51;20;3;131;5;
367;Repentigny;2014-04-07;G;Repentigny, v;7;;28;306;5;2;46;56;22;0;131;1;
367;Repentigny;2014-04-07;G;Repentigny, v;7;;29A;255;4;0;51;28;34;1;118;0;
367;Repentigny;2014-04-07;G;Repentigny, v;7;;29B;166;5;0;29;24;21;0;79;0;
367;Repentigny;2014-04-07;G;Repentigny, v;7;;30;256;5;0;41;34;35;0;115;0;
367;Repentigny;2014-04-07;G;Repentigny, v;8;;31;350;15;0;58;65;30;1;169;0;
367;Repentigny;2014-04-07;G;Repentigny, v;8;;32;318;14;1;88;50;26;0;179;2;
367;Repentigny;2014-04-07;G;Repentigny, v;8;;33;310;14;3;60;65;33;0;175;3;
367;Repentigny;2014-04-07;G;Repentigny, v;8;;34;299;16;1;73;38;32;2;162;4;
367;Repentigny;2014-04-07;G;Repentigny, v;8;;35;296;12;1;85;52;20;1;171;0;
367;Repentigny;2014-04-07;G;Repentigny, v;8;;36;854;13;1;85;66;43;2;210;1;
367;Repentigny;2014-04-07;G;Repentigny, v;8;Regr. BVO-36;37;0;0;0;0;0;0;0;0;0;
367;Repentigny;2014-04-07;G;Repentigny, v;8;Regr. BVO-36;38;0;0;0;0;0;0;0;0;0;
367;Repentigny;2014-04-07;G;Repentigny, v;8;;39;353;11;1;55;44;40;2;153;5;
367;Repentigny;2014-04-07;G;Repentigny, v;9;;40;288;14;2;48;63;36;1;164;0;
367;Repentigny;2014-04-07;G;Repentigny, v;9;;41;297;16;1;49;41;35;1;143;7;
367;Repentigny;2014-04-07;G;Repentigny, v;9;;42;289;14;1;62;66;32;1;176;3;
367;Repentigny;2014-04-07;G;Repentigny, v;9;;43;312;17;0;52;70;51;0;190;4;
367;Repentigny;2014-04-07;G;Repentigny, v;9;;44;269;4;1;51;53;42;1;152;1;
367;Repentigny;2014-04-07;G;Repentigny, v;9;;45;297;13;0;47;56;34;0;150;0;
367;Repentigny;2014-04-07;G;Repentigny, v;9;;46;276;11;1;62;62;37;1;174;3;
367;Repentigny;2014-04-07;G;Repentigny, v;9;;47;284;10;0;51;58;27;0;146;11;
367;Repentigny;2014-04-07;G;Repentigny, v;9;;48;261;12;0;56;41;30;0;139;6;
367;Repentigny;2014-04-07;G;Repentigny, v;9;;49;289;15;1;47;70;31;2;166;4;
367;Repentigny;2014-04-07;G;Repentigny, v;9;;50;270;23;0;53;52;27;0;155;0;
367;Repentigny;2014-04-07;G;Repentigny, v;9;;51;373;14;0;74;56;41;1;186;4;
