Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Baller Martin C.A.Q.-É.F.L.;Bourgault Claude P.V.Q./G.P.Q.;Gaudet Marc É.A.P. - P.C.Q.;Mathieu Marie-Ève Q.S.;Plante Alain P.L.Q./Q.L.P.;Tremblay Jean-François O.N. - P.I.Q.;Zakaïb Élaine P.Q.;B.V.;B.R.;
253;Richelieu;2014-04-07;G;Sorel-Tracy, v;1;;1;316;9;1;20;6;0;3;35;74;7;
253;Richelieu;2014-04-07;G;Sorel-Tracy, v;1;;2;590;18;1;1;0;30;1;43;94;3;
253;Richelieu;2014-04-07;G;Sorel-Tracy, v;1;Regr. BVO-2;3;0;0;0;0;0;0;0;0;0;0;
253;Richelieu;2014-04-07;G;Sorel-Tracy, v;1;;4;284;14;0;1;2;23;4;31;75;3;
253;Richelieu;2014-04-07;G;Sorel-Tracy, v;1;;5;270;19;1;1;2;16;1;26;66;7;
253;Richelieu;2014-04-07;G;Sorel-Tracy, v;2;;6;264;13;1;0;5;14;0;39;72;6;
253;Richelieu;2014-04-07;G;Sorel-Tracy, v;2;;7;289;19;1;2;7;15;2;39;85;5;
253;Richelieu;2014-04-07;G;Sorel-Tracy, v;2;;8;304;17;0;1;8;20;0;32;78;1;
253;Richelieu;2014-04-07;G;Sorel-Tracy, v;2;;9;278;16;0;1;4;10;0;29;60;7;
253;Richelieu;2014-04-07;G;Sorel-Tracy, v;2;;10;265;18;2;0;3;9;2;32;66;3;
253;Richelieu;2014-04-07;G;Sorel-Tracy, v;2;;11;269;31;1;0;8;21;3;40;104;0;
253;Richelieu;2014-04-07;G;Sorel-Tracy, v;2;;12;425;31;3;0;8;47;3;48;140;7;
253;Richelieu;2014-04-07;G;Sorel-Tracy, v;2;;13;250;37;0;1;2;24;3;47;114;4;
253;Richelieu;2014-04-07;G;Sorel-Tracy, v;2;;14;339;33;2;0;10;35;0;48;128;3;
253;Richelieu;2014-04-07;G;Sorel-Tracy, v;2;;15;290;30;1;1;10;42;1;58;143;2;
253;Richelieu;2014-04-07;G;Sorel-Tracy, v;2;;16;278;17;0;0;8;25;5;46;101;4;
253;Richelieu;2014-04-07;G;Sorel-Tracy, v;2;;17A;228;15;2;0;5;39;0;26;87;5;
253;Richelieu;2014-04-07;G;Sorel-Tracy, v;2;;17B;234;15;3;1;1;20;2;27;69;4;
253;Richelieu;2014-04-07;G;Sorel-Tracy, v;3;;18;279;18;0;0;3;32;3;40;96;2;
253;Richelieu;2014-04-07;G;Sorel-Tracy, v;3;;19;269;29;0;1;4;34;1;42;111;3;
253;Richelieu;2014-04-07;G;Sorel-Tracy, v;3;;20;317;22;2;0;7;32;5;44;112;0;
253;Richelieu;2014-04-07;G;Sorel-Tracy, v;3;;21;242;25;1;0;7;21;5;32;91;2;
253;Richelieu;2014-04-07;G;Sorel-Tracy, v;3;;22;285;28;3;0;13;45;0;36;125;1;
253;Richelieu;2014-04-07;G;Sorel-Tracy, v;3;;23;277;44;1;0;5;31;2;44;127;3;
253;Richelieu;2014-04-07;G;Sorel-Tracy, v;3;;24;279;26;0;0;12;18;1;55;112;4;
253;Richelieu;2014-04-07;G;Sorel-Tracy, v;3;;25;268;32;3;1;5;22;2;36;101;4;
253;Richelieu;2014-04-07;G;Sorel-Tracy, v;3;;26;292;33;1;0;3;24;1;34;96;2;
253;Richelieu;2014-04-07;G;Sorel-Tracy, v;3;;27;315;57;3;1;8;40;1;41;151;3;
253;Richelieu;2014-04-07;G;Sorel-Tracy, v;3;;28;296;52;0;0;13;40;0;50;155;6;
253;Richelieu;2014-04-07;G;Sorel-Tracy, v;3;;29;242;22;0;0;3;20;0;33;78;7;
253;Richelieu;2014-04-07;G;Sorel-Tracy, v;3;;30;268;22;0;0;14;26;3;56;121;5;
253;Richelieu;2014-04-07;G;Sorel-Tracy, v;4;;31;307;28;0;0;0;35;0;58;121;4;
253;Richelieu;2014-04-07;G;Sorel-Tracy, v;4;;32;416;62;3;2;5;51;2;54;179;3;
253;Richelieu;2014-04-07;G;Sorel-Tracy, v;4;;33;310;38;0;1;14;31;1;60;145;5;
253;Richelieu;2014-04-07;G;Sorel-Tracy, v;4;;34;295;44;0;2;6;37;0;41;130;6;
253;Richelieu;2014-04-07;G;Sorel-Tracy, v;4;;35;268;54;1;1;3;26;2;56;143;10;
253;Richelieu;2014-04-07;G;Sorel-Tracy, v;4;;36;318;42;2;1;6;40;1;37;129;11;
253;Richelieu;2014-04-07;G;Sorel-Tracy, v;4;;37A;219;30;1;1;1;5;15;30;83;2;
253;Richelieu;2014-04-07;G;Sorel-Tracy, v;4;;37B;240;46;0;0;5;15;2;38;106;2;
253;Richelieu;2014-04-07;G;Sorel-Tracy, v;4;;38;277;35;1;1;3;31;1;47;119;3;
253;Richelieu;2014-04-07;G;Sorel-Tracy, v;4;;39;272;53;2;0;2;27;3;44;131;4;
253;Richelieu;2014-04-07;G;Sorel-Tracy, v;4;;40;289;37;2;2;5;23;3;50;122;4;
253;Richelieu;2014-04-07;G;Sorel-Tracy, v;4;;41A;278;45;3;1;5;21;0;49;124;6;
253;Richelieu;2014-04-07;G;Sorel-Tracy, v;4;;41B;284;54;1;0;7;30;1;48;141;3;
253;Richelieu;2014-04-07;G;Sorel-Tracy, v;4;;42;304;44;3;1;8;16;3;52;127;2;
253;Richelieu;2014-04-07;G;Sorel-Tracy, v;4;;43;287;45;1;1;10;31;2;39;129;5;
253;Richelieu;2014-04-07;G;Sorel-Tracy, v;4;;44;288;39;1;0;9;31;2;50;132;3;
253;Richelieu;2014-04-07;G;Sorel-Tracy, v;4;;45;380;61;3;1;4;47;3;82;201;0;
253;Richelieu;2014-04-07;G;Sorel-Tracy, v;4;;46;260;44;0;0;1;22;2;49;118;3;
253;Richelieu;2014-04-07;G;Sorel-Tracy, v;4;;47;272;46;0;2;6;44;6;42;146;5;
253;Richelieu;2014-04-07;G;Sorel-Tracy, v;5;;48;401;72;2;2;9;47;3;86;221;7;
253;Richelieu;2014-04-07;G;Sorel-Tracy, v;5;;49;254;62;2;0;5;35;1;51;156;2;
253;Richelieu;2014-04-07;G;Sorel-Tracy, v;5;;50;286;67;0;1;18;37;2;50;175;5;
253;Richelieu;2014-04-07;G;Sorel-Tracy, v;5;;51;303;83;0;0;8;28;6;54;179;5;
253;Richelieu;2014-04-07;G;Sorel-Tracy, v;5;;52;272;45;1;1;9;27;0;51;134;3;
253;Richelieu;2014-04-07;G;Sorel-Tracy, v;5;;53;278;42;2;3;3;20;3;48;121;1;
253;Richelieu;2014-04-07;G;Sorel-Tracy, v;5;;54;380;71;1;0;14;32;1;63;182;5;
253;Richelieu;2014-04-07;G;Sorel-Tracy, v;5;;55;436;24;2;1;7;22;3;50;109;3;
253;Richelieu;2014-04-07;G;Sorel-Tracy, v;5;;56;269;20;3;0;2;21;0;46;92;4;
253;Richelieu;2014-04-07;G;Sorel-Tracy, v;5;;57;237;25;1;0;11;30;2;27;96;1;
253;Richelieu;2014-04-07;G;Sorel-Tracy, v;5;;58;265;30;1;0;5;24;3;33;96;5;
253;Richelieu;2014-04-07;G;Sorel-Tracy, v;5;;59;406;48;6;1;2;28;6;80;171;5;
253;Richelieu;2014-04-07;G;Sorel-Tracy, v;5;;60;298;45;3;0;5;24;1;49;127;7;
253;Richelieu;2014-04-07;G;Sorel-Tracy, v;6;;61;261;33;2;2;8;34;3;41;123;3;
253;Richelieu;2014-04-07;G;Sorel-Tracy, v;6;;62;289;43;2;0;11;39;2;68;165;5;
253;Richelieu;2014-04-07;G;Sorel-Tracy, v;6;;63;290;54;1;1;10;43;4;50;163;7;
253;Richelieu;2014-04-07;G;Sorel-Tracy, v;6;;64;262;37;0;1;8;26;4;35;111;1;
253;Richelieu;2014-04-07;G;Sorel-Tracy, v;6;;65;276;32;1;0;6;28;3;56;126;1;
253;Richelieu;2014-04-07;G;Sorel-Tracy, v;6;;66;295;44;2;0;10;27;3;47;133;4;
253;Richelieu;2014-04-07;G;Sorel-Tracy, v;6;;67;297;43;2;2;17;29;2;56;151;0;
253;Richelieu;2014-04-07;G;Sorel-Tracy, v;6;;68;297;40;1;1;10;27;2;54;135;3;
253;Richelieu;2014-04-07;G;Sorel-Tracy, v;6;;69;273;38;0;0;4;40;3;46;131;1;
253;Richelieu;2014-04-07;G;Sorel-Tracy, v;7;;70;258;36;4;1;9;18;2;42;112;0;
253;Richelieu;2014-04-07;G;Sorel-Tracy, v;7;;71;313;62;0;1;9;36;5;71;184;0;
253;Richelieu;2014-04-07;G;Sorel-Tracy, v;7;;72;266;17;0;1;9;16;2;30;75;3;
253;Richelieu;2014-04-07;G;Sorel-Tracy, v;7;;73A;261;48;4;0;4;25;2;53;136;3;
253;Richelieu;2014-04-07;G;Sorel-Tracy, v;7;;73B;231;34;0;0;11;30;0;42;117;3;
253;Richelieu;2014-04-07;G;Sorel-Tracy, v;7;;74;290;50;2;1;6;40;0;54;153;0;
253;Richelieu;2014-04-07;G;Sorel-Tracy, v;7;;75A;238;43;1;1;4;23;2;53;127;5;
253;Richelieu;2014-04-07;G;Sorel-Tracy, v;7;;75B;196;26;0;0;5;15;1;49;96;1;
253;Richelieu;2014-04-07;G;Sorel-Tracy, v;7;;76A;138;18;1;2;1;28;1;21;72;0;
253;Richelieu;2014-04-07;G;Sorel-Tracy, v;7;;76B;294;42;1;2;11;42;0;45;143;1;
253;Richelieu;2014-04-07;G;Sorel-Tracy, v;8;;77A;231;52;1;0;5;21;3;45;127;6;
253;Richelieu;2014-04-07;G;Sorel-Tracy, v;8;;77B;235;46;1;0;9;30;0;40;126;7;
253;Richelieu;2014-04-07;G;Sorel-Tracy, v;8;;78;124;30;0;0;4;14;3;23;74;0;
253;Richelieu;2014-04-07;G;Sorel-Tracy, v;8;;79;481;37;0;2;8;42;4;43;136;5;
253;Richelieu;2014-04-07;G;Sorel-Tracy, v;8;;80;392;33;0;1;6;49;2;40;131;4;
253;Richelieu;2014-04-07;G;Sorel-Tracy, v;8;;81;314;32;0;2;9;19;5;43;110;8;
253;Richelieu;2014-04-07;G;Sorel-Tracy, v;8;;82;319;20;0;3;2;18;6;51;100;5;
253;Richelieu;2014-04-07;G;Sorel-Tracy, v;8;;83;343;33;0;0;7;28;2;53;123;5;
