Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Boucher Etienne-Alexis P.Q.;Côté Dave É.A.P. - P.C.Q.;Dion Alain C.A.Q.-É.F.L.;Dion-Fontaine Aurélie P.V.Q./G.P.Q.;Landry Colombe Q.S.;Proulx Vincent O.N. - P.I.Q.;Vallières Karine P.L.Q./Q.L.P.;B.V.;B.R.;
283;Richmond;2014-04-07;G;Ulverton, m;1;;1;317;69;1;36;2;12;0;80;200;3;
283;Richmond;2014-04-07;G;Melbourne, ct;1;;2;280;28;1;36;4;11;1;98;179;1;
283;Richmond;2014-04-07;G;Melbourne, ct;1;;3;262;32;0;19;1;18;0;86;156;3;
283;Richmond;2014-04-07;G;Melbourne, ct;1;;4;283;46;0;37;0;15;1;81;180;0;
283;Richmond;2014-04-07;G;Kingsbury, vl;1;;5;110;22;0;6;1;8;0;26;63;3;
283;Richmond;2014-04-07;G;Richmond, v;1;;6;382;39;3;15;3;7;0;80;147;1;
283;Richmond;2014-04-07;G;Richmond, v;1;;7;405;46;0;29;2;6;1;65;149;1;
283;Richmond;2014-04-07;G;Richmond, v;1;Regr. BVO-6;8;0;0;0;0;0;0;0;0;0;0;
283;Richmond;2014-04-07;G;Richmond, v;1;Regr. BVO-7;9;0;0;0;0;0;0;0;0;0;0;
283;Richmond;2014-04-07;G;Richmond, v;1;;10;363;38;2;21;0;5;0;85;151;4;
283;Richmond;2014-04-07;G;Richmond, v;1;;11;365;34;0;41;2;7;0;82;166;2;
283;Richmond;2014-04-07;G;Richmond, v;1;;12;349;23;0;32;4;9;2;114;184;1;
283;Richmond;2014-04-07;G;Richmond, v;1;;13;377;34;0;38;0;7;0;107;186;5;
283;Richmond;2014-04-07;G;Richmond, v;1;;14;372;15;0;39;1;7;1;128;191;0;
283;Richmond;2014-04-07;G;Cleveland, ct;1;Regr. BVO-16;15;0;0;0;0;0;0;0;0;0;0;
283;Richmond;2014-04-07;G;Cleveland, ct;1;;16;512;46;0;33;3;5;0;116;203;3;
283;Richmond;2014-04-07;G;Cleveland, ct;1;;17;372;22;0;58;3;9;0;106;198;0;
283;Richmond;2014-04-07;G;Cleveland, ct;1;;18;374;60;0;28;3;17;1;108;217;1;
283;Richmond;2014-04-07;G;Saint-Claude, m;1;;19;296;42;2;39;4;14;0;86;187;1;
283;Richmond;2014-04-07;G;Saint-Claude, m;1;;20;303;64;2;37;3;16;0;58;180;2;
283;Richmond;2014-04-07;G;Saint-Claude, m;1;;21;284;82;0;38;1;8;2;50;181;3;
283;Richmond;2014-04-07;G;Saint-Georges-de-Windsor, m;1;;22;374;57;1;58;2;14;0;86;218;3;
283;Richmond;2014-04-07;G;Saint-Georges-de-Windsor, m;1;;23;355;37;2;25;1;11;0;145;221;7;
283;Richmond;2014-04-07;G;Danville, v;1;;24;349;34;1;31;1;7;0;92;166;2;
283;Richmond;2014-04-07;G;Danville, v;1;;25;343;35;0;32;2;8;2;80;159;4;
283;Richmond;2014-04-07;G;Danville, v;1;;26;356;29;1;32;2;15;1;118;198;2;
283;Richmond;2014-04-07;G;Danville, v;1;;27;343;29;0;42;3;10;1;99;184;4;
283;Richmond;2014-04-07;G;Danville, v;1;;28;366;26;0;44;0;9;0;98;177;1;
283;Richmond;2014-04-07;G;Danville, v;1;;29;345;40;3;48;2;14;0;72;179;2;
283;Richmond;2014-04-07;G;Danville, v;1;;30;355;37;0;23;0;9;1;76;146;7;
283;Richmond;2014-04-07;G;Danville, v;1;;31;356;33;0;32;0;12;0;87;164;1;
283;Richmond;2014-04-07;G;Danville, v;1;;32;345;25;0;30;0;9;0;84;148;1;
283;Richmond;2014-04-07;G;Asbestos, v;1;;33;375;41;1;42;1;7;2;67;161;4;
283;Richmond;2014-04-07;G;Asbestos, v;1;;34;596;46;5;30;3;9;2;98;193;0;
283;Richmond;2014-04-07;G;Asbestos, v;1;Regr. BVO-34;35;0;0;0;0;0;0;0;0;0;0;
283;Richmond;2014-04-07;G;Asbestos, v;1;;36;385;35;1;31;1;5;1;106;180;3;
283;Richmond;2014-04-07;G;Asbestos, v;1;;37;355;40;0;51;0;4;0;80;175;4;
283;Richmond;2014-04-07;G;Asbestos, v;1;;38;375;32;0;34;2;5;1;86;160;2;
283;Richmond;2014-04-07;G;Asbestos, v;1;;39;382;28;0;34;1;4;0;87;154;5;
283;Richmond;2014-04-07;G;Asbestos, v;1;;40;402;25;0;31;5;6;0;69;136;3;
283;Richmond;2014-04-07;G;Asbestos, v;1;Regr. BVO-40;41;0;0;0;0;0;0;0;0;0;0;
283;Richmond;2014-04-07;G;Asbestos, v;1;;42;378;32;0;47;4;5;0;100;188;2;
283;Richmond;2014-04-07;G;Asbestos, v;2;Regr. BVO-44;43;0;0;0;0;0;0;0;0;0;0;
283;Richmond;2014-04-07;G;Asbestos, v;2;;44;402;29;0;18;1;9;0;78;135;2;
283;Richmond;2014-04-07;G;Asbestos, v;2;;45;376;32;0;44;3;8;1;83;171;3;
283;Richmond;2014-04-07;G;Asbestos, v;2;;46;334;22;0;20;1;5;0;63;111;2;
283;Richmond;2014-04-07;G;Asbestos, v;2;;47;385;29;1;33;1;10;1;70;145;3;
283;Richmond;2014-04-07;G;Asbestos, v;2;;48;374;15;2;23;4;8;0;96;148;0;
283;Richmond;2014-04-07;G;Asbestos, v;2;;49;382;37;2;42;2;6;0;82;171;5;
