Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;D'Amour Jean P.L.Q./Q.L.P.;Gagnon Louis Q.S.;Lagacé Michel P.Q.;Malenfant Frank P.S.P.;Massé Étienne O.N. - P.I.Q.;Roy Charles C.A.Q.-É.F.L.;B.V.;B.R.;
699;Rivière-du-Loup-Témiscouata;2014-04-07;G;Notre-Dame-du-Portage, m;1;;1;336;73;15;52;4;1;44;189;3;
699;Rivière-du-Loup-Témiscouata;2014-04-07;G;Notre-Dame-du-Portage, m;1;;2;303;60;22;62;0;0;39;183;3;
699;Rivière-du-Loup-Témiscouata;2014-04-07;G;Notre-Dame-du-Portage, m;1;;3;320;97;17;51;1;0;33;199;1;
699;Rivière-du-Loup-Témiscouata;2014-04-07;G;Rivière-du-Loup, v;1;;4A;158;48;8;17;0;0;12;85;2;
699;Rivière-du-Loup-Témiscouata;2014-04-07;G;Rivière-du-Loup, v;1;;4B;270;67;4;20;0;1;21;113;1;
699;Rivière-du-Loup-Témiscouata;2014-04-07;G;Rivière-du-Loup, v;1;;5;373;64;9;48;3;1;32;157;1;
699;Rivière-du-Loup-Témiscouata;2014-04-07;G;Rivière-du-Loup, v;1;;6;772;98;6;26;0;0;22;152;0;
699;Rivière-du-Loup-Témiscouata;2014-04-07;G;Rivière-du-Loup, v;1;Regr. BVO-6;7;0;0;0;0;0;0;0;0;0;
699;Rivière-du-Loup-Témiscouata;2014-04-07;G;Rivière-du-Loup, v;1;Regr. BVO-6;8;0;0;0;0;0;0;0;0;0;
699;Rivière-du-Loup-Témiscouata;2014-04-07;G;Rivière-du-Loup, v;1;Regr. BVO-6;9;0;0;0;0;0;0;0;0;0;
699;Rivière-du-Loup-Témiscouata;2014-04-07;G;Rivière-du-Loup, v;1;Regr. BVO-6;10;0;0;0;0;0;0;0;0;0;
699;Rivière-du-Loup-Témiscouata;2014-04-07;G;Rivière-du-Loup, v;1;;11;385;72;5;34;0;0;13;124;1;
699;Rivière-du-Loup-Témiscouata;2014-04-07;G;Rivière-du-Loup, v;1;;12;372;87;15;40;0;0;35;177;2;
699;Rivière-du-Loup-Témiscouata;2014-04-07;G;Rivière-du-Loup, v;1;;13;395;88;12;57;2;1;21;181;1;
699;Rivière-du-Loup-Témiscouata;2014-04-07;G;Rivière-du-Loup, v;1;;14;379;84;19;35;1;0;30;169;6;
699;Rivière-du-Loup-Témiscouata;2014-04-07;G;Rivière-du-Loup, v;1;;15;372;116;17;41;3;0;35;212;3;
699;Rivière-du-Loup-Témiscouata;2014-04-07;G;Rivière-du-Loup, v;1;;16;378;96;12;30;3;2;45;188;1;
