Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Allen Jamie C.A.Q.-É.F.L.;Comtois-Lussier Michaël P.Q.;Faour Ali Q.S.;Leitao Carlos J P.L.Q./Q.L.P.;Martinova-Croteau Viviane O.N. - P.I.Q.;Mireault Mathieu P.V.Q./G.P.Q.;Popert Patricia É.A.P. - P.C.Q.;B.V.;B.R.;
413;Robert-Baldwin;2014-04-07;G;Montréal, v;14;;1;425;19;12;5;216;0;2;0;254;0;
413;Robert-Baldwin;2014-04-07;G;Montréal, v;14;;2;419;21;9;14;224;0;10;1;279;0;
413;Robert-Baldwin;2014-04-07;G;Montréal, v;14;;3;406;18;3;5;222;2;3;0;253;1;
413;Robert-Baldwin;2014-04-07;G;Montréal, v;14;;4;409;17;6;3;247;0;3;2;278;1;
413;Robert-Baldwin;2014-04-07;G;Montréal, v;14;;5;409;24;10;5;195;0;3;0;237;0;
413;Robert-Baldwin;2014-04-07;G;Montréal, v;14;;6;392;10;7;3;233;1;8;1;263;3;
413;Robert-Baldwin;2014-04-07;G;Montréal, v;14;;7;417;15;7;5;173;1;2;1;204;1;
413;Robert-Baldwin;2014-04-07;G;Montréal, v;14;;8;410;10;13;1;167;0;3;3;197;0;
413;Robert-Baldwin;2014-04-07;G;Montréal, v;15;;9A;90;1;0;1;45;0;2;0;49;0;
413;Robert-Baldwin;2014-04-07;G;Montréal, v;15;;9B;337;9;11;0;128;0;1;2;151;1;
413;Robert-Baldwin;2014-04-07;G;Montréal, v;15;;10;423;13;5;1;196;0;1;1;217;5;
413;Robert-Baldwin;2014-04-07;G;Montréal, v;15;;11;392;17;6;2;207;0;2;1;235;4;
413;Robert-Baldwin;2014-04-07;G;Montréal, v;15;;12;418;20;5;4;200;2;7;3;241;3;
413;Robert-Baldwin;2014-04-07;G;Montréal, v;15;;13;381;13;4;7;185;0;4;1;214;0;
