Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Boucher Julie P.S.P.;Cauchon Luc-Antoine O.N. - P.I.Q.;Couillard Philippe P.L.Q./Q.L.P.;Néron Guillaume Q.S.;Trottier Denis P.Q.;Truchon François C.A.Q.-É.F.L.;B.V.;B.R.;
783;Roberval;2014-04-07;G;Lac-Bouchette, m;1;;1;337;2;0;72;1;50;25;150;3;
783;Roberval;2014-04-07;G;Lac-Bouchette, m;1;;2;312;2;1;88;5;55;10;161;0;
783;Roberval;2014-04-07;G;Lac-Bouchette, m;1;;3;331;0;0;74;6;72;15;167;4;
783;Roberval;2014-04-07;G;Saint-André-du-Lac-Saint-Jean, vl;1;;4;376;2;2;120;18;65;29;236;6;
783;Roberval;2014-04-07;G;Saint-François-de-Sales, m;1;;5;274;2;1;61;12;65;21;162;3;
783;Roberval;2014-04-07;G;Saint-François-de-Sales, m;1;;6;271;1;4;70;4;62;20;161;2;
783;Roberval;2014-04-07;G;Chambord, m;1;;7;336;3;0;89;5;62;18;177;2;
783;Roberval;2014-04-07;G;Chambord, m;1;;8;353;2;1;91;7;73;16;190;4;
783;Roberval;2014-04-07;G;Chambord, m;1;;9;348;3;1;107;8;62;13;194;4;
783;Roberval;2014-04-07;G;Chambord, m;1;;10;348;2;1;81;9;79;6;178;1;
783;Roberval;2014-04-07;G;Roberval, v;1;;11;393;2;0;88;13;71;10;184;2;
783;Roberval;2014-04-07;G;Roberval, v;1;;12;387;2;5;113;9;58;19;206;2;
783;Roberval;2014-04-07;G;Roberval, v;1;;13;388;0;1;94;10;49;15;169;2;
783;Roberval;2014-04-07;G;Roberval, v;1;;14;374;1;2;105;6;46;12;172;1;
783;Roberval;2014-04-07;G;Roberval, v;1;;15;404;1;6;84;9;50;16;166;2;
783;Roberval;2014-04-07;G;Roberval, v;1;;16;391;2;3;72;3;58;13;151;3;
783;Roberval;2014-04-07;G;Roberval, v;1;;17;373;0;4;113;3;59;11;190;0;
783;Roberval;2014-04-07;G;Roberval, v;2;;18;409;2;4;115;6;59;9;195;0;
783;Roberval;2014-04-07;G;Roberval, v;2;;19;411;1;3;106;6;51;13;180;3;
783;Roberval;2014-04-07;G;Roberval, v;2;;20;403;2;4;85;8;43;10;152;0;
783;Roberval;2014-04-07;G;Roberval, v;2;;21;490;0;4;105;9;37;10;165;0;
783;Roberval;2014-04-07;G;Roberval, v;2;;22;409;1;4;118;7;56;10;196;0;
783;Roberval;2014-04-07;G;Roberval, v;2;;23;419;2;1;131;12;51;14;211;1;
783;Roberval;2014-04-07;G;Roberval, v;2;;24;399;0;3;89;11;43;17;163;4;
783;Roberval;2014-04-07;G;Roberval, v;2;;25;414;0;3;112;7;50;14;186;1;
783;Roberval;2014-04-07;G;Roberval, v;3;;26;377;0;5;60;3;41;16;125;3;
783;Roberval;2014-04-07;G;Roberval, v;3;;27;386;1;2;68;11;54;10;146;1;
783;Roberval;2014-04-07;G;Roberval, v;3;;28;384;2;1;79;4;41;13;140;1;
783;Roberval;2014-04-07;G;Roberval, v;3;;29;489;1;1;67;7;48;11;135;0;
783;Roberval;2014-04-07;G;Roberval, v;3;;30;511;1;2;88;8;48;10;157;1;
783;Roberval;2014-04-07;G;Mashteuiatsh, ri;1;;31;332;1;0;48;13;21;3;86;1;
783;Roberval;2014-04-07;G;Mashteuiatsh, ri;1;;32;335;1;0;26;1;4;0;32;0;
783;Roberval;2014-04-07;G;Mashteuiatsh, ri;1;;33;330;0;0;59;10;22;5;96;0;
783;Roberval;2014-04-07;G;Mashteuiatsh, ri;1;;34;344;1;2;80;9;32;6;130;0;
783;Roberval;2014-04-07;G;Sainte-Hedwidge, m;1;;35;335;3;3;85;5;61;19;176;3;
783;Roberval;2014-04-07;G;Sainte-Hedwidge, m;1;;36;334;3;0;98;5;68;17;191;2;
783;Roberval;2014-04-07;G;Saint-Prime, m;1;;37;348;0;4;93;10;63;16;186;1;
783;Roberval;2014-04-07;G;Saint-Prime, m;1;;38;345;2;3;101;11;44;15;176;1;
783;Roberval;2014-04-07;G;Saint-Prime, m;1;;39;362;0;0;106;20;58;15;199;2;
783;Roberval;2014-04-07;G;Saint-Prime, m;1;;40;357;4;0;116;7;68;11;206;3;
783;Roberval;2014-04-07;G;Saint-Prime, m;1;;41;338;4;2;116;12;55;13;202;3;
783;Roberval;2014-04-07;G;Saint-Prime, m;1;;42;355;0;0;146;9;35;18;208;1;
783;Roberval;2014-04-07;G;Saint-Félicien, v;1;;43;386;1;2;102;8;57;13;183;2;
783;Roberval;2014-04-07;G;Saint-Félicien, v;1;;44;406;2;1;89;15;73;20;200;0;
783;Roberval;2014-04-07;G;Saint-Félicien, v;1;;45;388;1;0;98;6;74;18;197;1;
783;Roberval;2014-04-07;G;Saint-Félicien, v;1;;46;361;3;0;113;3;45;9;173;1;
783;Roberval;2014-04-07;G;Saint-Félicien, v;1;;47;416;2;1;128;7;57;8;203;0;
783;Roberval;2014-04-07;G;Saint-Félicien, v;1;;48;403;0;1;121;7;73;14;216;2;
783;Roberval;2014-04-07;G;Saint-Félicien, v;1;;49;386;0;0;143;9;39;17;208;4;
783;Roberval;2014-04-07;G;Saint-Félicien, v;2;;50;484;0;1;109;4;30;11;155;0;
783;Roberval;2014-04-07;G;Saint-Félicien, v;2;;51;396;2;3;81;3;35;11;135;1;
783;Roberval;2014-04-07;G;Saint-Félicien, v;2;;52;403;2;0;68;10;50;8;138;3;
783;Roberval;2014-04-07;G;Saint-Félicien, v;2;;53;385;3;1;89;8;27;16;144;2;
783;Roberval;2014-04-07;G;Saint-Félicien, v;2;;54;417;2;2;108;10;49;11;182;1;
783;Roberval;2014-04-07;G;Saint-Félicien, v;2;;55;383;2;0;103;9;37;13;164;1;
783;Roberval;2014-04-07;G;Saint-Félicien, v;2;;56;383;0;0;126;7;49;5;187;1;
783;Roberval;2014-04-07;G;Saint-Félicien, v;3;;57;413;0;2;88;4;40;17;151;1;
783;Roberval;2014-04-07;G;Saint-Félicien, v;3;;58;356;1;1;89;4;42;8;145;4;
783;Roberval;2014-04-07;G;Saint-Félicien, v;3;;59;368;0;3;99;6;48;21;177;4;
783;Roberval;2014-04-07;G;Saint-Félicien, v;3;;60;382;1;0;111;4;49;17;182;1;
783;Roberval;2014-04-07;G;Saint-Félicien, v;3;;61;354;0;1;112;8;46;10;177;1;
783;Roberval;2014-04-07;G;Saint-Félicien, v;3;;62;380;0;4;108;10;61;13;196;0;
783;Roberval;2014-04-07;G;Saint-Félicien, v;3;;63;380;0;1;127;5;42;8;183;2;
783;Roberval;2014-04-07;G;La Doré, p;1;;64;371;2;0;134;8;64;17;225;1;
783;Roberval;2014-04-07;G;La Doré, p;1;;65;350;4;2;103;3;56;16;184;3;
783;Roberval;2014-04-07;G;La Doré, p;1;;66;416;2;1;116;4;61;31;215;3;
783;Roberval;2014-04-07;G;Normandin, v;1;;67;417;1;1;94;3;72;16;187;3;
783;Roberval;2014-04-07;G;Normandin, v;1;;68;416;2;2;141;6;76;12;239;4;
783;Roberval;2014-04-07;G;Normandin, v;1;;69;405;5;0;96;6;54;19;180;1;
783;Roberval;2014-04-07;G;Normandin, v;1;;70;400;0;0;112;9;73;23;217;2;
783;Roberval;2014-04-07;G;Normandin, v;1;;71;410;4;1;122;6;69;16;218;9;
783;Roberval;2014-04-07;G;Normandin, v;1;;72A;143;0;0;51;2;25;6;84;0;
783;Roberval;2014-04-07;G;Normandin, v;1;;72B;283;3;0;89;7;55;13;167;2;
783;Roberval;2014-04-07;G;Saint-Thomas-Didyme, m;1;;73;310;1;1;79;4;60;14;159;2;
783;Roberval;2014-04-07;G;Saint-Thomas-Didyme, m;1;;74;275;3;3;70;3;72;20;171;2;
783;Roberval;2014-04-07;G;Saint-Edmond-les-Plaines, m;1;;75;304;1;2;113;4;84;18;222;3;
783;Roberval;2014-04-07;G;Girardville, m;1;;76;284;1;0;100;2;44;30;177;1;
783;Roberval;2014-04-07;G;Girardville, m;1;;77;293;1;1;84;3;45;25;159;0;
783;Roberval;2014-04-07;G;Girardville, m;1;;78;303;2;0;126;2;20;21;171;1;
783;Roberval;2014-04-07;G;Albanel, m;1;;79;351;0;1;110;10;83;14;218;0;
783;Roberval;2014-04-07;G;Albanel, m;1;;80;351;6;1;88;3;70;23;191;5;
783;Roberval;2014-04-07;G;Albanel, m;1;;81;328;5;2;66;6;94;28;201;3;
783;Roberval;2014-04-07;G;Albanel, m;1;;82;358;0;2;81;7;74;26;190;4;
783;Roberval;2014-04-07;G;Albanel, m;1;;83;349;3;0;93;8;53;34;191;3;
783;Roberval;2014-04-07;G;Dolbeau-Mistassini, v;1;;84;451;2;2;92;4;61;12;173;1;
783;Roberval;2014-04-07;G;Dolbeau-Mistassini, v;1;;85;374;3;0;74;3;58;14;152;3;
783;Roberval;2014-04-07;G;Dolbeau-Mistassini, v;1;;86;376;3;0;84;2;45;17;151;3;
783;Roberval;2014-04-07;G;Dolbeau-Mistassini, v;1;;87;349;2;0;51;8;56;13;130;1;
783;Roberval;2014-04-07;G;Dolbeau-Mistassini, v;1;;88;358;2;1;65;2;65;9;144;0;
783;Roberval;2014-04-07;G;Dolbeau-Mistassini, v;1;;89;351;1;0;46;3;50;19;119;3;
783;Roberval;2014-04-07;G;Dolbeau-Mistassini, v;2;;90;393;3;0;53;7;51;10;124;1;
783;Roberval;2014-04-07;G;Dolbeau-Mistassini, v;2;;91;509;0;1;55;3;55;14;128;1;
783;Roberval;2014-04-07;G;Dolbeau-Mistassini, v;2;;92;337;0;0;61;1;54;24;140;3;
783;Roberval;2014-04-07;G;Dolbeau-Mistassini, v;3;;93;415;2;0;72;5;57;6;142;1;
783;Roberval;2014-04-07;G;Dolbeau-Mistassini, v;3;;94;398;1;0;91;5;64;24;185;1;
783;Roberval;2014-04-07;G;Dolbeau-Mistassini, v;3;;95;421;1;1;80;7;81;13;183;2;
783;Roberval;2014-04-07;G;Dolbeau-Mistassini, v;3;;96;416;2;1;117;8;64;20;212;2;
783;Roberval;2014-04-07;G;Dolbeau-Mistassini, v;3;;97A;204;1;0;65;1;33;11;111;1;
783;Roberval;2014-04-07;G;Dolbeau-Mistassini, v;3;;97B;222;0;0;72;0;44;9;125;0;
783;Roberval;2014-04-07;G;Dolbeau-Mistassini, v;3;;98;412;1;2;108;6;58;14;189;2;
783;Roberval;2014-04-07;G;Dolbeau-Mistassini, v;3;;99;418;2;0;97;4;67;18;188;2;
783;Roberval;2014-04-07;G;Dolbeau-Mistassini, v;4;;100;398;3;3;93;1;43;14;157;2;
783;Roberval;2014-04-07;G;Dolbeau-Mistassini, v;4;;101;401;2;2;81;5;76;13;179;0;
783;Roberval;2014-04-07;G;Dolbeau-Mistassini, v;4;;102;394;3;1;115;3;63;15;200;1;
783;Roberval;2014-04-07;G;Dolbeau-Mistassini, v;4;;103;370;0;0;50;4;78;17;149;2;
783;Roberval;2014-04-07;G;Dolbeau-Mistassini, v;4;;104;404;1;1;73;7;71;19;172;1;
783;Roberval;2014-04-07;G;Dolbeau-Mistassini, v;5;;105;426;3;0;79;2;70;13;167;1;
783;Roberval;2014-04-07;G;Dolbeau-Mistassini, v;5;;106;437;2;1;80;0;78;13;174;3;
783;Roberval;2014-04-07;G;Dolbeau-Mistassini, v;5;;107;444;2;0;64;0;63;11;140;3;
783;Roberval;2014-04-07;G;Dolbeau-Mistassini, v;5;;108;364;1;3;89;2;61;12;168;2;
783;Roberval;2014-04-07;G;Dolbeau-Mistassini, v;5;;109;358;0;0;82;6;66;20;174;3;
783;Roberval;2014-04-07;G;Dolbeau-Mistassini, v;5;;110;361;1;0;92;3;65;21;182;4;
783;Roberval;2014-04-07;G;Dolbeau-Mistassini, v;5;;111;369;2;1;67;5;70;24;169;0;
783;Roberval;2014-04-07;G;Dolbeau-Mistassini, v;5;;112;359;1;1;71;5;60;11;149;1;
783;Roberval;2014-04-07;G;Péribonka, m;1;;113;407;3;1;74;2;174;13;267;1;
783;Roberval;2014-04-07;G;Saint-Augustin, p;1;;114;285;0;1;103;4;67;20;195;1;
783;Roberval;2014-04-07;G;Sainte-Jeanne-d'Arc, vl;1;;115;292;2;1;91;2;41;9;146;2;
783;Roberval;2014-04-07;G;Sainte-Jeanne-d'Arc, vl;1;;116;293;1;1;95;7;45;11;160;0;
783;Roberval;2014-04-07;G;Sainte-Jeanne-d'Arc, vl;1;;117;293;3;1;64;5;63;11;147;12;
783;Roberval;2014-04-07;G;Passes-Dangereuses, no;1;;118;152;0;0;37;4;35;6;82;1;
783;Roberval;2014-04-07;G;Saint-Stanislas, m;1;;119;285;1;0;80;0;77;11;169;7;
783;Roberval;2014-04-07;G;Saint-Eugène-d'Argentenay, m;1;;120;406;3;1;77;6;103;15;205;0;
783;Roberval;2014-04-07;G;Notre-Dame-de-Lorette, m;1;;121;158;1;2;26;5;49;3;86;0;
783;Roberval;2014-04-07;G;Rivière-Mistassini, no;1;Regr. BVO-118;122;0;0;0;0;0;0;0;0;0;
783;Roberval;2014-04-07;G;Lac-Ashuapmushuan, no;1;Regr. BVO-66;123;0;0;0;0;0;0;0;0;0;
783;Roberval;2014-04-07;G;Roberval, v;2;Regr. BVO-21;500;0;0;0;0;0;0;0;0;0;
783;Roberval;2014-04-07;G;Roberval, v;3;Regr. BVO-29;501;0;0;0;0;0;0;0;0;0;
783;Roberval;2014-04-07;G;Roberval, v;3;Regr. BVO-30;502;0;0;0;0;0;0;0;0;0;
783;Roberval;2014-04-07;G;Saint-Félicien, v;2;Regr. BVO-50;503;0;0;0;0;0;0;0;0;0;
783;Roberval;2014-04-07;G;Dolbeau-Mistassini, v;1;Regr. BVO-90;504;0;0;0;0;0;0;0;0;0;
783;Roberval;2014-04-07;G;Dolbeau-Mistassini, v;2;Regr. BVO-84;505;0;0;0;0;0;0;0;0;0;
783;Roberval;2014-04-07;G;Dolbeau-Mistassini, v;3;Regr. BVO-91;506;0;0;0;0;0;0;0;0;0;
783;Roberval;2014-04-07;G;Dolbeau-Mistassini, v;4;Regr. BVO-106;507;0;0;0;0;0;0;0;0;0;
783;Roberval;2014-04-07;G;Dolbeau-Mistassini, v;5;Regr. BVO-105;508;0;0;0;0;0;0;0;0;0;
783;Roberval;2014-04-07;G;Dolbeau-Mistassini, v;5;Regr. BVO-107;509;0;0;0;0;0;0;0;0;0;
783;Roberval;2014-04-07;G;BVA1;;;;0;0;1;143;4;95;11;254;0;
783;Roberval;2014-04-07;G;BVA2;;;;0;1;1;167;6;105;11;291;4;
783;Roberval;2014-04-07;G;BVA3;;;;0;2;11;506;20;194;26;759;3;
783;Roberval;2014-04-07;G;BVA4;;;;0;3;3;475;22;229;27;759;7;
783;Roberval;2014-04-07;G;BVA5;;;;0;0;7;387;10;177;22;603;9;
783;Roberval;2014-04-07;G;BVA6;;;;0;5;1;224;8;161;29;428;3;
783;Roberval;2014-04-07;G;BVA7;;;;0;0;1;88;1;29;1;120;0;
783;Roberval;2014-04-07;G;BVA8;;;;0;0;2;226;11;113;16;368;1;
783;Roberval;2014-04-07;G;BVA9;;;;0;1;4;412;11;173;16;617;3;
783;Roberval;2014-04-07;G;BVA10;;;;0;3;2;525;10;190;22;752;2;
783;Roberval;2014-04-07;G;BVA11;;;;0;1;2;461;10;176;24;674;2;
783;Roberval;2014-04-07;G;BVA12;;;;0;0;0;154;4;80;9;247;2;
783;Roberval;2014-04-07;G;BVA13;;;;0;3;2;276;8;165;21;475;1;
783;Roberval;2014-04-07;G;BVA14;;;;0;1;1;32;0;36;7;77;0;
783;Roberval;2014-04-07;G;BVA15;;;;0;1;0;108;1;31;8;149;1;
783;Roberval;2014-04-07;G;BVA16;;;;0;1;1;123;4;100;7;236;0;
783;Roberval;2014-04-07;G;BVA17;;;;0;3;1;324;5;269;20;622;4;
783;Roberval;2014-04-07;G;BVA18;;;;0;2;0;223;4;195;10;434;2;
783;Roberval;2014-04-07;G;BVA19;;;;0;1;0;262;5;180;16;464;1;
783;Roberval;2014-04-07;G;BVA20;;;;0;0;2;315;8;248;22;595;4;
783;Roberval;2014-04-07;G;BVA21;;;;0;1;1;133;3;97;17;252;0;
783;Roberval;2014-04-07;G;BVA22;;;;0;0;0;77;3;63;5;148;0;
783;Roberval;2014-04-07;G;Vote en installation d'hébergement;;;;0;9;4;411;8;208;21;661;20;
783;Roberval;2014-04-07;G;Vote itinérant et au domicile de l'électeur;;;;0;4;4;228;7;106;6;355;19;
783;Roberval;2014-04-07;G;Vote au bureau du directeur du scrutin;;;;0;2;6;244;42;154;32;480;9;
783;Roberval;2014-04-07;G;Vote dans les établissements d'enseignement;;Regr. BVDS-1;;0;0;0;0;0;0;0;0;0;
783;Roberval;2014-04-07;G;Vote hors circonscription;;;;0;5;5;227;64;193;30;524;14;
783;Roberval;2014-04-07;G;Vote hors Québec;;Regr. VHC-1;;92;0;0;0;0;0;0;0;0;
783;Roberval;2014-04-07;G;Vote des détenus;;Regr. VHC-1;;32;0;0;0;0;0;0;0;0;
783;Roberval;2014-04-07;G;Total de la circonscription;;;;45143;237;218;17816;1018;10764;2239;32292;342;
783;Roberval;2014-04-07;G;Majorité en faveur de Philippe Couillard : 7052
