Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Charette Claude C.A.Q.-É.F.L.;Lépine François Q.S.;Marceau Nicolas P.Q.;Racette Mario P.L.Q./Q.L.P.;St-Onge Chantal O.N. - P.I.Q.;B.V.;B.R.;
515;Rousseau;2014-04-07;G;Rawdon, m;1;;1;337;48;12;62;22;0;144;2;
515;Rousseau;2014-04-07;G;Rawdon, m;1;;2;357;64;9;52;21;2;148;0;
515;Rousseau;2014-04-07;G;Rawdon, m;1;;3;392;69;3;51;45;0;168;2;
515;Rousseau;2014-04-07;G;Rawdon, m;1;;4;340;59;11;56;44;3;173;0;
515;Rousseau;2014-04-07;G;Rawdon, m;1;;5;321;36;12;50;41;2;141;3;
515;Rousseau;2014-04-07;G;Rawdon, m;1;;6;343;47;13;54;31;0;145;4;
515;Rousseau;2014-04-07;G;Rawdon, m;1;;7;327;48;11;39;41;0;139;2;
515;Rousseau;2014-04-07;G;Rawdon, m;1;;8;322;59;14;78;13;0;164;5;
515;Rousseau;2014-04-07;G;Rawdon, m;1;;9;369;79;14;63;23;0;179;2;
515;Rousseau;2014-04-07;G;Rawdon, m;1;;10;320;34;7;40;28;1;110;3;
515;Rousseau;2014-04-07;G;Rawdon, m;1;;11;340;60;10;49;38;3;160;7;
515;Rousseau;2014-04-07;G;Rawdon, m;1;;12;355;41;10;54;45;1;151;5;
515;Rousseau;2014-04-07;G;Rawdon, m;1;;13;311;40;10;26;24;2;102;2;
515;Rousseau;2014-04-07;G;Rawdon, m;1;;14;341;43;9;29;31;1;113;0;
515;Rousseau;2014-04-07;G;Rawdon, m;1;;15;368;59;10;37;49;1;156;0;
515;Rousseau;2014-04-07;G;Rawdon, m;1;;16;356;42;22;41;44;5;154;3;
515;Rousseau;2014-04-07;G;Rawdon, m;1;;17;340;60;15;54;39;0;168;5;
515;Rousseau;2014-04-07;G;Rawdon, m;1;;18;348;48;23;49;39;0;159;3;
515;Rousseau;2014-04-07;G;Rawdon, m;1;;19;411;39;6;42;28;1;116;3;
515;Rousseau;2014-04-07;G;Rawdon, m;1;;20;328;48;22;39;26;2;137;4;
515;Rousseau;2014-04-07;G;Rawdon, m;1;;21;343;38;13;40;41;1;133;1;
515;Rousseau;2014-04-07;G;Rawdon, m;1;;22;343;49;18;51;31;2;151;2;
515;Rousseau;2014-04-07;G;Rawdon, m;1;;23;355;73;13;71;21;0;178;3;
515;Rousseau;2014-04-07;G;Rawdon, m;1;;24;345;51;5;68;14;2;140;7;
515;Rousseau;2014-04-07;G;Rawdon, m;1;;25;320;51;8;66;16;0;141;0;
515;Rousseau;2014-04-07;G;Chertsey, m;1;;26;293;33;1;58;15;0;107;6;
515;Rousseau;2014-04-07;G;Chertsey, m;1;;27;312;38;3;51;29;0;121;4;
515;Rousseau;2014-04-07;G;Chertsey, m;1;;28;346;65;15;59;30;1;170;0;
515;Rousseau;2014-04-07;G;Chertsey, m;1;;29;325;57;11;63;12;0;143;3;
515;Rousseau;2014-04-07;G;Chertsey, m;1;;30;311;49;7;43;25;1;125;4;
515;Rousseau;2014-04-07;G;Chertsey, m;1;;31;328;44;13;62;22;1;142;1;
515;Rousseau;2014-04-07;G;Chertsey, m;1;;32;337;38;7;52;17;0;114;2;
515;Rousseau;2014-04-07;G;Chertsey, m;1;;33;318;35;15;50;22;4;126;6;
515;Rousseau;2014-04-07;G;Chertsey, m;1;;34;284;46;9;48;10;0;113;2;
515;Rousseau;2014-04-07;G;Chertsey, m;1;;35;299;21;22;60;15;0;118;2;
515;Rousseau;2014-04-07;G;Chertsey, m;1;;36;313;35;16;72;10;0;133;4;
515;Rousseau;2014-04-07;G;Chertsey, m;1;;37;304;38;4;44;22;0;108;2;
515;Rousseau;2014-04-07;G;Sainte-Julienne, m;1;;38;318;48;13;54;25;2;142;0;
515;Rousseau;2014-04-07;G;Sainte-Julienne, m;1;;39;316;45;11;54;17;3;130;4;
515;Rousseau;2014-04-07;G;Sainte-Julienne, m;1;;40;324;59;5;50;13;4;131;7;
515;Rousseau;2014-04-07;G;Sainte-Julienne, m;1;;41;347;57;14;68;16;2;157;0;
515;Rousseau;2014-04-07;G;Sainte-Julienne, m;1;;42;349;42;10;76;17;0;145;0;
515;Rousseau;2014-04-07;G;Sainte-Julienne, m;1;;43;323;53;8;42;19;2;124;2;
515;Rousseau;2014-04-07;G;Sainte-Julienne, m;1;;44;371;55;8;61;16;0;140;1;
515;Rousseau;2014-04-07;G;Sainte-Julienne, m;1;;45;387;56;9;68;11;0;144;2;
515;Rousseau;2014-04-07;G;Sainte-Julienne, m;1;;46;370;62;11;57;30;2;162;6;
515;Rousseau;2014-04-07;G;Sainte-Julienne, m;1;;47;351;72;11;70;11;1;165;4;
515;Rousseau;2014-04-07;G;Sainte-Julienne, m;1;;48;379;68;11;61;5;0;145;1;
515;Rousseau;2014-04-07;G;Sainte-Julienne, m;1;;49;390;81;10;75;25;2;193;2;
515;Rousseau;2014-04-07;G;Sainte-Julienne, m;1;;50;326;57;16;39;17;1;130;1;
515;Rousseau;2014-04-07;G;Sainte-Julienne, m;1;;51;359;45;13;51;14;2;125;1;
515;Rousseau;2014-04-07;G;Sainte-Julienne, m;1;;52;349;59;5;60;14;0;138;2;
515;Rousseau;2014-04-07;G;Sainte-Julienne, m;1;;53;360;80;7;56;19;2;164;4;
515;Rousseau;2014-04-07;G;Sainte-Julienne, m;1;;54;311;34;10;29;12;2;87;2;
515;Rousseau;2014-04-07;G;Sainte-Julienne, m;1;;55;331;58;10;64;20;1;153;2;
