Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Blanchette Luc P.L.Q./Q.L.P.;Chapadeau Gilles P.Q.;Dallaire Ghislain O.N. - P.I.Q.;Flebus Bernard C.A.Q.-É.F.L.;Leclerc Guy Q.S.;B.V.;B.R.;
567;Rouyn-Noranda-Témiscamingue;2014-04-07;G;Témiscaming, v;1;;1;223;60;9;1;4;2;76;2;
567;Rouyn-Noranda-Témiscamingue;2014-04-07;G;Témiscaming, v;1;;2;222;72;7;0;12;5;96;1;
567;Rouyn-Noranda-Témiscamingue;2014-04-07;G;Témiscaming, v;1;;3;199;56;9;0;7;3;75;2;
567;Rouyn-Noranda-Témiscamingue;2014-04-07;G;Témiscaming, v;1;;4;203;74;12;1;5;0;92;0;
567;Rouyn-Noranda-Témiscamingue;2014-04-07;G;Témiscaming, v;1;;5;290;79;9;0;21;5;114;2;
567;Rouyn-Noranda-Témiscamingue;2014-04-07;G;Témiscaming, v;1;;6;204;50;10;0;10;2;72;0;
567;Rouyn-Noranda-Témiscamingue;2014-04-07;G;Témiscaming, v;1;;7;237;58;25;0;7;3;93;0;
567;Rouyn-Noranda-Témiscamingue;2014-04-07;G;Témiscaming, v;1;;8;310;78;26;0;26;7;137;0;
567;Rouyn-Noranda-Témiscamingue;2014-04-07;G;Kipawa, m;1;;9;257;110;5;1;14;4;134;0;
567;Rouyn-Noranda-Témiscamingue;2014-04-07;G;Kipawa, m;1;;10;148;28;19;0;21;2;70;2;
567;Rouyn-Noranda-Témiscamingue;2014-04-07;G;Kebaowek, ri;1;;11;257;141;1;2;3;0;147;2;
567;Rouyn-Noranda-Témiscamingue;2014-04-07;G;Hunter's Point, éi;1;Regr. BVO-30;12;0;0;0;0;0;0;0;0;
567;Rouyn-Noranda-Témiscamingue;2014-04-07;G;Saint-Édouard-de-Fabre, p;1;;13;215;29;41;1;24;14;109;3;
567;Rouyn-Noranda-Témiscamingue;2014-04-07;G;Saint-Édouard-de-Fabre, p;1;;14;290;75;49;0;25;15;164;7;
567;Rouyn-Noranda-Témiscamingue;2014-04-07;G;Laniel, no;1;;15;62;22;7;1;11;0;41;1;
567;Rouyn-Noranda-Témiscamingue;2014-04-07;G;Laniel, no;1;Regr. BVO-9;16;0;0;0;0;0;0;0;0;
567;Rouyn-Noranda-Témiscamingue;2014-04-07;G;Duhamel-Ouest, m;1;;17;303;57;52;0;39;17;165;2;
567;Rouyn-Noranda-Témiscamingue;2014-04-07;G;Duhamel-Ouest, m;1;;18;419;74;81;1;36;26;218;5;
567;Rouyn-Noranda-Témiscamingue;2014-04-07;G;Ville-Marie, v;1;;19;324;45;56;1;24;17;143;4;
567;Rouyn-Noranda-Témiscamingue;2014-04-07;G;Ville-Marie, v;1;;20;282;42;31;1;30;13;117;4;
567;Rouyn-Noranda-Témiscamingue;2014-04-07;G;Ville-Marie, v;1;;21;318;47;36;0;22;19;124;1;
567;Rouyn-Noranda-Témiscamingue;2014-04-07;G;Ville-Marie, v;1;;22;280;28;39;1;20;12;100;2;
567;Rouyn-Noranda-Témiscamingue;2014-04-07;G;Ville-Marie, v;1;;23;240;26;36;0;16;18;96;1;
567;Rouyn-Noranda-Témiscamingue;2014-04-07;G;Ville-Marie, v;1;;24;297;34;49;0;33;8;124;2;
567;Rouyn-Noranda-Témiscamingue;2014-04-07;G;Ville-Marie, v;1;;25;303;40;54;1;30;11;136;3;
567;Rouyn-Noranda-Témiscamingue;2014-04-07;G;Lorrainville, m;1;;26;248;24;69;1;33;14;141;5;
567;Rouyn-Noranda-Témiscamingue;2014-04-07;G;Lorrainville, m;1;;27;252;37;46;1;28;18;130;2;
567;Rouyn-Noranda-Témiscamingue;2014-04-07;G;Lorrainville, m;1;;28;269;31;55;0;21;18;125;6;
567;Rouyn-Noranda-Témiscamingue;2014-04-07;G;Lorrainville, m;1;;29;242;34;40;0;19;8;101;3;
567;Rouyn-Noranda-Témiscamingue;2014-04-07;G;Béarn, m;1;;30;329;50;56;2;42;22;172;9;
567;Rouyn-Noranda-Témiscamingue;2014-04-07;G;Béarn, m;1;;31;303;57;55;1;33;9;155;1;
567;Rouyn-Noranda-Témiscamingue;2014-04-07;G;Laverlochère, m;1;;32;255;38;69;0;45;18;170;4;
567;Rouyn-Noranda-Témiscamingue;2014-04-07;G;Laverlochère, m;1;;33;278;50;58;1;30;27;166;3;
567;Rouyn-Noranda-Témiscamingue;2014-04-07;G;Fugèreville, m;1;;34;254;36;50;0;25;17;128;4;
567;Rouyn-Noranda-Témiscamingue;2014-04-07;G;Latulipe-et-Gaboury, cu;1;;35;260;34;45;1;34;20;134;3;
567;Rouyn-Noranda-Témiscamingue;2014-04-07;G;Belleterre, v;1;;36;224;45;43;0;17;5;110;1;
567;Rouyn-Noranda-Témiscamingue;2014-04-07;G;Winneway, éi;1;;37;181;26;1;0;0;1;28;0;
567;Rouyn-Noranda-Témiscamingue;2014-04-07;G;Laforce, m;1;;38;189;25;23;0;21;4;73;3;
567;Rouyn-Noranda-Témiscamingue;2014-04-07;G;Moffet, m;1;;39;150;31;14;1;20;10;76;3;
567;Rouyn-Noranda-Témiscamingue;2014-04-07;G;Angliers, vl;1;;40;236;70;25;0;38;9;142;6;
567;Rouyn-Noranda-Témiscamingue;2014-04-07;G;Saint-Eugène-de-Guigues, m;1;;41;343;54;75;1;36;25;191;11;
567;Rouyn-Noranda-Témiscamingue;2014-04-07;G;Saint-Bruno-de-Guigues, m;1;;42;321;48;93;4;30;20;195;12;
567;Rouyn-Noranda-Témiscamingue;2014-04-07;G;Saint-Bruno-de-Guigues, m;1;;43;265;39;46;1;23;14;123;5;
567;Rouyn-Noranda-Témiscamingue;2014-04-07;G;Saint-Bruno-de-Guigues, m;1;;44;280;45;53;3;39;26;166;9;
567;Rouyn-Noranda-Témiscamingue;2014-04-07;G;Notre-Dame-du-Nord, m;1;;45;336;65;31;2;36;11;145;5;
567;Rouyn-Noranda-Témiscamingue;2014-04-07;G;Notre-Dame-du-Nord, m;1;;46;261;51;38;1;14;5;109;5;
567;Rouyn-Noranda-Témiscamingue;2014-04-07;G;Notre-Dame-du-Nord, m;1;;47;275;57;24;2;21;8;112;1;
567;Rouyn-Noranda-Témiscamingue;2014-04-07;G;Timiskaming, ri;1;;48;397;102;0;0;2;3;107;1;
567;Rouyn-Noranda-Témiscamingue;2014-04-07;G;Nédélec, ct;1;;49;296;72;47;3;30;11;163;2;
567;Rouyn-Noranda-Témiscamingue;2014-04-07;G;Guérin, ct;1;;50;228;51;36;1;20;17;125;3;
567;Rouyn-Noranda-Témiscamingue;2014-04-07;G;Rémigny, m;1;;51;250;59;36;1;29;20;145;1;
567;Rouyn-Noranda-Témiscamingue;2014-04-07;G;Rouyn-Noranda, v;1;;52;320;47;61;2;40;18;168;2;
567;Rouyn-Noranda-Témiscamingue;2014-04-07;G;Rouyn-Noranda, v;2;;53;261;25;35;1;24;17;102;3;
567;Rouyn-Noranda-Témiscamingue;2014-04-07;G;Rouyn-Noranda, v;2;;54;399;54;67;5;24;22;172;3;
567;Rouyn-Noranda-Témiscamingue;2014-04-07;G;Rouyn-Noranda, v;3;;55;264;43;67;1;30;19;160;5;
567;Rouyn-Noranda-Témiscamingue;2014-04-07;G;Rouyn-Noranda, v;4;;56;341;62;60;2;38;30;192;3;
567;Rouyn-Noranda-Témiscamingue;2014-04-07;G;Rouyn-Noranda, v;4;;57;287;44;56;1;33;20;154;7;
567;Rouyn-Noranda-Témiscamingue;2014-04-07;G;Rouyn-Noranda, v;5;;58;300;40;49;0;35;19;143;6;
567;Rouyn-Noranda-Témiscamingue;2014-04-07;G;Rouyn-Noranda, v;5;;59;307;57;52;4;52;12;177;4;
567;Rouyn-Noranda-Témiscamingue;2014-04-07;G;Rouyn-Noranda, v;5;;60;339;68;63;1;39;21;192;9;
567;Rouyn-Noranda-Témiscamingue;2014-04-07;G;Rouyn-Noranda, v;5;;61;265;47;43;3;39;11;143;3;
567;Rouyn-Noranda-Témiscamingue;2014-04-07;G;Rouyn-Noranda, v;5;;62;283;50;44;0;47;15;156;0;
567;Rouyn-Noranda-Témiscamingue;2014-04-07;G;Rouyn-Noranda, v;6;;63;302;49;50;1;27;13;140;2;
567;Rouyn-Noranda-Témiscamingue;2014-04-07;G;Rouyn-Noranda, v;6;;64;397;56;86;2;50;24;218;10;
567;Rouyn-Noranda-Témiscamingue;2014-04-07;G;Rouyn-Noranda, v;6;;65;346;57;64;0;43;16;180;6;
567;Rouyn-Noranda-Témiscamingue;2014-04-07;G;Rouyn-Noranda, v;6;;66;327;46;58;1;40;15;160;3;
567;Rouyn-Noranda-Témiscamingue;2014-04-07;G;Rouyn-Noranda, v;6;;67;383;81;93;0;44;36;254;10;
567;Rouyn-Noranda-Témiscamingue;2014-04-07;G;Rouyn-Noranda, v;6;;68;366;71;63;3;49;16;202;7;
567;Rouyn-Noranda-Témiscamingue;2014-04-07;G;Rouyn-Noranda, v;6;;69;396;59;62;3;36;22;182;5;
567;Rouyn-Noranda-Témiscamingue;2014-04-07;G;Rouyn-Noranda, v;6;;70;274;37;68;0;37;25;167;4;
567;Rouyn-Noranda-Témiscamingue;2014-04-07;G;Rouyn-Noranda, v;6;;71;380;64;63;4;44;35;210;8;
567;Rouyn-Noranda-Témiscamingue;2014-04-07;G;Rouyn-Noranda, v;6;;72;308;54;62;0;43;20;179;1;
567;Rouyn-Noranda-Témiscamingue;2014-04-07;G;Rouyn-Noranda, v;7;;73;196;30;33;1;18;22;104;2;
567;Rouyn-Noranda-Témiscamingue;2014-04-07;G;Rouyn-Noranda, v;7;;74;226;31;46;0;34;12;123;1;
567;Rouyn-Noranda-Témiscamingue;2014-04-07;G;Rouyn-Noranda, v;8;;75;322;59;83;0;26;17;185;0;
567;Rouyn-Noranda-Témiscamingue;2014-04-07;G;Rouyn-Noranda, v;8;;76;346;58;45;2;30;24;159;5;
567;Rouyn-Noranda-Témiscamingue;2014-04-07;G;Rouyn-Noranda, v;8;;77;364;70;92;2;48;32;244;4;
567;Rouyn-Noranda-Témiscamingue;2014-04-07;G;Rouyn-Noranda, v;8;;78;293;59;48;1;29;22;159;10;
567;Rouyn-Noranda-Témiscamingue;2014-04-07;G;Rouyn-Noranda, v;8;;79;344;80;58;0;46;18;202;9;
567;Rouyn-Noranda-Témiscamingue;2014-04-07;G;Rouyn-Noranda, v;8;;80;306;53;51;1;27;21;153;1;
567;Rouyn-Noranda-Témiscamingue;2014-04-07;G;Rouyn-Noranda, v;8;;81;299;69;67;2;36;15;189;4;
567;Rouyn-Noranda-Témiscamingue;2014-04-07;G;Rouyn-Noranda, v;8;;82;386;85;52;3;50;33;223;5;
567;Rouyn-Noranda-Témiscamingue;2014-04-07;G;Rouyn-Noranda, v;8;;83;418;79;65;1;63;33;241;8;
567;Rouyn-Noranda-Témiscamingue;2014-04-07;G;Rouyn-Noranda, v;9;;84;302;61;28;0;34;20;143;8;
567;Rouyn-Noranda-Témiscamingue;2014-04-07;G;Rouyn-Noranda, v;9;;85;281;55;55;0;26;13;149;4;
567;Rouyn-Noranda-Témiscamingue;2014-04-07;G;Rouyn-Noranda, v;9;;86;291;50;26;1;21;8;106;0;
567;Rouyn-Noranda-Témiscamingue;2014-04-07;G;Rouyn-Noranda, v;9;;87;365;55;31;1;21;18;126;1;
567;Rouyn-Noranda-Témiscamingue;2014-04-07;G;Rouyn-Noranda, v;9;;88;276;54;40;0;21;25;140;2;
567;Rouyn-Noranda-Témiscamingue;2014-04-07;G;Rouyn-Noranda, v;9;;89;286;49;32;1;25;19;126;7;
567;Rouyn-Noranda-Témiscamingue;2014-04-07;G;Rouyn-Noranda, v;9;;90;265;41;37;0;27;20;125;4;
567;Rouyn-Noranda-Témiscamingue;2014-04-07;G;Rouyn-Noranda, v;9;;91;293;54;41;5;26;14;140;0;
567;Rouyn-Noranda-Témiscamingue;2014-04-07;G;Rouyn-Noranda, v;9;;92;239;34;41;1;25;20;121;6;
567;Rouyn-Noranda-Témiscamingue;2014-04-07;G;Rouyn-Noranda, v;10;;93;271;32;28;3;22;22;107;2;
567;Rouyn-Noranda-Témiscamingue;2014-04-07;G;Rouyn-Noranda, v;10;;94;294;40;46;5;27;19;137;5;
567;Rouyn-Noranda-Témiscamingue;2014-04-07;G;Rouyn-Noranda, v;10;;95;285;52;46;1;30;15;144;0;
567;Rouyn-Noranda-Témiscamingue;2014-04-07;G;Rouyn-Noranda, v;10;;96;284;26;35;4;14;12;91;4;
567;Rouyn-Noranda-Témiscamingue;2014-04-07;G;Rouyn-Noranda, v;10;;97;254;30;24;2;10;25;91;3;
567;Rouyn-Noranda-Témiscamingue;2014-04-07;G;Rouyn-Noranda, v;11;;98;274;33;27;3;23;29;115;5;
567;Rouyn-Noranda-Témiscamingue;2014-04-07;G;Rouyn-Noranda, v;11;;99;259;27;48;0;19;6;100;4;
567;Rouyn-Noranda-Témiscamingue;2014-04-07;G;Rouyn-Noranda, v;11;;100;255;27;27;2;21;15;92;3;
567;Rouyn-Noranda-Témiscamingue;2014-04-07;G;Rouyn-Noranda, v;11;;101;267;29;33;0;24;20;106;1;
567;Rouyn-Noranda-Témiscamingue;2014-04-07;G;Rouyn-Noranda, v;11;;102;311;31;41;4;22;24;122;2;
567;Rouyn-Noranda-Témiscamingue;2014-04-07;G;Rouyn-Noranda, v;11;;103;289;42;36;0;19;12;109;0;
567;Rouyn-Noranda-Témiscamingue;2014-04-07;G;Rouyn-Noranda, v;12;;104;321;32;31;2;11;9;85;4;
567;Rouyn-Noranda-Témiscamingue;2014-04-07;G;Rouyn-Noranda, v;12;;105;371;64;68;3;33;27;195;2;
567;Rouyn-Noranda-Témiscamingue;2014-04-07;G;Rouyn-Noranda, v;12;;106;237;47;26;1;20;12;106;0;
567;Rouyn-Noranda-Témiscamingue;2014-04-07;G;Rouyn-Noranda, v;12;;107;282;59;40;2;26;12;139;2;
567;Rouyn-Noranda-Témiscamingue;2014-04-07;G;Rouyn-Noranda, v;12;;108;313;27;44;1;23;15;110;6;
567;Rouyn-Noranda-Témiscamingue;2014-04-07;G;Rouyn-Noranda, v;12;;109;269;36;42;1;23;19;121;4;
