Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Boudou-Laforce Étienne O.N. - P.I.Q.;Carbonneau Vincent J. P.V.Q./G.P.Q.;Collette Marcel É.A.P. - P.C.Q.;Hardy Guy P.L.Q./Q.L.P.;Hébert Réjean P.Q.;Lafrance Philippe B.P.;Lambert Lionel P.U.N.;Poulin André Q.S.;Stratford Gaston C.A.Q.-É.F.L.;B.V.;B.R.;
111;Saint-François;2014-04-07;G;Stanstead-Est, m;1;;1;232;0;1;1;102;20;1;0;8;22;155;0;
111;Saint-François;2014-04-07;G;Stanstead-Est, m;1;;2;243;0;1;1;81;26;0;0;4;20;133;1;
111;Saint-François;2014-04-07;G;Barnston-Ouest, m;1;;3;408;0;3;1;118;41;2;0;18;34;217;3;
111;Saint-François;2014-04-07;G;Coaticook, v;1;;4;376;0;5;0;99;38;1;0;11;44;198;1;
111;Saint-François;2014-04-07;G;Coaticook, v;1;;5;387;0;2;0;84;45;0;0;13;61;205;1;
111;Saint-François;2014-04-07;G;Coaticook, v;1;;6;377;2;2;2;102;54;1;0;7;47;217;8;
111;Saint-François;2014-04-07;G;Coaticook, v;1;;7;376;0;5;0;92;66;1;0;10;33;207;5;
111;Saint-François;2014-04-07;G;Coaticook, v;1;;8;366;0;2;1;77;67;2;0;6;57;212;1;
111;Saint-François;2014-04-07;G;Coaticook, v;1;;9;384;1;3;2;78;73;4;0;8;41;210;2;
111;Saint-François;2014-04-07;G;Coaticook, v;1;;10;391;0;1;0;76;37;0;1;5;41;161;1;
111;Saint-François;2014-04-07;G;Coaticook, v;1;;11;381;0;0;0;78;56;2;1;17;42;196;2;
111;Saint-François;2014-04-07;G;Coaticook, v;1;;12;491;1;6;3;72;42;1;1;9;38;173;1;
111;Saint-François;2014-04-07;G;Coaticook, v;2;;13;361;0;3;0;70;56;2;0;11;28;170;2;
111;Saint-François;2014-04-07;G;Coaticook, v;2;;14;365;0;6;3;52;60;2;0;9;35;167;3;
111;Saint-François;2014-04-07;G;Coaticook, v;2;;15;361;0;5;0;61;45;4;2;12;46;175;2;
111;Saint-François;2014-04-07;G;Coaticook, v;2;;16;430;1;2;2;46;28;3;0;3;32;117;2;
111;Saint-François;2014-04-07;G;Coaticook, v;2;;17;374;0;0;1;51;52;1;0;7;33;145;2;
111;Saint-François;2014-04-07;G;Coaticook, v;2;;18;457;2;3;1;67;60;6;1;10;46;196;3;
111;Saint-François;2014-04-07;G;Coaticook, v;2;;19;368;1;2;1;53;69;2;0;7;44;179;1;
111;Saint-François;2014-04-07;G;Coaticook, v;2;;20;371;0;8;2;66;50;1;1;12;33;173;4;
111;Saint-François;2014-04-07;G;Coaticook, v;2;;21;365;1;2;1;103;42;3;0;7;36;195;2;
111;Saint-François;2014-04-07;G;Dixville, m;1;;22;230;0;2;2;73;19;1;1;8;30;136;3;
111;Saint-François;2014-04-07;G;Dixville, m;1;;23;227;2;3;1;71;37;1;1;7;22;145;4;
111;Saint-François;2014-04-07;G;Saint-Herménégilde, m;1;;24;252;1;1;0;55;46;3;0;3;19;128;1;
111;Saint-François;2014-04-07;G;Saint-Herménégilde, m;1;;25;249;0;3;0;64;38;1;1;5;29;141;1;
111;Saint-François;2014-04-07;G;East Hereford, m;1;;26;200;0;1;0;61;17;2;0;2;26;109;2;
111;Saint-François;2014-04-07;G;Saint-Venant-de-Paquette, m;1;;27;74;0;1;1;18;10;0;0;9;6;45;0;
111;Saint-François;2014-04-07;G;Saint-Malo, m;1;;28;361;0;3;0;79;86;0;0;9;43;220;2;
111;Saint-François;2014-04-07;G;Sainte-Edwidge-de-Clifton, ct;1;;29;343;0;2;0;72;64;2;0;18;46;204;0;
111;Saint-François;2014-04-07;G;Martinville, m;1;;30;333;1;3;0;64;69;1;0;21;54;213;0;
111;Saint-François;2014-04-07;G;Compton, m;1;;31;386;2;6;0;97;60;0;1;29;52;247;6;
111;Saint-François;2014-04-07;G;Compton, m;1;;32;385;0;3;2;85;76;2;0;25;47;240;3;
111;Saint-François;2014-04-07;G;Compton, m;1;;33;397;1;6;0;79;83;4;0;20;51;244;7;
111;Saint-François;2014-04-07;G;Compton, m;1;;34;399;3;6;5;99;71;2;0;10;55;251;5;
111;Saint-François;2014-04-07;G;Compton, m;1;;35;393;2;3;1;76;99;1;1;20;32;235;6;
111;Saint-François;2014-04-07;G;Compton, m;1;;36;393;0;2;0;74;59;2;1;26;48;212;3;
111;Saint-François;2014-04-07;G;Waterville, v;1;;37;368;1;6;0;69;60;2;1;23;21;183;2;
111;Saint-François;2014-04-07;G;Waterville, v;1;;38;371;2;4;1;87;61;1;0;23;21;200;4;
111;Saint-François;2014-04-07;G;Waterville, v;1;;39;358;3;3;1;79;45;1;1;19;22;174;2;
111;Saint-François;2014-04-07;G;Waterville, v;1;;40;361;0;1;0;132;33;1;0;11;16;194;0;
111;Saint-François;2014-04-07;G;Sherbrooke, v;27;;41;425;0;5;2;147;30;1;1;11;9;206;0;
111;Saint-François;2014-04-07;G;Sherbrooke, v;27;;42;375;1;2;1;97;26;2;0;23;10;162;0;
111;Saint-François;2014-04-07;G;Sherbrooke, v;27;;43;376;2;0;0;98;23;1;2;8;24;158;0;
111;Saint-François;2014-04-07;G;Sherbrooke, v;27;;44;375;0;7;1;99;15;0;0;3;8;133;2;
111;Saint-François;2014-04-07;G;Sherbrooke, v;27;;45;383;1;7;0;122;10;1;1;16;7;165;0;
111;Saint-François;2014-04-07;G;Sherbrooke, v;27;;46;501;1;3;1;117;23;1;0;22;10;178;1;
111;Saint-François;2014-04-07;G;Sherbrooke, v;27;;47;386;0;5;1;126;33;0;4;6;17;192;2;
111;Saint-François;2014-04-07;G;Sherbrooke, v;27;;48;376;0;2;0;117;36;0;0;11;30;196;1;
111;Saint-François;2014-04-07;G;Sherbrooke, v;27;;49;394;1;7;1;121;37;1;0;18;19;205;1;
111;Saint-François;2014-04-07;G;Sherbrooke, v;27;;50;375;4;1;0;86;31;2;0;13;22;159;0;
111;Saint-François;2014-04-07;G;Sherbrooke, v;28;;51;366;2;4;1;63;59;3;0;24;48;204;3;
111;Saint-François;2014-04-07;G;Sherbrooke, v;28;;52;384;6;4;1;60;65;0;0;24;43;203;7;
111;Saint-François;2014-04-07;G;Sherbrooke, v;28;;53;375;0;1;0;66;85;4;0;25;30;211;7;
111;Saint-François;2014-04-07;G;Sherbrooke, v;28;;54;377;1;2;1;53;64;2;0;20;38;181;3;
111;Saint-François;2014-04-07;G;Sherbrooke, v;28;;55;357;0;2;0;42;51;1;1;31;32;160;1;
111;Saint-François;2014-04-07;G;Sherbrooke, v;28;;56;371;3;1;1;51;63;3;0;14;40;176;6;
111;Saint-François;2014-04-07;G;Sherbrooke, v;28;;57;395;0;3;0;40;50;1;1;21;28;144;4;
111;Saint-François;2014-04-07;G;Sherbrooke, v;28;;58;394;0;2;2;37;41;1;0;34;17;134;3;
111;Saint-François;2014-04-07;G;Sherbrooke, v;28;;59;373;2;2;0;29;47;1;0;17;17;115;3;
111;Saint-François;2014-04-07;G;Sherbrooke, v;28;;60;381;1;3;3;31;62;0;0;22;33;155;6;
111;Saint-François;2014-04-07;G;Sherbrooke, v;28;;61;368;2;4;1;53;49;1;0;8;24;142;0;
111;Saint-François;2014-04-07;G;Sherbrooke, v;29;;62;379;1;0;0;62;70;0;0;21;31;185;3;
111;Saint-François;2014-04-07;G;Sherbrooke, v;29;;63;379;3;0;0;68;58;4;1;10;33;177;4;
111;Saint-François;2014-04-07;G;Sherbrooke, v;29;;64;384;1;2;2;55;66;2;0;12;41;181;3;
