Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Arpin Louise P.L.Q./Q.L.P.;Labbé Simon É.A.P. - P.C.Q.;Pelland Danielle Q.S.;Pelletier Émilien P.Q.;Pothier Éric O.N. - P.I.Q.;Soucy Chantal C.A.Q.-É.F.L.;B.V.;B.R.;
263;Saint-Hyacinthe;2014-04-07;G;La Présentation, m;1;;1;386;55;1;13;72;1;83;225;5;
263;Saint-Hyacinthe;2014-04-07;G;La Présentation, m;1;;2;366;74;1;12;81;0;79;247;6;
263;Saint-Hyacinthe;2014-04-07;G;La Présentation, m;1;;3;376;66;4;12;58;1;105;246;5;
263;Saint-Hyacinthe;2014-04-07;G;La Présentation, m;1;;4;377;54;3;16;44;2;106;225;14;
263;Saint-Hyacinthe;2014-04-07;G;La Présentation, m;1;;5;364;69;1;17;55;2;105;249;2;
263;Saint-Hyacinthe;2014-04-07;G;Saint-Hyacinthe, v;1;;6;405;71;1;22;67;0;84;245;1;
263;Saint-Hyacinthe;2014-04-07;G;Saint-Hyacinthe, v;1;;7A;300;44;0;7;41;1;60;153;4;
263;Saint-Hyacinthe;2014-04-07;G;Saint-Hyacinthe, v;1;;7B;170;16;2;9;28;2;49;106;5;
263;Saint-Hyacinthe;2014-04-07;G;Saint-Hyacinthe, v;1;;8;393;70;0;12;58;3;100;243;5;
263;Saint-Hyacinthe;2014-04-07;G;Saint-Hyacinthe, v;1;;9;396;65;2;12;73;0;74;226;10;
263;Saint-Hyacinthe;2014-04-07;G;Saint-Hyacinthe, v;1;;10;401;55;1;17;78;0;121;272;8;
263;Saint-Hyacinthe;2014-04-07;G;Saint-Hyacinthe, v;1;;11;404;57;0;13;85;3;94;252;5;
263;Saint-Hyacinthe;2014-04-07;G;Saint-Hyacinthe, v;1;;12;383;63;5;11;45;0;91;215;5;
263;Saint-Hyacinthe;2014-04-07;G;Saint-Hyacinthe, v;1;;13;379;56;0;8;51;3;77;195;5;
263;Saint-Hyacinthe;2014-04-07;G;Saint-Hyacinthe, v;2;;14;383;50;1;10;49;1;88;199;6;
263;Saint-Hyacinthe;2014-04-07;G;Saint-Hyacinthe, v;2;;15;338;56;1;9;81;0;60;207;4;
263;Saint-Hyacinthe;2014-04-07;G;Saint-Hyacinthe, v;2;;16;341;44;1;8;69;2;82;206;3;
263;Saint-Hyacinthe;2014-04-07;G;Saint-Hyacinthe, v;2;;17;346;48;3;13;65;1;70;200;2;
263;Saint-Hyacinthe;2014-04-07;G;Saint-Hyacinthe, v;2;;18;351;61;1;17;87;1;67;234;5;
263;Saint-Hyacinthe;2014-04-07;G;Saint-Hyacinthe, v;2;;19;337;45;1;20;47;3;60;176;5;
263;Saint-Hyacinthe;2014-04-07;G;Saint-Hyacinthe, v;2;;20;330;59;2;9;69;3;48;190;8;
263;Saint-Hyacinthe;2014-04-07;G;Saint-Hyacinthe, v;2;;21;322;51;2;11;55;1;54;174;3;
263;Saint-Hyacinthe;2014-04-07;G;Saint-Hyacinthe, v;3;;22;362;49;5;19;54;1;83;211;3;
263;Saint-Hyacinthe;2014-04-07;G;Saint-Hyacinthe, v;3;;23;363;45;0;10;72;4;60;191;2;
263;Saint-Hyacinthe;2014-04-07;G;Saint-Hyacinthe, v;3;;24;351;67;1;18;64;0;65;215;7;
263;Saint-Hyacinthe;2014-04-07;G;Saint-Hyacinthe, v;3;;25A;188;22;1;0;32;2;40;97;5;
263;Saint-Hyacinthe;2014-04-07;G;Saint-Hyacinthe, v;3;;25B;250;50;2;8;38;1;57;156;1;
263;Saint-Hyacinthe;2014-04-07;G;Saint-Hyacinthe, v;3;;26;388;79;0;14;66;3;67;229;6;
263;Saint-Hyacinthe;2014-04-07;G;Saint-Hyacinthe, v;3;;27;388;62;1;19;44;0;63;189;5;
263;Saint-Hyacinthe;2014-04-07;G;Saint-Hyacinthe, v;3;;28;381;61;1;19;66;1;60;208;3;
263;Saint-Hyacinthe;2014-04-07;G;Saint-Hyacinthe, v;3;;29;348;65;0;22;56;5;37;185;10;
263;Saint-Hyacinthe;2014-04-07;G;Saint-Hyacinthe, v;3;;30;344;45;3;16;62;2;38;166;7;
263;Saint-Hyacinthe;2014-04-07;G;Saint-Hyacinthe, v;3;;31;382;42;1;22;71;1;48;185;5;
263;Saint-Hyacinthe;2014-04-07;G;Saint-Hyacinthe, v;4;;32;375;48;2;16;57;2;77;202;3;
263;Saint-Hyacinthe;2014-04-07;G;Saint-Hyacinthe, v;4;;33;379;46;1;21;73;6;58;205;9;
263;Saint-Hyacinthe;2014-04-07;G;Saint-Hyacinthe, v;4;;34;362;50;0;16;65;2;68;201;11;
263;Saint-Hyacinthe;2014-04-07;G;Saint-Hyacinthe, v;4;;35;361;78;1;20;70;1;20;190;5;
263;Saint-Hyacinthe;2014-04-07;G;Saint-Hyacinthe, v;4;;36;357;53;1;13;48;2;50;167;5;
