Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bossé Bélanger Jade O.N. - P.I.Q.;Denis Marie-Josée P.L.Q./Q.L.P.;Grenier Maryse É.A.P. - P.C.Q.;Lusignan Carole Q.S.;Tremblay Serge C.A.Q.-É.F.L.;Turcotte Dave P.Q.;B.V.;B.R.;
189;Saint-Jean;2014-04-07;G;Saint-Blaise-sur-Richelieu, m;1;;1;392;4;93;2;21;78;69;267;4;
189;Saint-Jean;2014-04-07;G;Saint-Blaise-sur-Richelieu, m;1;;2;412;1;59;2;8;70;104;244;8;
189;Saint-Jean;2014-04-07;G;Saint-Blaise-sur-Richelieu, m;1;;3;382;1;55;2;12;91;71;232;7;
189;Saint-Jean;2014-04-07;G;Saint-Blaise-sur-Richelieu, m;1;;4;397;4;63;1;22;109;87;286;6;
189;Saint-Jean;2014-04-07;G;Saint-Jean-sur-Richelieu, v;1;;5;372;1;48;0;4;58;47;158;8;
189;Saint-Jean;2014-04-07;G;Saint-Jean-sur-Richelieu, v;1;;6;358;0;25;0;12;87;54;178;9;
189;Saint-Jean;2014-04-07;G;Saint-Jean-sur-Richelieu, v;1;;7;365;1;36;0;22;60;60;179;11;
189;Saint-Jean;2014-04-07;G;Saint-Jean-sur-Richelieu, v;1;;8;364;2;47;0;15;67;66;197;4;
189;Saint-Jean;2014-04-07;G;Saint-Jean-sur-Richelieu, v;1;;9;354;3;52;2;23;70;79;229;7;
189;Saint-Jean;2014-04-07;G;Saint-Jean-sur-Richelieu, v;2;;10;369;5;50;2;9;88;77;231;4;
189;Saint-Jean;2014-04-07;G;Saint-Jean-sur-Richelieu, v;2;;11;373;1;52;0;15;99;57;224;4;
189;Saint-Jean;2014-04-07;G;Saint-Jean-sur-Richelieu, v;2;;12;380;2;66;1;11;86;78;244;12;
189;Saint-Jean;2014-04-07;G;Saint-Jean-sur-Richelieu, v;2;;13A;267;1;50;0;10;61;40;162;0;
189;Saint-Jean;2014-04-07;G;Saint-Jean-sur-Richelieu, v;2;;13B;203;0;22;1;9;41;49;122;0;
189;Saint-Jean;2014-04-07;G;Saint-Jean-sur-Richelieu, v;2;;14;382;0;53;1;6;89;85;234;3;
189;Saint-Jean;2014-04-07;G;Saint-Jean-sur-Richelieu, v;2;;15;379;1;48;3;24;108;69;253;2;
189;Saint-Jean;2014-04-07;G;Saint-Jean-sur-Richelieu, v;2;;16;354;2;56;1;13;93;77;242;5;
189;Saint-Jean;2014-04-07;G;Saint-Jean-sur-Richelieu, v;3;;17;385;5;44;0;15;85;86;235;1;
189;Saint-Jean;2014-04-07;G;Saint-Jean-sur-Richelieu, v;3;;18;364;0;64;1;18;63;52;198;4;
189;Saint-Jean;2014-04-07;G;Saint-Jean-sur-Richelieu, v;3;;19;399;1;56;0;20;82;85;244;2;
189;Saint-Jean;2014-04-07;G;Saint-Jean-sur-Richelieu, v;3;;20;377;2;54;2;7;71;63;199;3;
189;Saint-Jean;2014-04-07;G;Saint-Jean-sur-Richelieu, v;3;;21;403;2;56;1;13;76;59;207;8;
189;Saint-Jean;2014-04-07;G;Saint-Jean-sur-Richelieu, v;4;;22;333;3;91;1;10;66;35;206;5;
