Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Charbonneau Patrice C.A.Q.-É.F.L.;Dubois Armand P.L.Q./Q.L.P.;Lemay-Thivierge Vincent Q.S.;Morin Bruno É.A.P. - P.C.Q.;Péladeau Pierre Karl P.Q.;Trottier-Kavanagh Mathieu O.N. - P.I.Q.;B.V.;B.R.;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;1;;1;305;63;21;24;0;38;2;148;3;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;1;;2;322;65;20;29;1;53;1;169;1;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;1;;3;299;42;14;18;0;63;0;137;9;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;1;;4;298;48;18;18;1;44;2;131;5;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;1;;5;297;47;19;14;0;57;1;138;5;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;2;;6;321;62;18;11;1;48;2;142;2;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;2;;7;316;72;11;20;0;50;1;154;1;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;2;;8;350;74;24;9;0;58;0;165;2;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;2;;9;327;58;21;19;1;50;3;152;4;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;3;;10;359;87;35;19;2;68;0;211;6;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;3;;11;346;61;19;12;1;57;0;150;4;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;3;;12;330;58;28;27;2;65;0;180;6;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;3;;13;292;51;10;30;1;82;0;174;3;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;3;;14;291;58;18;21;0;54;0;151;3;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;3;;15;320;69;25;36;0;62;0;192;3;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;3;;16A;369;70;29;20;1;77;3;200;1;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;3;;16B;280;49;47;11;0;52;0;159;1;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;3;;17;318;72;26;13;2;55;2;170;2;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;3;;18;285;33;26;4;0;28;1;92;3;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;3;;19;340;71;22;17;0;47;1;158;5;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;3;;20;320;64;17;15;0;67;0;163;1;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;3;;21;292;69;27;9;0;54;0;159;3;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;3;;22;406;90;26;33;0;71;2;222;3;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;4;;23;378;75;34;16;0;95;1;221;1;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;4;;24;330;60;28;27;0;77;0;192;1;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;4;;25;337;76;37;6;0;65;1;185;1;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;4;;26;292;49;30;16;0;56;0;151;3;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;4;;27;337;69;17;28;0;64;1;179;5;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;4;;28;305;60;16;15;0;50;0;141;1;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;4;;29;321;62;36;16;3;61;0;178;3;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;4;;30;322;59;31;10;1;57;1;159;0;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;4;;31;374;85;40;16;0;63;0;204;5;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;4;;32A;220;43;20;10;0;51;1;125;3;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;4;;32B;252;47;33;8;0;28;0;116;1;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;4;;33;341;70;27;17;0;58;0;172;3;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;4;;34;348;75;28;14;2;43;0;162;5;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;4;;35;359;62;13;21;2;77;1;176;3;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;4;;36;376;85;33;19;0;68;1;206;5;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;5;;37;326;68;23;13;0;59;0;163;0;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;5;;38;311;67;17;22;0;62;1;169;3;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;5;;39;322;70;41;12;2;46;0;171;1;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;5;;40;292;55;10;15;0;52;1;133;3;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;5;;41;316;79;34;15;0;56;0;184;2;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;5;;42;310;51;28;12;2;64;0;157;1;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;5;;43A;210;34;18;15;0;41;3;111;2;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;5;;43B;224;64;17;11;0;43;0;135;2;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;5;;44;278;23;17;8;1;31;0;80;5;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;6;;45A;116;18;8;2;0;26;0;54;0;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;6;;45B;354;63;26;8;0;43;0;140;2;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;6;;46;416;53;26;27;2;68;1;177;4;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;6;;47;304;31;26;14;0;43;0;114;1;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;6;;48;278;29;17;8;0;44;1;99;3;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;6;;49;285;47;25;19;2;32;1;126;3;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;6;;50;291;44;21;10;0;41;2;118;2;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;6;;51;288;40;10;22;1;37;3;113;2;
