Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bandou Rachid P.Q.;Beaudry Jennifer O.N. - P.I.Q.;Deschamps Fernand P.M.L.Q.;Diallo Tidiane P.V.Q./G.P.Q.;Fournier Jean-Marc P.L.Q./Q.L.P.;Kadiri Hasnaa Q.S.;Morissette Guy É.A.P. - P.C.Q.;B.V.;B.R.;
417;Saint-Laurent;2014-04-07;G;Montréal, v;21;;1;505;39;2;1;2;119;12;3;178;5;
417;Saint-Laurent;2014-04-07;G;Montréal, v;21;Regr. BVO-1;2;0;0;0;0;0;0;0;0;0;0;
417;Saint-Laurent;2014-04-07;G;Montréal, v;21;;3;284;18;1;0;4;149;8;4;184;0;
417;Saint-Laurent;2014-04-07;G;Montréal, v;21;;4;236;6;2;0;4;127;4;2;145;1;
417;Saint-Laurent;2014-04-07;G;Montréal, v;21;;5;269;23;1;0;5;145;11;1;186;6;
417;Saint-Laurent;2014-04-07;G;Montréal, v;21;;6;356;21;0;0;4;192;9;2;228;2;
417;Saint-Laurent;2014-04-07;G;Montréal, v;21;;7;296;8;2;0;2;122;5;5;144;0;
417;Saint-Laurent;2014-04-07;G;Montréal, v;21;;8;279;15;2;1;2;133;14;3;170;4;
417;Saint-Laurent;2014-04-07;G;Montréal, v;21;;9;289;30;1;0;4;136;22;6;199;0;
417;Saint-Laurent;2014-04-07;G;Montréal, v;21;;10;301;12;0;1;2;169;5;0;189;2;
417;Saint-Laurent;2014-04-07;G;Montréal, v;22;;11;286;5;1;0;3;168;1;0;178;2;
417;Saint-Laurent;2014-04-07;G;Montréal, v;22;;12;282;8;0;1;1;136;5;2;153;2;
417;Saint-Laurent;2014-04-07;G;Montréal, v;22;;13;293;17;1;2;3;149;5;2;179;3;
417;Saint-Laurent;2014-04-07;G;Montréal, v;22;;14;290;20;0;2;11;152;16;0;201;4;
417;Saint-Laurent;2014-04-07;G;Montréal, v;22;;15;315;30;2;0;2;142;15;1;192;1;
417;Saint-Laurent;2014-04-07;G;Montréal, v;22;;16;296;15;2;0;4;135;15;2;173;3;
417;Saint-Laurent;2014-04-07;G;Montréal, v;22;;17;567;15;1;2;4;118;7;2;149;0;
417;Saint-Laurent;2014-04-07;G;Montréal, v;22;Regr. BVO-17;18;0;0;0;0;0;0;0;0;0;0;
417;Saint-Laurent;2014-04-07;G;Montréal, v;22;Regr. BVO-17;19;0;0;0;0;0;0;0;0;0;0;
417;Saint-Laurent;2014-04-07;G;Montréal, v;22;;20;275;32;0;0;6;73;20;4;135;3;
417;Saint-Laurent;2014-04-07;G;Montréal, v;23;;21;316;33;2;0;3;88;23;3;152;2;
417;Saint-Laurent;2014-04-07;G;Montréal, v;23;;22;272;44;1;1;6;67;22;1;142;4;
417;Saint-Laurent;2014-04-07;G;Montréal, v;23;;23;273;23;1;0;3;70;10;4;111;3;
417;Saint-Laurent;2014-04-07;G;Montréal, v;23;;24;298;20;2;2;3;92;7;3;129;4;
417;Saint-Laurent;2014-04-07;G;Montréal, v;23;;25;327;17;0;0;2;105;6;2;132;1;
417;Saint-Laurent;2014-04-07;G;Montréal, v;23;;26;238;10;1;1;3;78;3;1;97;1;
