Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Audet Marie-Line Q.S.;Giguère Pierre P.L.Q./Q.L.P.;Guillemette Jean O.N. - P.I.Q.;Lapointe Jonathan É.A.P. - P.C.Q.;Mongeau Stéphane C.A.Q.-É.F.L.;Trudel Luc P.Q.;B.V.;B.R.;
343;Saint-Maurice;2014-04-07;G;Shawinigan, v;1;;1;301;15;40;3;1;38;50;147;5;
343;Saint-Maurice;2014-04-07;G;Shawinigan, v;1;;2;280;11;41;1;4;52;34;143;2;
343;Saint-Maurice;2014-04-07;G;Shawinigan, v;1;;3;286;12;33;2;2;59;45;153;4;
343;Saint-Maurice;2014-04-07;G;Shawinigan, v;1;;4;321;11;50;1;3;61;36;162;6;
343;Saint-Maurice;2014-04-07;G;Shawinigan, v;1;;5;261;4;36;1;1;57;28;127;5;
343;Saint-Maurice;2014-04-07;G;Shawinigan, v;1;;6;308;4;36;1;1;63;43;148;0;
343;Saint-Maurice;2014-04-07;G;Shawinigan, v;2;;7A;229;1;49;0;4;52;34;140;0;
343;Saint-Maurice;2014-04-07;G;Shawinigan, v;2;;7B;240;5;42;0;0;64;51;162;2;
343;Saint-Maurice;2014-04-07;G;Shawinigan, v;2;;8;310;10;47;2;0;58;62;179;5;
343;Saint-Maurice;2014-04-07;G;Shawinigan, v;2;;9;263;8;35;0;1;54;39;137;2;
343;Saint-Maurice;2014-04-07;G;Shawinigan, v;2;;10;279;9;60;1;0;28;58;156;1;
343;Saint-Maurice;2014-04-07;G;Shawinigan, v;2;;11;256;4;36;2;1;45;36;124;4;
343;Saint-Maurice;2014-04-07;G;Shawinigan, v;2;;12;258;4;37;0;3;70;35;149;6;
343;Saint-Maurice;2014-04-07;G;Shawinigan, v;3;;13;301;9;27;2;0;29;37;104;2;
343;Saint-Maurice;2014-04-07;G;Shawinigan, v;3;;14;269;6;24;0;0;19;31;80;4;
343;Saint-Maurice;2014-04-07;G;Shawinigan, v;3;;15;273;5;25;0;0;22;36;88;3;
343;Saint-Maurice;2014-04-07;G;Shawinigan, v;3;;16;262;6;31;1;2;22;24;86;1;
343;Saint-Maurice;2014-04-07;G;Shawinigan, v;3;;17;303;4;33;1;1;32;44;115;5;
343;Saint-Maurice;2014-04-07;G;Shawinigan, v;3;;18;237;5;29;1;0;15;46;96;3;
343;Saint-Maurice;2014-04-07;G;Shawinigan, v;3;;19;249;4;25;0;1;17;35;82;1;
343;Saint-Maurice;2014-04-07;G;Shawinigan, v;3;;20;261;3;35;1;0;37;29;105;2;
343;Saint-Maurice;2014-04-07;G;Shawinigan, v;3;;21;230;6;36;1;3;35;19;100;3;
343;Saint-Maurice;2014-04-07;G;Shawinigan, v;4;;22;223;1;22;1;3;16;19;62;1;
343;Saint-Maurice;2014-04-07;G;Shawinigan, v;4;;23;257;1;22;0;1;17;38;79;4;
343;Saint-Maurice;2014-04-07;G;Shawinigan, v;4;;24;313;4;14;0;1;9;21;49;3;
343;Saint-Maurice;2014-04-07;G;Shawinigan, v;4;Regr. BVO-24;25;0;0;0;0;0;0;0;0;0;
343;Saint-Maurice;2014-04-07;G;Shawinigan, v;4;;26;231;0;22;0;1;31;27;81;0;
343;Saint-Maurice;2014-04-07;G;Shawinigan, v;4;;27;258;5;27;2;0;27;24;85;2;
343;Saint-Maurice;2014-04-07;G;Shawinigan, v;4;;28;267;11;30;0;0;35;30;106;4;
343;Saint-Maurice;2014-04-07;G;Shawinigan, v;4;;29;246;4;33;0;5;30;54;126;4;
343;Saint-Maurice;2014-04-07;G;Shawinigan, v;4;;30;263;2;34;2;2;36;29;105;1;
343;Saint-Maurice;2014-04-07;G;Shawinigan, v;4;;31;254;9;26;0;1;30;41;107;1;
343;Saint-Maurice;2014-04-07;G;Shawinigan, v;5;;32;291;4;33;1;2;29;31;100;0;
343;Saint-Maurice;2014-04-07;G;Shawinigan, v;5;;33;254;8;31;1;2;38;27;107;8;
343;Saint-Maurice;2014-04-07;G;Shawinigan, v;5;;34;249;7;21;1;0;27;25;81;4;
343;Saint-Maurice;2014-04-07;G;Shawinigan, v;5;;35;268;2;43;0;0;50;47;142;5;
343;Saint-Maurice;2014-04-07;G;Shawinigan, v;5;;36;249;4;41;0;1;31;37;114;1;
