Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Cavaliere Domenico C.A.Q.-É.F.L.;da Silva Pereira André Q.S.;Forget Bruno O.N. - P.I.Q.;Habel Jean P.L.Q./Q.L.P.;Proulx Suzanne P.Q.;B.V.;B.R.;
447;Sainte-Rose;2014-04-07;G;Laval, v;13;;1;388;59;6;1;99;53;218;6;
447;Sainte-Rose;2014-04-07;G;Laval, v;13;;2;368;62;9;3;78;56;208;4;
447;Sainte-Rose;2014-04-07;G;Laval, v;13;;3;375;60;19;0;86;53;218;6;
447;Sainte-Rose;2014-04-07;G;Laval, v;13;;4;404;74;21;0;69;57;221;7;
447;Sainte-Rose;2014-04-07;G;Laval, v;13;;5;396;45;17;1;115;33;211;4;
447;Sainte-Rose;2014-04-07;G;Laval, v;13;;6;376;68;23;6;72;55;224;6;
447;Sainte-Rose;2014-04-07;G;Laval, v;13;;7;362;69;16;0;85;74;244;1;
447;Sainte-Rose;2014-04-07;G;Laval, v;13;;8;387;51;11;2;89;58;211;8;
447;Sainte-Rose;2014-04-07;G;Laval, v;13;;9;389;63;11;2;65;93;234;2;
447;Sainte-Rose;2014-04-07;G;Laval, v;13;;10;388;100;15;2;70;62;249;2;
447;Sainte-Rose;2014-04-07;G;Laval, v;14;;11;426;54;13;1;132;58;258;2;
447;Sainte-Rose;2014-04-07;G;Laval, v;14;;12;414;68;9;2;131;58;268;3;
447;Sainte-Rose;2014-04-07;G;Laval, v;14;;13;398;53;18;1;84;63;219;7;
447;Sainte-Rose;2014-04-07;G;Laval, v;14;;14;425;54;9;2;109;59;233;3;
447;Sainte-Rose;2014-04-07;G;Laval, v;14;;15;406;70;24;0;127;56;277;5;
447;Sainte-Rose;2014-04-07;G;Laval, v;14;;16;405;67;4;2;113;39;225;2;
447;Sainte-Rose;2014-04-07;G;Laval, v;14;;17;413;69;10;2;99;50;230;7;
447;Sainte-Rose;2014-04-07;G;Laval, v;14;;18;401;71;21;1;83;60;236;3;
447;Sainte-Rose;2014-04-07;G;Laval, v;14;;19;421;58;18;0;96;79;251;5;
447;Sainte-Rose;2014-04-07;G;Laval, v;14;;20;409;66;9;2;85;60;222;3;
447;Sainte-Rose;2014-04-07;G;Laval, v;14;;21;406;56;12;2;61;45;176;6;
447;Sainte-Rose;2014-04-07;G;Laval, v;14;;22;394;52;11;2;67;62;194;4;
447;Sainte-Rose;2014-04-07;G;Laval, v;14;;23;401;43;8;1;95;49;196;5;
447;Sainte-Rose;2014-04-07;G;Laval, v;14;;24;407;57;16;9;75;51;208;7;
447;Sainte-Rose;2014-04-07;G;Laval, v;14;;25;398;52;14;1;51;65;183;5;
447;Sainte-Rose;2014-04-07;G;Laval, v;14;;26;412;58;13;2;85;66;224;6;
447;Sainte-Rose;2014-04-07;G;Laval, v;14;;27;409;58;10;0;106;56;230;4;
447;Sainte-Rose;2014-04-07;G;Laval, v;14;;28;400;59;12;3;72;65;211;1;
447;Sainte-Rose;2014-04-07;G;Laval, v;14;;29;408;49;15;3;86;61;214;3;
447;Sainte-Rose;2014-04-07;G;Laval, v;14;;30;402;50;13;1;74;77;215;6;
447;Sainte-Rose;2014-04-07;G;Laval, v;15;;31;399;45;8;1;63;57;174;4;
447;Sainte-Rose;2014-04-07;G;Laval, v;15;;32;407;74;17;2;67;82;242;3;
447;Sainte-Rose;2014-04-07;G;Laval, v;15;;33;413;64;24;8;74;87;257;2;
447;Sainte-Rose;2014-04-07;G;Laval, v;15;;34;409;64;16;2;95;76;253;9;
447;Sainte-Rose;2014-04-07;G;Laval, v;15;;35;394;57;11;1;109;58;236;3;
447;Sainte-Rose;2014-04-07;G;Laval, v;15;;36;426;65;16;5;120;61;267;3;
447;Sainte-Rose;2014-04-07;G;Laval, v;15;;37;425;50;10;2;177;33;272;3;
447;Sainte-Rose;2014-04-07;G;Laval, v;15;;38;417;42;10;2;170;44;268;2;
447;Sainte-Rose;2014-04-07;G;Laval, v;15;;39;415;77;16;2;111;53;259;5;
447;Sainte-Rose;2014-04-07;G;Laval, v;15;;40;405;64;23;2;138;57;284;5;
447;Sainte-Rose;2014-04-07;G;Laval, v;15;;41;419;59;20;3;138;63;283;3;
447;Sainte-Rose;2014-04-07;G;Laval, v;16;;42;378;71;10;0;99;76;256;2;
447;Sainte-Rose;2014-04-07;G;Laval, v;16;;43;381;70;5;1;109;48;233;2;
447;Sainte-Rose;2014-04-07;G;Laval, v;16;;44;378;58;12;0;113;45;228;4;
447;Sainte-Rose;2014-04-07;G;Laval, v;16;;45;345;53;12;1;85;58;209;7;
447;Sainte-Rose;2014-04-07;G;Laval, v;16;;46;354;64;17;0;66;73;220;8;
447;Sainte-Rose;2014-04-07;G;Laval, v;16;;47;375;71;17;0;89;58;235;4;
447;Sainte-Rose;2014-04-07;G;Laval, v;16;;48;365;53;6;0;127;54;240;6;
447;Sainte-Rose;2014-04-07;G;Laval, v;54;;49;368;53;11;5;86;60;215;7;
447;Sainte-Rose;2014-04-07;G;Laval, v;54;;50;366;53;11;2;98;68;232;2;
447;Sainte-Rose;2014-04-07;G;Laval, v;54;;51;364;63;16;2;86;69;236;7;
447;Sainte-Rose;2014-04-07;G;Laval, v;54;;52;363;52;8;4;110;72;246;3;
