Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Dagenais Alexandre É.A.P. - P.C.Q.;Héroux Hélène P.M.L.Q.;Laramée Christian Q.S.;Leftakis Denis C.A.Q.-É.F.L.;Moreau Robert O.N. - P.I.Q.;Pellerin Jean Paul P.L.Q./Q.L.P.;Therrien Alain P.Q.;B.V.;B.R.;
177;Sanguinet;2014-04-07;G;Saint-Mathieu, m;1;;1;413;2;2;12;74;1;21;75;187;8;
177;Sanguinet;2014-04-07;G;Saint-Mathieu, m;1;;2;424;1;1;10;78;1;38;58;187;4;
177;Sanguinet;2014-04-07;G;Saint-Mathieu, m;1;;3;418;2;1;10;105;4;54;79;255;3;
177;Sanguinet;2014-04-07;G;Saint-Mathieu, m;1;;4;415;2;1;5;91;2;64;75;240;4;
177;Sanguinet;2014-04-07;G;Saint-Constant, v;1;;5;400;4;0;12;80;3;47;79;225;4;
177;Sanguinet;2014-04-07;G;Saint-Constant, v;1;;6;377;3;0;11;44;2;52;55;167;9;
177;Sanguinet;2014-04-07;G;Saint-Constant, v;1;;7A;187;1;0;4;31;0;18;33;87;3;
177;Sanguinet;2014-04-07;G;Saint-Constant, v;1;;7B;249;0;0;5;38;1;23;43;110;3;
177;Sanguinet;2014-04-07;G;Saint-Constant, v;1;;8;359;1;0;11;55;3;31;69;170;4;
177;Sanguinet;2014-04-07;G;Saint-Constant, v;1;;9;367;2;2;20;63;2;48;84;221;7;
177;Sanguinet;2014-04-07;G;Saint-Constant, v;1;;10;389;2;0;15;77;1;64;76;235;2;
177;Sanguinet;2014-04-07;G;Saint-Constant, v;1;;11;375;2;1;9;59;2;58;86;217;9;
177;Sanguinet;2014-04-07;G;Saint-Constant, v;1;;12;372;2;0;12;56;2;36;62;170;0;
177;Sanguinet;2014-04-07;G;Saint-Constant, v;2;;13;384;1;0;10;68;2;66;57;204;7;
177;Sanguinet;2014-04-07;G;Saint-Constant, v;2;;14;401;1;0;16;69;2;77;66;231;2;
177;Sanguinet;2014-04-07;G;Saint-Constant, v;2;;15;411;1;1;11;80;0;83;61;237;4;
177;Sanguinet;2014-04-07;G;Saint-Constant, v;2;;16;401;3;2;23;78;5;60;77;248;6;
177;Sanguinet;2014-04-07;G;Saint-Constant, v;2;;17;404;0;1;10;80;2;56;79;228;5;
177;Sanguinet;2014-04-07;G;Saint-Constant, v;2;;18;398;5;0;10;83;3;64;59;224;8;
177;Sanguinet;2014-04-07;G;Saint-Constant, v;2;;19;385;0;0;12;73;5;51;55;196;5;
177;Sanguinet;2014-04-07;G;Saint-Constant, v;2;;20A;238;0;0;16;35;0;43;47;141;2;
177;Sanguinet;2014-04-07;G;Saint-Constant, v;2;;20B;227;0;0;11;39;1;33;56;140;5;
177;Sanguinet;2014-04-07;G;Saint-Constant, v;3;;21;395;0;2;14;71;3;78;68;236;2;
177;Sanguinet;2014-04-07;G;Saint-Constant, v;3;;22;389;1;2;11;59;1;87;61;222;2;
177;Sanguinet;2014-04-07;G;Saint-Constant, v;3;;23;352;1;0;9;77;2;60;64;213;0;
177;Sanguinet;2014-04-07;G;Saint-Constant, v;3;;24;399;3;4;12;82;1;65;71;238;3;
177;Sanguinet;2014-04-07;G;Saint-Constant, v;3;;25;383;3;0;7;96;1;52;67;226;7;
177;Sanguinet;2014-04-07;G;Saint-Constant, v;3;;26;377;2;1;7;71;1;56;66;204;5;
177;Sanguinet;2014-04-07;G;Saint-Constant, v;3;;27;366;0;1;13;44;2;29;53;142;6;
177;Sanguinet;2014-04-07;G;Saint-Constant, v;3;;28;402;2;0;7;50;1;28;78;166;8;
177;Sanguinet;2014-04-07;G;Saint-Constant, v;4;;29;381;0;0;8;78;3;28;89;206;4;
177;Sanguinet;2014-04-07;G;Saint-Constant, v;4;;30;414;0;2;19;86;2;43;78;230;4;
177;Sanguinet;2014-04-07;G;Saint-Constant, v;4;;31;393;1;0;12;72;3;32;94;214;4;
177;Sanguinet;2014-04-07;G;Saint-Constant, v;4;;32;351;2;1;7;70;0;35;76;191;4;
177;Sanguinet;2014-04-07;G;Saint-Constant, v;4;;33;418;0;4;10;67;2;31;73;187;3;
177;Sanguinet;2014-04-07;G;Saint-Constant, v;4;Regr. BVO-33;34;0;0;0;0;0;0;0;0;0;0;
177;Sanguinet;2014-04-07;G;Saint-Constant, v;4;;35;362;4;2;13;71;1;51;70;212;3;
177;Sanguinet;2014-04-07;G;Saint-Constant, v;4;;36;376;2;0;20;78;2;62;69;233;3;
177;Sanguinet;2014-04-07;G;Saint-Constant, v;4;;37;383;3;0;7;77;1;57;100;245;3;
177;Sanguinet;2014-04-07;G;Saint-Constant, v;4;;38;419;1;0;12;79;0;60;71;223;3;
177;Sanguinet;2014-04-07;G;Saint-Constant, v;4;;39;384;4;1;11;86;1;53;70;226;8;
177;Sanguinet;2014-04-07;G;Saint-Constant, v;5;;40;360;2;0;11;52;0;43;70;178;3;
177;Sanguinet;2014-04-07;G;Saint-Constant, v;5;;41;371;1;1;12;68;2;59;61;204;10;
177;Sanguinet;2014-04-07;G;Saint-Constant, v;5;;42;378;17;2;0;89;2;41;79;230;6;
177;Sanguinet;2014-04-07;G;Saint-Constant, v;5;;43;407;2;1;9;104;1;58;59;234;2;
177;Sanguinet;2014-04-07;G;Saint-Constant, v;5;;44;399;1;0;7;88;1;61;74;232;5;
177;Sanguinet;2014-04-07;G;Saint-Constant, v;5;;45;380;1;2;10;76;1;49;67;206;6;
177;Sanguinet;2014-04-07;G;Saint-Constant, v;5;;46;376;0;0;8;76;0;66;76;226;5;
177;Sanguinet;2014-04-07;G;Saint-Constant, v;6;;47A;347;1;0;18;87;3;44;57;210;2;
177;Sanguinet;2014-04-07;G;Saint-Constant, v;6;;47B;334;1;0;16;66;0;72;38;193;4;
177;Sanguinet;2014-04-07;G;Saint-Constant, v;6;;47C;397;1;1;12;108;1;50;52;225;5;
177;Sanguinet;2014-04-07;G;Saint-Constant, v;6;;48;375;1;0;24;68;1;38;83;215;9;
177;Sanguinet;2014-04-07;G;Saint-Constant, v;6;;49;353;1;1;18;65;4;44;63;196;2;
177;Sanguinet;2014-04-07;G;Saint-Constant, v;6;;50;366;3;1;10;55;1;26;66;162;5;
177;Sanguinet;2014-04-07;G;Saint-Constant, v;6;;51;349;1;3;12;68;0;35;68;187;5;
177;Sanguinet;2014-04-07;G;Saint-Constant, v;6;;52;355;5;3;9;67;1;43;64;192;7;
177;Sanguinet;2014-04-07;G;Saint-Constant, v;6;;53A;221;0;1;11;53;0;40;28;133;0;
177;Sanguinet;2014-04-07;G;Saint-Constant, v;6;;53B;212;1;0;7;32;1;35;30;106;4;
177;Sanguinet;2014-04-07;G;Saint-Rémi, v;1;;54;290;3;0;3;69;2;39;43;159;5;
177;Sanguinet;2014-04-07;G;Saint-Rémi, v;1;;55;301;0;1;6;56;6;43;62;174;2;
177;Sanguinet;2014-04-07;G;Saint-Rémi, v;1;;56;314;0;0;5;48;0;39;49;141;2;
177;Sanguinet;2014-04-07;G;Saint-Rémi, v;1;;57;405;1;0;6;52;2;37;36;134;3;
177;Sanguinet;2014-04-07;G;Saint-Rémi, v;1;Regr. BVO-57;58;0;0;0;0;0;0;0;0;0;0;
177;Sanguinet;2014-04-07;G;Saint-Rémi, v;1;;59;300;3;0;4;52;3;34;33;129;3;
177;Sanguinet;2014-04-07;G;Saint-Rémi, v;1;;60;309;2;2;7;56;0;29;49;145;2;
177;Sanguinet;2014-04-07;G;Saint-Rémi, v;1;;61;297;0;0;3;69;3;39;55;169;2;
