Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Andrews Jeremy P.V.Q./G.P.Q.;Campbell Jean-Simon O.N. - P.I.Q.;Cardin Serge P.Q.;Drogue François É.A.P. - P.C.Q.;Fortin Luc P.L.Q./Q.L.P.;Girard Philippe C.A.Q.-É.F.L.;Pigot Hélène Q.S.;Richard Hubert Ind;Roy Jossy B.P.;B.V.;B.R.;
113;Sherbrooke;2014-04-07;G;Sherbrooke, v;7;;1;375;4;0;47;0;68;37;21;0;0;177;2;
113;Sherbrooke;2014-04-07;G;Sherbrooke, v;7;;2;382;2;2;51;1;102;43;12;0;3;216;5;
113;Sherbrooke;2014-04-07;G;Sherbrooke, v;7;;3A;172;1;1;22;0;23;28;5;0;0;80;0;
113;Sherbrooke;2014-04-07;G;Sherbrooke, v;7;;3B;283;2;0;32;0;47;36;7;0;0;124;3;
113;Sherbrooke;2014-04-07;G;Sherbrooke, v;7;;4;365;4;1;50;0;77;36;33;0;1;202;2;
113;Sherbrooke;2014-04-07;G;Sherbrooke, v;7;;5;382;4;1;45;0;70;62;21;0;1;204;5;
113;Sherbrooke;2014-04-07;G;Sherbrooke, v;7;;6;352;2;2;52;0;70;32;13;1;2;174;3;
113;Sherbrooke;2014-04-07;G;Sherbrooke, v;7;;7;375;2;0;55;1;92;49;19;1;0;219;1;
113;Sherbrooke;2014-04-07;G;Sherbrooke, v;7;;8;608;0;0;49;0;45;33;13;0;2;142;1;
113;Sherbrooke;2014-04-07;G;Sherbrooke, v;7;;9;371;1;1;56;1;75;25;9;0;2;170;1;
113;Sherbrooke;2014-04-07;G;Sherbrooke, v;7;;10;385;4;0;42;2;65;40;19;0;0;172;3;
113;Sherbrooke;2014-04-07;G;Sherbrooke, v;7;;11;352;3;2;55;4;72;34;20;0;1;191;3;
113;Sherbrooke;2014-04-07;G;Sherbrooke, v;8;;12;470;0;1;37;0;55;22;8;0;0;123;2;
113;Sherbrooke;2014-04-07;G;Sherbrooke, v;8;;13;531;0;0;49;0;62;35;6;0;0;152;5;
113;Sherbrooke;2014-04-07;G;Sherbrooke, v;8;;14;596;0;1;42;0;75;46;12;0;0;176;1;
113;Sherbrooke;2014-04-07;G;Sherbrooke, v;8;;15;345;2;0;43;1;68;37;6;0;0;157;4;
113;Sherbrooke;2014-04-07;G;Sherbrooke, v;8;;16;361;0;0;29;0;37;28;3;0;0;97;0;
113;Sherbrooke;2014-04-07;G;Sherbrooke, v;8;;17;403;3;0;47;2;67;57;13;2;0;191;0;
113;Sherbrooke;2014-04-07;G;Sherbrooke, v;9;;18;364;1;7;57;1;69;49;17;0;1;202;3;
113;Sherbrooke;2014-04-07;G;Sherbrooke, v;9;;19;362;0;2;42;1;58;34;19;0;1;157;5;
113;Sherbrooke;2014-04-07;G;Sherbrooke, v;9;;20;381;1;0;47;0;57;33;17;0;3;158;0;
113;Sherbrooke;2014-04-07;G;Sherbrooke, v;9;;21;364;5;2;38;2;52;34;23;0;0;156;1;
113;Sherbrooke;2014-04-07;G;Sherbrooke, v;9;;22;329;6;0;28;1;69;29;23;0;2;158;4;
