Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bessette Andrée Q.S.;Charlebois Lucie P.L.Q./Q.L.P.;Domingos Patricia P.Éq.;Marquis Patrick O.N. - P.I.Q.;Séguin Marie-Louise P.Q.;B.V.;B.R.;
163;Soulanges;2014-04-07;G;Pointe-Fortune, vl;1;;1;214;15;80;7;2;36;140;5;
163;Soulanges;2014-04-07;G;Pointe-Fortune, vl;1;;2;225;13;69;3;3;56;144;7;
163;Soulanges;2014-04-07;G;Rigaud, m;1;;3;317;19;93;9;3;62;186;9;
163;Soulanges;2014-04-07;G;Rigaud, m;1;;4;305;16;111;3;1;54;185;6;
163;Soulanges;2014-04-07;G;Rigaud, m;1;;5;337;19;101;12;1;63;196;9;
163;Soulanges;2014-04-07;G;Rigaud, m;1;;6;311;21;93;6;1;51;172;6;
163;Soulanges;2014-04-07;G;Rigaud, m;1;;7;330;15;90;5;2;49;161;7;
163;Soulanges;2014-04-07;G;Rigaud, m;1;;8;305;14;107;2;2;38;163;4;
163;Soulanges;2014-04-07;G;Rigaud, m;1;;9;324;14;130;6;2;41;193;5;
163;Soulanges;2014-04-07;G;Rigaud, m;1;;10;301;8;123;4;0;46;181;8;
163;Soulanges;2014-04-07;G;Rigaud, m;1;;11;313;23;88;10;3;65;189;6;
163;Soulanges;2014-04-07;G;Rigaud, m;1;;12;308;13;79;4;4;79;179;18;
163;Soulanges;2014-04-07;G;Rigaud, m;1;;13;317;16;87;6;3;70;182;10;
163;Soulanges;2014-04-07;G;Rigaud, m;1;;14;325;22;107;4;1;62;196;1;
163;Soulanges;2014-04-07;G;Rigaud, m;2;;15;401;29;101;3;2;81;216;16;
163;Soulanges;2014-04-07;G;Rigaud, m;2;;16;305;23;80;8;4;57;172;9;
163;Soulanges;2014-04-07;G;Rigaud, m;2;;17;403;15;104;5;3;89;216;9;
163;Soulanges;2014-04-07;G;Rigaud, m;2;;18;291;25;79;2;1;63;170;5;
163;Soulanges;2014-04-07;G;Rigaud, m;2;;19;345;19;73;4;1;60;157;6;
163;Soulanges;2014-04-07;G;Rigaud, m;2;Regr. BVO-19;20;0;0;0;0;0;0;0;0;
163;Soulanges;2014-04-07;G;Rigaud, m;2;;21;348;20;74;9;2;78;183;4;
163;Soulanges;2014-04-07;G;Rigaud, m;2;Regr. BVO-21;22;0;0;0;0;0;0;0;0;
163;Soulanges;2014-04-07;G;Très-Saint-Rédempteur, m;1;;23;337;33;75;9;5;78;200;8;
163;Soulanges;2014-04-07;G;Très-Saint-Rédempteur, m;1;;24;337;26;65;9;3;78;181;9;
163;Soulanges;2014-04-07;G;Sainte-Marthe, m;1;;25;289;14;110;3;3;52;182;3;
163;Soulanges;2014-04-07;G;Sainte-Marthe, m;1;;26;280;10;99;5;3;31;148;1;
163;Soulanges;2014-04-07;G;Sainte-Marthe, m;1;;27;298;31;73;5;1;56;166;7;
163;Soulanges;2014-04-07;G;Sainte-Justine-de-Newton, m;1;;28;258;14;66;24;3;44;151;5;
163;Soulanges;2014-04-07;G;Sainte-Justine-de-Newton, m;1;;29;237;20;61;13;3;51;148;6;
163;Soulanges;2014-04-07;G;Sainte-Justine-de-Newton, m;1;;30;251;11;73;11;1;56;152;10;
