Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Blanchard Manon Q.S.;Gervais-Després Éric O.N. - P.I.Q.;Lamarre Diane P.Q.;Tessier Maxime P.L.Q./Q.L.P.;Vaillancourt Sébastien C.A.Q.-É.F.L.;B.V.;B.R.;
223;Taillon;2014-04-07;G;Longueuil, v;35;;1;364;14;1;48;55;41;159;3;
223;Taillon;2014-04-07;G;Longueuil, v;35;;2;381;26;1;53;64;51;195;0;
223;Taillon;2014-04-07;G;Longueuil, v;35;;3;673;16;1;50;69;35;171;4;
223;Taillon;2014-04-07;G;Longueuil, v;35;Regr. BVO-3;4;0;0;0;0;0;0;0;0;
223;Taillon;2014-04-07;G;Longueuil, v;35;;5;380;14;0;52;60;52;178;4;
223;Taillon;2014-04-07;G;Longueuil, v;36;;6;415;27;2;79;46;42;196;6;
223;Taillon;2014-04-07;G;Longueuil, v;36;;7;395;17;1;53;54;44;169;6;
223;Taillon;2014-04-07;G;Longueuil, v;36;;8;389;21;1;54;69;68;213;1;
223;Taillon;2014-04-07;G;Longueuil, v;36;;9;380;16;0;55;54;69;194;6;
223;Taillon;2014-04-07;G;Longueuil, v;36;;10;373;23;2;43;37;27;132;0;
223;Taillon;2014-04-07;G;Longueuil, v;36;;11;356;17;0;43;50;33;143;2;
223;Taillon;2014-04-07;G;Longueuil, v;36;;12;371;25;2;57;57;56;197;5;
223;Taillon;2014-04-07;G;Longueuil, v;36;;13;384;26;2;79;52;43;202;6;
223;Taillon;2014-04-07;G;Longueuil, v;36;;14;381;23;0;81;64;44;212;0;
223;Taillon;2014-04-07;G;Longueuil, v;37;;15;351;9;3;32;21;30;95;9;
223;Taillon;2014-04-07;G;Longueuil, v;37;;16;381;16;1;60;21;34;132;9;
223;Taillon;2014-04-07;G;Longueuil, v;37;;17;378;16;2;29;31;31;109;7;
223;Taillon;2014-04-07;G;Longueuil, v;37;;18;389;10;3;47;45;28;133;3;
223;Taillon;2014-04-07;G;Longueuil, v;37;;19;380;10;2;35;42;19;108;2;
223;Taillon;2014-04-07;G;Longueuil, v;37;;20;370;18;3;33;67;28;149;3;
223;Taillon;2014-04-07;G;Longueuil, v;37;;21;379;19;2;54;63;42;180;7;
