Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Glia Meriem P.L.Q./Q.L.P.;Jacob Jean-François O.N. - P.I.Q.;Jarry Jean-François C.A.Q.-É.F.L.;Smith Yan Q.S.;Traversy Mathieu P.Q.;B.V.;B.R.;
453;Terrebonne;2014-04-07;G;Terrebonne, v;5;;1;355;29;2;79;9;74;193;3;
453;Terrebonne;2014-04-07;G;Terrebonne, v;5;;2;322;37;1;72;16;46;172;2;
453;Terrebonne;2014-04-07;G;Terrebonne, v;5;;3;358;42;3;96;14;59;214;5;
453;Terrebonne;2014-04-07;G;Terrebonne, v;5;;4;348;23;5;83;21;66;198;3;
453;Terrebonne;2014-04-07;G;Terrebonne, v;5;;5;336;24;3;68;13;76;184;5;
453;Terrebonne;2014-04-07;G;Terrebonne, v;5;;6;340;35;2;90;10;50;187;10;
453;Terrebonne;2014-04-07;G;Terrebonne, v;5;;7;345;53;0;85;8;50;196;4;
453;Terrebonne;2014-04-07;G;Terrebonne, v;5;;8;351;60;1;96;8;55;220;2;
453;Terrebonne;2014-04-07;G;Terrebonne, v;5;;9;330;68;1;74;17;43;203;0;
453;Terrebonne;2014-04-07;G;Terrebonne, v;5;;10;325;35;2;77;16;53;183;2;
453;Terrebonne;2014-04-07;G;Terrebonne, v;5;;11;325;62;1;82;1;51;197;3;
453;Terrebonne;2014-04-07;G;Terrebonne, v;5;;12;356;44;1;74;19;74;212;4;
453;Terrebonne;2014-04-07;G;Terrebonne, v;5;;13;337;87;1;67;13;55;223;3;
453;Terrebonne;2014-04-07;G;Terrebonne, v;5;;14;363;57;1;73;9;72;212;9;
453;Terrebonne;2014-04-07;G;Terrebonne, v;5;;15;351;55;0;69;12;56;192;4;
453;Terrebonne;2014-04-07;G;Terrebonne, v;5;;16;330;58;2;58;20;52;190;3;
453;Terrebonne;2014-04-07;G;Terrebonne, v;5;;17;333;35;4;65;9;61;174;1;
453;Terrebonne;2014-04-07;G;Terrebonne, v;6;;18;314;49;2;59;11;64;185;9;
453;Terrebonne;2014-04-07;G;Terrebonne, v;6;;19;328;48;4;74;9;61;196;0;
453;Terrebonne;2014-04-07;G;Terrebonne, v;6;;20;317;32;3;75;15;70;195;3;
453;Terrebonne;2014-04-07;G;Terrebonne, v;6;;21;299;39;3;65;12;54;173;1;
453;Terrebonne;2014-04-07;G;Terrebonne, v;6;;22;387;73;0;81;21;69;244;5;
453;Terrebonne;2014-04-07;G;Terrebonne, v;6;;23;301;33;2;43;10;57;145;5;
453;Terrebonne;2014-04-07;G;Terrebonne, v;6;;24;307;30;4;81;10;67;192;4;
453;Terrebonne;2014-04-07;G;Terrebonne, v;6;;25;328;51;2;63;12;62;190;3;
453;Terrebonne;2014-04-07;G;Terrebonne, v;6;;26;319;42;0;76;9;67;194;8;
453;Terrebonne;2014-04-07;G;Terrebonne, v;6;;27;326;42;1;81;11;60;195;2;
453;Terrebonne;2014-04-07;G;Terrebonne, v;6;;28;329;76;1;78;16;50;221;0;
453;Terrebonne;2014-04-07;G;Terrebonne, v;6;;29;359;31;2;74;16;68;191;5;
453;Terrebonne;2014-04-07;G;Terrebonne, v;6;;30;334;49;0;62;10;74;195;4;
453;Terrebonne;2014-04-07;G;Terrebonne, v;6;;31;335;24;1;65;15;64;169;4;
453;Terrebonne;2014-04-07;G;Terrebonne, v;6;;32;346;69;3;90;14;55;231;0;
453;Terrebonne;2014-04-07;G;Terrebonne, v;6;;33;347;67;0;78;5;47;197;0;
453;Terrebonne;2014-04-07;G;Terrebonne, v;6;;34;300;54;0;58;5;46;163;5;
453;Terrebonne;2014-04-07;G;Terrebonne, v;6;;35;398;63;0;79;5;58;205;8;
453;Terrebonne;2014-04-07;G;Terrebonne, v;6;;36A;214;41;1;60;7;24;133;1;
453;Terrebonne;2014-04-07;G;Terrebonne, v;6;;36B;226;51;1;58;11;22;143;2;
453;Terrebonne;2014-04-07;G;Terrebonne, v;7;;37;342;43;8;73;5;70;199;2;
453;Terrebonne;2014-04-07;G;Terrebonne, v;7;;38;365;49;2;88;15;67;221;5;
453;Terrebonne;2014-04-07;G;Terrebonne, v;7;;39A;246;33;2;48;6;42;131;5;
453;Terrebonne;2014-04-07;G;Terrebonne, v;7;;39B;269;26;5;47;3;55;136;1;
453;Terrebonne;2014-04-07;G;Terrebonne, v;7;;40;354;42;1;78;11;59;191;4;
453;Terrebonne;2014-04-07;G;Terrebonne, v;7;;41;335;34;5;70;9;74;192;6;
453;Terrebonne;2014-04-07;G;Terrebonne, v;7;;42;314;28;1;59;14;59;161;6;
453;Terrebonne;2014-04-07;G;Terrebonne, v;7;;43;325;32;2;62;2;67;165;3;
453;Terrebonne;2014-04-07;G;Terrebonne, v;8;;44;333;46;3;69;9;76;203;2;
453;Terrebonne;2014-04-07;G;Terrebonne, v;8;;45;305;28;4;61;19;51;163;5;
453;Terrebonne;2014-04-07;G;Terrebonne, v;8;;46;317;44;1;84;7;60;196;4;
453;Terrebonne;2014-04-07;G;Terrebonne, v;8;;47;323;45;2;79;11;63;200;4;
453;Terrebonne;2014-04-07;G;Terrebonne, v;8;;48;321;33;1;93;8;80;215;3;
