Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bonneau Pierre-Louis É.A.P. - P.C.Q.;Brunelle Diego C.A.Q.-É.F.L.;de Repentigny André O.N. - P.I.Q.;Deschênes Alexis P.Q.;Girard Jean-Denis P.L.Q./Q.L.P.;Landry Jean-Claude Q.S.;B.V.;B.R.;
333;Trois-Rivières;2014-04-07;G;Trois-Rivières, v;7;;1;395;4;74;1;39;60;21;199;7;
333;Trois-Rivières;2014-04-07;G;Trois-Rivières, v;7;;2;386;1;63;1;43;89;17;214;4;
333;Trois-Rivières;2014-04-07;G;Trois-Rivières, v;7;;3;369;2;65;1;47;59;11;185;3;
333;Trois-Rivières;2014-04-07;G;Trois-Rivières, v;7;;4;385;1;49;5;42;66;15;178;5;
333;Trois-Rivières;2014-04-07;G;Trois-Rivières, v;7;;5;392;2;61;2;38;55;11;169;1;
333;Trois-Rivières;2014-04-07;G;Trois-Rivières, v;7;;6;619;2;45;2;43;48;11;151;6;
333;Trois-Rivières;2014-04-07;G;Trois-Rivières, v;7;;7;589;3;68;1;39;53;13;177;4;
333;Trois-Rivières;2014-04-07;G;Trois-Rivières, v;7;;8;419;1;52;0;32;65;14;164;6;
333;Trois-Rivières;2014-04-07;G;Trois-Rivières, v;7;;9;391;2;47;0;40;54;13;156;9;
333;Trois-Rivières;2014-04-07;G;Trois-Rivières, v;7;;10;403;2;69;2;41;44;18;176;4;
333;Trois-Rivières;2014-04-07;G;Trois-Rivières, v;8;;11;321;0;60;2;43;42;12;159;5;
333;Trois-Rivières;2014-04-07;G;Trois-Rivières, v;8;;12;325;3;51;2;45;36;16;153;0;
333;Trois-Rivières;2014-04-07;G;Trois-Rivières, v;8;;13;319;0;38;3;44;51;16;152;2;
333;Trois-Rivières;2014-04-07;G;Trois-Rivières, v;8;;14;295;0;41;1;31;28;4;105;3;
333;Trois-Rivières;2014-04-07;G;Trois-Rivières, v;9;;15;395;2;42;2;62;47;16;171;0;
333;Trois-Rivières;2014-04-07;G;Trois-Rivières, v;9;;16;368;0;30;1;45;43;20;139;0;
333;Trois-Rivières;2014-04-07;G;Trois-Rivières, v;9;;17;475;2;40;3;51;47;18;161;5;
333;Trois-Rivières;2014-04-07;G;Trois-Rivières, v;9;;18;375;1;47;1;43;43;19;154;4;
333;Trois-Rivières;2014-04-07;G;Trois-Rivières, v;9;;19;347;2;36;0;44;65;12;159;4;
333;Trois-Rivières;2014-04-07;G;Trois-Rivières, v;9;;20;356;2;38;3;56;46;18;163;3;
333;Trois-Rivières;2014-04-07;G;Trois-Rivières, v;10;;21;333;2;49;1;29;57;11;149;3;
333;Trois-Rivières;2014-04-07;G;Trois-Rivières, v;10;;22;337;2;43;3;40;50;19;157;3;
333;Trois-Rivières;2014-04-07;G;Trois-Rivières, v;10;;23;320;2;31;4;58;65;11;171;10;
333;Trois-Rivières;2014-04-07;G;Trois-Rivières, v;10;;24;310;0;45;6;40;44;12;147;1;
333;Trois-Rivières;2014-04-07;G;Trois-Rivières, v;10;;25;336;0;38;1;40;51;18;148;7;
333;Trois-Rivières;2014-04-07;G;Trois-Rivières, v;10;;26;324;4;46;0;39;26;15;130;2;
333;Trois-Rivières;2014-04-07;G;Trois-Rivières, v;10;;27;331;2;41;0;36;48;16;143;5;
333;Trois-Rivières;2014-04-07;G;Trois-Rivières, v;10;;28;335;2;52;1;64;53;18;190;6;
333;Trois-Rivières;2014-04-07;G;Trois-Rivières, v;11;;29;569;0;27;1;36;48;9;121;4;
333;Trois-Rivières;2014-04-07;G;Trois-Rivières, v;11;;30;317;1;35;1;63;38;26;164;0;
333;Trois-Rivières;2014-04-07;G;Trois-Rivières, v;11;;31;407;0;24;0;18;19;5;66;1;
333;Trois-Rivières;2014-04-07;G;Trois-Rivières, v;12;;32;420;0;23;1;54;21;19;118;7;
333;Trois-Rivières;2014-04-07;G;Trois-Rivières, v;12;;33;408;3;34;3;28;39;20;127;2;
333;Trois-Rivières;2014-04-07;G;Trois-Rivières, v;12;;34;537;1;32;3;54;32;23;145;4;
333;Trois-Rivières;2014-04-07;G;Trois-Rivières, v;12;;35;372;0;23;4;54;40;26;147;2;
333;Trois-Rivières;2014-04-07;G;Trois-Rivières, v;13;;36;391;0;24;1;78;72;28;203;2;
333;Trois-Rivières;2014-04-07;G;Trois-Rivières, v;13;;37;430;0;43;2;64;49;24;182;2;
333;Trois-Rivières;2014-04-07;G;Trois-Rivières, v;13;;38;369;4;24;2;38;40;9;117;6;
333;Trois-Rivières;2014-04-07;G;Trois-Rivières, v;14;;39;366;3;29;1;49;28;22;132;4;
333;Trois-Rivières;2014-04-07;G;Trois-Rivières, v;14;;40;350;0;20;3;34;30;17;104;3;
333;Trois-Rivières;2014-04-07;G;Trois-Rivières, v;14;;41;395;1;22;0;54;34;20;131;4;
333;Trois-Rivières;2014-04-07;G;Trois-Rivières, v;14;;42;386;1;21;5;34;27;17;105;5;
333;Trois-Rivières;2014-04-07;G;Trois-Rivières, v;15;;43;531;2;44;0;45;58;21;170;4;
333;Trois-Rivières;2014-04-07;G;Trois-Rivières, v;15;;44;363;1;37;1;68;69;27;203;1;
333;Trois-Rivières;2014-04-07;G;Trois-Rivières, v;15;;45;352;1;46;2;61;63;13;186;2;
