Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Allen-Mercier Zoé O.N. - P.I.Q.;Boucher Jean P.L.Q./Q.L.P.;Cameron Michael Donald C.A.Q.-É.F.L.;Ferland Luc P.Q.;Guillemette Matthew P.N.;Richer André Q.S.;B.V.;B.R.;
793;Ungava;2014-04-07;G;Chibougamau, v;1;;1;289;1;16;23;80;2;5;127;1;
793;Ungava;2014-04-07;G;Chibougamau, v;1;;2;298;1;34;27;67;0;5;134;5;
793;Ungava;2014-04-07;G;Chibougamau, v;1;;3;322;1;44;20;61;2;8;136;3;
793;Ungava;2014-04-07;G;Chibougamau, v;1;;4;296;2;43;8;90;0;7;150;3;
793;Ungava;2014-04-07;G;Chibougamau, v;1;;5;304;3;32;18;54;1;13;121;1;
793;Ungava;2014-04-07;G;Chibougamau, v;1;;6;287;2;26;16;56;7;5;112;0;
793;Ungava;2014-04-07;G;Chibougamau, v;1;;7;273;1;31;9;52;1;8;102;3;
793;Ungava;2014-04-07;G;Chibougamau, v;1;;8;284;1;21;13;62;3;6;106;1;
793;Ungava;2014-04-07;G;Chibougamau, v;1;;9;295;3;38;12;72;1;5;131;1;
793;Ungava;2014-04-07;G;Chibougamau, v;1;;10;288;0;54;15;84;3;11;167;6;
793;Ungava;2014-04-07;G;Chibougamau, v;2;;11;304;2;45;27;64;3;8;149;2;
793;Ungava;2014-04-07;G;Chibougamau, v;2;;12;259;0;22;15;54;3;12;106;1;
793;Ungava;2014-04-07;G;Chibougamau, v;2;;13;287;4;27;17;48;1;9;106;5;
793;Ungava;2014-04-07;G;Chibougamau, v;2;;14;284;1;27;18;61;1;20;128;5;
793;Ungava;2014-04-07;G;Chibougamau, v;2;;15;291;3;27;10;66;5;11;122;5;
793;Ungava;2014-04-07;G;Chibougamau, v;2;;16;347;3;44;25;81;2;6;161;4;
793;Ungava;2014-04-07;G;Chibougamau, v;2;;17;296;2;41;29;89;3;6;170;2;
793;Ungava;2014-04-07;G;Chibougamau, v;2;;18;285;1;28;26;64;2;4;125;4;
793;Ungava;2014-04-07;G;Chibougamau, v;2;;19;345;0;52;14;68;1;6;141;2;
793;Ungava;2014-04-07;G;Chapais, v;1;;20;291;0;39;18;82;4;4;147;0;
793;Ungava;2014-04-07;G;Chapais, v;1;;21;304;2;30;19;84;1;5;141;4;
793;Ungava;2014-04-07;G;Chapais, v;1;;22;289;0;30;13;65;1;9;118;6;
