Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bienvenu Michel P.L.Q./Q.L.P.;Boutin-Sinotte Hugo B.P.;Létourneau Josée O.N. - P.I.Q.;Ouellet Martine P.Q.;Robert Sébastien Q.S.;Robichaud Stéphane C.A.Q.-É.F.L.;B.V.;B.R.;
229;Vachon;2014-04-07;G;Longueuil, v;48;;1;332;20;1;1;51;10;48;131;1;
229;Vachon;2014-04-07;G;Longueuil, v;48;;2;322;25;3;1;48;12;28;117;1;
229;Vachon;2014-04-07;G;Longueuil, v;48;;3A;249;43;1;1;33;15;37;130;5;
229;Vachon;2014-04-07;G;Longueuil, v;48;;3B;292;44;1;0;42;14;41;142;2;
229;Vachon;2014-04-07;G;Longueuil, v;48;;4;361;64;0;3;63;21;70;221;7;
229;Vachon;2014-04-07;G;Longueuil, v;48;;5;307;42;4;1;73;23;29;172;1;
229;Vachon;2014-04-07;G;Longueuil, v;48;;6;323;55;2;2;65;22;63;209;1;
229;Vachon;2014-04-07;G;Longueuil, v;48;;7;302;43;4;1;58;15;50;171;6;
229;Vachon;2014-04-07;G;Longueuil, v;48;;8;301;52;2;1;62;16;35;168;4;
229;Vachon;2014-04-07;G;Longueuil, v;48;;9;316;58;2;4;40;21;46;171;1;
229;Vachon;2014-04-07;G;Longueuil, v;49;;10;307;52;4;0;48;12;35;151;8;
229;Vachon;2014-04-07;G;Longueuil, v;49;;11;302;35;3;1;49;16;44;148;12;
229;Vachon;2014-04-07;G;Longueuil, v;49;;12;311;53;3;3;64;11;50;184;2;
229;Vachon;2014-04-07;G;Longueuil, v;49;;13;296;50;7;1;58;9;36;161;1;
229;Vachon;2014-04-07;G;Longueuil, v;49;;14;304;58;1;0;57;13;42;171;5;
229;Vachon;2014-04-07;G;Longueuil, v;49;;15;323;79;2;2;47;6;46;182;1;
229;Vachon;2014-04-07;G;Longueuil, v;49;;16;320;63;2;1;58;6;62;192;5;
229;Vachon;2014-04-07;G;Longueuil, v;49;;17;325;60;3;1;61;14;29;168;3;
229;Vachon;2014-04-07;G;Longueuil, v;49;;18;329;52;3;4;56;25;47;187;2;
229;Vachon;2014-04-07;G;Longueuil, v;50;;19;280;34;2;0;48;18;38;140;9;
229;Vachon;2014-04-07;G;Longueuil, v;50;;20;308;46;3;0;42;11;57;159;3;
229;Vachon;2014-04-07;G;Longueuil, v;50;;21;293;37;4;2;58;8;29;138;0;
229;Vachon;2014-04-07;G;Longueuil, v;50;;22;314;57;1;2;54;13;42;169;3;
229;Vachon;2014-04-07;G;Longueuil, v;50;;23;305;67;0;3;46;8;34;158;2;
229;Vachon;2014-04-07;G;Longueuil, v;50;;24;294;56;4;0;55;11;35;161;5;
229;Vachon;2014-04-07;G;Longueuil, v;50;;25;312;58;1;0;50;10;35;154;2;
229;Vachon;2014-04-07;G;Longueuil, v;50;;26;296;38;0;1;55;17;35;146;3;
229;Vachon;2014-04-07;G;Longueuil, v;50;;27;283;37;2;2;50;3;35;129;0;
229;Vachon;2014-04-07;G;Longueuil, v;50;;28;278;35;2;1;37;11;40;126;0;
229;Vachon;2014-04-07;G;Longueuil, v;50;;29;290;21;4;1;39;9;39;113;3;
229;Vachon;2014-04-07;G;Longueuil, v;50;;30;307;56;1;3;32;10;37;139;6;
229;Vachon;2014-04-07;G;Longueuil, v;51;;31;304;45;3;1;41;9;33;132;2;
229;Vachon;2014-04-07;G;Longueuil, v;51;;32;321;55;1;0;56;15;50;177;5;
229;Vachon;2014-04-07;G;Longueuil, v;51;;33;372;60;2;0;59;12;49;182;0;
229;Vachon;2014-04-07;G;Longueuil, v;51;;34;286;61;2;1;62;16;27;169;5;
229;Vachon;2014-04-07;G;Longueuil, v;51;;35;306;23;4;2;57;11;34;131;2;
229;Vachon;2014-04-07;G;Longueuil, v;51;;36;289;38;2;0;38;13;21;112;5;
229;Vachon;2014-04-07;G;Longueuil, v;51;;37;309;32;1;0;55;15;43;146;3;
229;Vachon;2014-04-07;G;Longueuil, v;51;;38;283;33;1;0;53;9;31;127;0;
229;Vachon;2014-04-07;G;Longueuil, v;51;;39;304;28;1;1;38;13;30;111;4;
229;Vachon;2014-04-07;G;Longueuil, v;51;;40;320;50;4;0;38;6;36;134;5;
229;Vachon;2014-04-07;G;Longueuil, v;52;;41;310;56;2;2;45;8;51;164;6;
229;Vachon;2014-04-07;G;Longueuil, v;52;;42;329;45;4;2;65;19;59;194;5;
229;Vachon;2014-04-07;G;Longueuil, v;52;;43;317;37;0;0;42;16;62;157;3;
229;Vachon;2014-04-07;G;Longueuil, v;52;;44;315;44;0;1;61;9;42;157;3;
229;Vachon;2014-04-07;G;Longueuil, v;52;;45;296;40;1;2;61;9;66;179;1;
229;Vachon;2014-04-07;G;Longueuil, v;52;;46;289;32;2;0;54;11;31;130;0;
