Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Archambault Marcos P.Q.;Cauchon Jean-Gabriel O.N. - P.I.Q.;Dupré Léon M.P.Q.;Fortin Côté David Q.S.;Leclerc Julien P.Éq.;Nichols Marie-Claude P.L.Q./Q.L.P.;Paul Michel É.A.P. - P.C.Q.;Radcliffe Thomas P.V.Q./G.P.Q.;Tison Luc C.A.Q.-É.F.L.;B.V.;B.R.;
169;Vaudreuil;2014-04-07;G;Pincourt, v;1;;1;383;32;1;1;3;2;108;1;5;41;194;3;
169;Vaudreuil;2014-04-07;G;Pincourt, v;1;;2;405;31;0;0;8;3;90;0;1;25;158;1;
169;Vaudreuil;2014-04-07;G;Pincourt, v;1;;3;406;34;0;0;9;2;116;0;0;26;187;4;
169;Vaudreuil;2014-04-07;G;Pincourt, v;1;;4;406;24;0;0;14;0;154;1;4;27;224;0;
169;Vaudreuil;2014-04-07;G;Pincourt, v;2;;5;376;15;0;0;0;2;160;0;3;23;203;2;
169;Vaudreuil;2014-04-07;G;Pincourt, v;2;;6;386;12;0;0;7;0;149;0;7;20;195;6;
169;Vaudreuil;2014-04-07;G;Pincourt, v;2;;7;393;26;0;0;11;0;171;2;5;22;237;3;
169;Vaudreuil;2014-04-07;G;Pincourt, v;2;;8;388;18;1;0;8;1;167;1;5;26;227;1;
169;Vaudreuil;2014-04-07;G;Pincourt, v;2;;9;373;20;0;0;17;1;148;0;3;30;219;4;
169;Vaudreuil;2014-04-07;G;Pincourt, v;2;;10;394;25;0;0;9;1;172;2;3;38;250;3;
169;Vaudreuil;2014-04-07;G;Pincourt, v;2;;11A;229;10;0;0;4;0;77;1;1;24;117;4;
169;Vaudreuil;2014-04-07;G;Pincourt, v;2;;11B;198;13;0;0;3;1;83;0;2;27;129;1;
169;Vaudreuil;2014-04-07;G;Pincourt, v;2;;12;417;17;0;0;8;1;172;1;2;26;227;6;
169;Vaudreuil;2014-04-07;G;Pincourt, v;2;;13;381;17;0;0;6;0;138;0;2;45;208;2;
