Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bergeron Stéphane P.Q.;Coulombe Mathieu O.N. - P.I.Q.;Jarrousse Céline Q.S.;Renaud Yves C.A.Q.-É.F.L.;Rocheleau Simon P.L.Q./Q.L.P.;B.V.;B.R.;
249;Verchères;2014-04-07;G;Calixa-Lavallée, p;1;;1;413;139;2;25;76;47;289;8;
249;Verchères;2014-04-07;G;Contrecoeur, v;1;;2;393;92;3;14;52;21;182;9;
249;Verchères;2014-04-07;G;Contrecoeur, v;1;Regr. BVO-2;3;0;0;0;0;0;0;0;0;
249;Verchères;2014-04-07;G;Contrecoeur, v;1;;4;363;60;3;10;39;19;131;1;
249;Verchères;2014-04-07;G;Contrecoeur, v;1;;5;351;73;1;11;53;9;147;5;
249;Verchères;2014-04-07;G;Contrecoeur, v;1;;6;360;92;2;15;37;22;168;3;
249;Verchères;2014-04-07;G;Contrecoeur, v;1;;7A;229;44;0;6;43;16;109;4;
249;Verchères;2014-04-07;G;Contrecoeur, v;1;;7B;219;50;2;8;38;12;110;6;
249;Verchères;2014-04-07;G;Contrecoeur, v;1;;8;376;73;3;8;57;10;151;6;
249;Verchères;2014-04-07;G;Contrecoeur, v;1;;9;368;74;0;12;34;19;139;3;
249;Verchères;2014-04-07;G;Contrecoeur, v;1;;10;365;74;0;9;49;30;162;3;
249;Verchères;2014-04-07;G;Contrecoeur, v;1;;11;389;84;6;11;65;18;184;5;
249;Verchères;2014-04-07;G;Contrecoeur, v;1;;12;412;83;5;14;83;25;210;6;
249;Verchères;2014-04-07;G;Contrecoeur, v;1;;13;348;87;4;12;77;10;190;3;
249;Verchères;2014-04-07;G;Contrecoeur, v;1;;14;393;87;2;10;73;18;190;9;
249;Verchères;2014-04-07;G;Contrecoeur, v;1;;15;377;110;3;8;57;23;201;7;
249;Verchères;2014-04-07;G;Contrecoeur, v;2;;16;395;90;2;19;62;44;217;2;
249;Verchères;2014-04-07;G;Contrecoeur, v;2;;17;410;135;3;12;72;40;262;1;
249;Verchères;2014-04-07;G;Verchères, m;1;;18;364;80;3;17;70;35;205;4;
249;Verchères;2014-04-07;G;Verchères, m;1;;19;377;95;11;25;81;20;232;3;
249;Verchères;2014-04-07;G;Verchères, m;1;;20;365;117;5;17;62;16;217;4;
249;Verchères;2014-04-07;G;Verchères, m;1;;21;364;109;3;18;53;19;202;2;
249;Verchères;2014-04-07;G;Verchères, m;1;;22;352;107;3;19;44;25;198;4;
249;Verchères;2014-04-07;G;Verchères, m;1;;23;376;93;3;22;58;23;199;2;
249;Verchères;2014-04-07;G;Verchères, m;1;;24;346;81;2;20;41;16;160;5;
249;Verchères;2014-04-07;G;Verchères, m;2;;25;371;85;3;12;55;33;188;4;
249;Verchères;2014-04-07;G;Verchères, m;2;;26;377;121;3;22;62;17;225;7;
249;Verchères;2014-04-07;G;Verchères, m;2;;27;364;119;4;13;62;33;231;3;
249;Verchères;2014-04-07;G;Verchères, m;2;;28;363;86;0;17;42;23;168;4;
249;Verchères;2014-04-07;G;Verchères, m;2;;29;369;107;1;16;62;22;208;5;
249;Verchères;2014-04-07;G;Varennes, v;1;;30;350;77;6;15;56;31;185;3;
249;Verchères;2014-04-07;G;Varennes, v;1;;31;331;78;2;15;44;27;166;7;
249;Verchères;2014-04-07;G;Varennes, v;1;;32;354;66;3;17;53;38;177;6;
249;Verchères;2014-04-07;G;Varennes, v;1;;33;347;74;3;13;64;19;173;7;
249;Verchères;2014-04-07;G;Varennes, v;1;;34;390;77;4;11;51;24;167;6;
