Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bergeron-Bossé Antonin P.V.Q./G.P.Q.;Daoust Jacques P.L.Q./Q.L.P.;Longchamp Julien O.N. - P.I.Q.;Pintal Lorraine P.Q.;Pires Rosa Q.S.;Richer Benoit C.A.Q.-É.F.L.;St-Onge Raynald B.P.;Studd Eileen P.M.L.Q.;B.V.;B.R.;
397;Verdun;2014-04-07;G;Montréal, v;69;;1;378;2;98;0;67;27;27;0;0;221;4;
397;Verdun;2014-04-07;G;Montréal, v;69;;2;476;7;106;1;76;26;46;1;0;263;1;
397;Verdun;2014-04-07;G;Montréal, v;69;;3;380;3;83;0;78;18;31;0;0;213;1;
397;Verdun;2014-04-07;G;Montréal, v;69;;4;599;2;113;1;77;24;24;0;0;241;7;
397;Verdun;2014-04-07;G;Montréal, v;70;;5;367;3;87;1;64;23;27;0;0;205;0;
397;Verdun;2014-04-07;G;Montréal, v;70;;6;368;4;97;1;51;27;22;0;0;202;8;
397;Verdun;2014-04-07;G;Montréal, v;70;;7;351;2;70;1;45;14;20;1;1;154;3;
397;Verdun;2014-04-07;G;Montréal, v;70;;8;363;1;103;1;23;20;21;1;0;170;2;
397;Verdun;2014-04-07;G;Montréal, v;70;;9;354;1;113;1;52;18;15;0;0;200;2;
397;Verdun;2014-04-07;G;Montréal, v;70;;10;370;5;91;0;41;35;32;1;0;205;3;
397;Verdun;2014-04-07;G;Montréal, v;71;;11;384;3;94;1;38;18;21;0;1;176;0;
397;Verdun;2014-04-07;G;Montréal, v;71;;12;384;6;94;1;49;13;31;0;2;196;3;
397;Verdun;2014-04-07;G;Montréal, v;71;;13;387;4;91;1;46;16;33;1;1;193;2;
397;Verdun;2014-04-07;G;Montréal, v;71;;14;394;3;82;1;72;27;39;0;0;224;6;
397;Verdun;2014-04-07;G;Montréal, v;71;;15;388;2;127;0;49;20;25;2;0;225;3;
397;Verdun;2014-04-07;G;Montréal, v;71;;16;386;8;112;0;59;15;25;0;0;219;2;
397;Verdun;2014-04-07;G;Montréal, v;72;;17;357;6;65;1;54;16;29;0;1;172;0;
397;Verdun;2014-04-07;G;Montréal, v;72;;18;335;4;84;0;52;17;22;2;1;182;4;
397;Verdun;2014-04-07;G;Montréal, v;72;;19;330;3;74;2;56;20;30;0;0;185;0;
397;Verdun;2014-04-07;G;Montréal, v;72;;20;331;3;64;0;54;13;18;4;1;157;3;
397;Verdun;2014-04-07;G;Montréal, v;73;;21;357;2;85;1;47;18;15;0;2;170;1;
397;Verdun;2014-04-07;G;Montréal, v;73;;22;380;8;69;1;50;32;35;0;1;196;2;
397;Verdun;2014-04-07;G;Montréal, v;73;;23;348;5;72;1;50;24;29;1;1;183;2;
397;Verdun;2014-04-07;G;Montréal, v;73;;24;384;6;94;1;56;28;18;1;1;205;2;
397;Verdun;2014-04-07;G;Montréal, v;73;;25;356;7;82;1;58;15;27;4;1;195;3;
397;Verdun;2014-04-07;G;Montréal, v;73;;26;377;7;96;0;55;30;27;1;0;216;4;
397;Verdun;2014-04-07;G;Montréal, v;74;;27;404;1;70;0;105;22;25;1;0;224;2;
397;Verdun;2014-04-07;G;Montréal, v;74;;28;414;3;106;1;66;34;37;0;0;247;3;
397;Verdun;2014-04-07;G;Montréal, v;74;;29;420;7;65;1;63;29;28;1;1;195;4;
397;Verdun;2014-04-07;G;Montréal, v;74;;30;411;1;97;0;58;20;33;1;0;210;0;
397;Verdun;2014-04-07;G;Montréal, v;74;;31;514;4;105;1;67;8;40;0;1;226;7;
397;Verdun;2014-04-07;G;Montréal, v;75;;32;394;8;89;1;70;26;33;2;0;229;0;
397;Verdun;2014-04-07;G;Montréal, v;75;;33;376;6;85;0;57;24;24;1;0;197;3;
397;Verdun;2014-04-07;G;Montréal, v;75;;34;379;6;60;1;59;23;26;0;0;175;2;
397;Verdun;2014-04-07;G;Montréal, v;75;;35;392;3;60;3;55;27;26;1;0;175;0;
397;Verdun;2014-04-07;G;Montréal, v;75;;36;378;5;76;2;51;25;23;3;0;185;2;
397;Verdun;2014-04-07;G;Montréal, v;75;;37;381;4;67;1;51;22;41;1;0;187;4;
397;Verdun;2014-04-07;G;Montréal, v;75;;38;380;5;79;1;43;35;32;1;0;196;5;
397;Verdun;2014-04-07;G;Montréal, v;75;;39;383;7;101;1;42;8;17;0;0;176;2;
397;Verdun;2014-04-07;G;Montréal, v;75;;40;381;9;90;4;69;26;29;0;0;227;8;
397;Verdun;2014-04-07;G;Montréal, v;76;;41;392;7;98;1;58;17;30;2;0;213;4;
397;Verdun;2014-04-07;G;Montréal, v;76;;42;363;3;59;0;70;24;24;1;0;181;5;
397;Verdun;2014-04-07;G;Montréal, v;76;;43;384;12;65;3;39;31;29;3;0;182;5;
397;Verdun;2014-04-07;G;Montréal, v;76;;44;396;7;69;3;33;25;11;3;0;151;0;
397;Verdun;2014-04-07;G;Montréal, v;77;;45;373;10;56;3;63;36;23;1;0;192;4;
397;Verdun;2014-04-07;G;Montréal, v;77;;46;354;6;61;1;53;39;19;2;0;181;5;
397;Verdun;2014-04-07;G;Montréal, v;77;;47;374;10;88;3;43;47;25;1;0;217;5;
397;Verdun;2014-04-07;G;Montréal, v;77;;48;379;7;86;3;35;24;22;2;0;179;6;
397;Verdun;2014-04-07;G;Montréal, v;77;;49;368;9;59;0;47;28;19;2;0;164;2;
397;Verdun;2014-04-07;G;Montréal, v;77;;50;361;5;73;1;43;26;16;1;0;165;2;
397;Verdun;2014-04-07;G;Montréal, v;77;;51;375;5;78;2;28;34;16;4;0;167;5;
397;Verdun;2014-04-07;G;Montréal, v;77;;52;366;6;57;1;46;32;22;0;0;164;0;
397;Verdun;2014-04-07;G;Montréal, v;77;;53;357;13;48;1;41;37;21;0;0;161;7;
397;Verdun;2014-04-07;G;Montréal, v;77;;54;353;6;58;0;45;45;23;2;0;179;0;
397;Verdun;2014-04-07;G;Montréal, v;77;;55;358;5;57;0;49;41;19;2;0;173;5;
397;Verdun;2014-04-07;G;Montréal, v;77;;56;365;12;79;0;38;19;16;4;0;168;0;
397;Verdun;2014-04-07;G;Montréal, v;77;;57;364;3;63;0;51;14;19;0;0;150;0;
397;Verdun;2014-04-07;G;Montréal, v;78;;58;378;3;90;0;54;19;35;2;0;203;1;
397;Verdun;2014-04-07;G;Montréal, v;78;;59;391;6;68;1;59;18;29;1;0;182;2;
397;Verdun;2014-04-07;G;Montréal, v;78;;60;369;10;72;4;58;39;30;3;0;216;1;
397;Verdun;2014-04-07;G;Montréal, v;78;;61;397;7;95;1;66;38;22;0;0;229;6;
397;Verdun;2014-04-07;G;Montréal, v;78;;62;399;8;102;3;55;37;26;0;0;231;4;
397;Verdun;2014-04-07;G;Montréal, v;78;;63;387;2;78;1;48;42;12;1;2;186;2;
397;Verdun;2014-04-07;G;Montréal, v;79;;64;358;5;45;3;47;15;41;0;0;156;1;
397;Verdun;2014-04-07;G;Montréal, v;79;;65;400;3;50;0;53;20;26;0;0;152;0;
397;Verdun;2014-04-07;G;Montréal, v;79;;66;381;6;94;3;21;17;32;3;0;176;3;
397;Verdun;2014-04-07;G;Montréal, v;79;;67;388;3;82;0;27;24;12;2;0;150;5;
397;Verdun;2014-04-07;G;Montréal, v;79;;68;386;4;79;3;34;28;27;3;1;179;5;
397;Verdun;2014-04-07;G;Montréal, v;80;;69;386;5;81;4;33;15;20;1;0;159;4;
397;Verdun;2014-04-07;G;Montréal, v;80;;70;368;4;60;3;34;14;31;2;1;149;6;
397;Verdun;2014-04-07;G;Montréal, v;80;;71;395;4;80;0;53;33;20;1;0;191;2;
397;Verdun;2014-04-07;G;Montréal, v;80;;72;362;3;72;2;46;15;27;1;0;166;3;
397;Verdun;2014-04-07;G;Montréal, v;80;;73;369;7;63;1;64;27;24;2;0;188;1;
397;Verdun;2014-04-07;G;Montréal, v;80;;74;370;5;70;0;51;29;27;0;0;182;7;
397;Verdun;2014-04-07;G;Montréal, v;80;;75;377;10;60;0;56;23;38;2;0;189;3;
397;Verdun;2014-04-07;G;Montréal, v;80;;76;384;3;65;0;61;35;31;0;0;195;8;
397;Verdun;2014-04-07;G;Montréal, v;80;;77;395;13;82;0;58;33;24;1;1;212;4;
397;Verdun;2014-04-07;G;Montréal, v;81;;78;375;10;84;2;43;24;12;2;0;177;2;
397;Verdun;2014-04-07;G;Montréal, v;81;;79;377;8;92;1;38;21;32;1;0;193;5;
397;Verdun;2014-04-07;G;Montréal, v;81;;80;381;11;67;2;51;34;23;2;1;191;2;
397;Verdun;2014-04-07;G;Montréal, v;81;;81;378;9;67;2;60;25;23;1;0;187;4;
397;Verdun;2014-04-07;G;Montréal, v;81;;82;377;1;59;4;69;28;22;0;0;183;2;
397;Verdun;2014-04-07;G;Montréal, v;82;;83;363;8;63;0;57;34;27;1;0;190;4;
397;Verdun;2014-04-07;G;Montréal, v;82;;84;366;6;65;5;56;46;28;3;0;209;4;
397;Verdun;2014-04-07;G;Montréal, v;82;;85;364;11;73;5;60;22;34;0;1;206;0;
397;Verdun;2014-04-07;G;Montréal, v;82;;86;367;1;73;4;56;37;42;3;0;216;7;
397;Verdun;2014-04-07;G;Montréal, v;83;;87;307;5;100;1;27;18;19;2;0;172;3;
397;Verdun;2014-04-07;G;Montréal, v;83;;88;278;1;77;2;35;5;17;1;0;138;2;
397;Verdun;2014-04-07;G;Montréal, v;83;;89;294;1;86;1;41;5;25;0;0;159;1;
397;Verdun;2014-04-07;G;Montréal, v;83;;90;303;2;85;0;45;11;25;1;0;169;3;
397;Verdun;2014-04-07;G;Montréal, v;83;;91;308;1;66;1;51;24;30;2;0;175;1;
397;Verdun;2014-04-07;G;Montréal, v;83;;92;366;3;65;3;32;24;16;1;0;144;2;
397;Verdun;2014-04-07;G;Montréal, v;83;;93;377;1;48;0;46;22;16;2;0;135;1;
397;Verdun;2014-04-07;G;Montréal, v;83;;94;480;6;73;2;39;25;34;1;0;180;1;
397;Verdun;2014-04-07;G;Montréal, v;84;;95;360;1;116;0;18;3;20;1;1;160;2;
397;Verdun;2014-04-07;G;Montréal, v;84;;96;350;1;120;0;22;3;31;0;1;178;1;
397;Verdun;2014-04-07;G;Montréal, v;84;;97;356;3;121;0;23;7;36;1;0;191;0;
397;Verdun;2014-04-07;G;Montréal, v;84;;98;340;2;98;1;25;12;34;0;0;172;2;
397;Verdun;2014-04-07;G;Montréal, v;84;;99;357;1;102;0;26;6;23;0;0;158;0;
397;Verdun;2014-04-07;G;Montréal, v;84;;100;344;6;95;1;25;5;36;0;0;168;0;
397;Verdun;2014-04-07;G;Montréal, v;84;;101;365;5;117;1;36;7;30;1;1;198;1;
397;Verdun;2014-04-07;G;Montréal, v;84;;102;356;0;93;0;40;9;24;0;0;166;0;
397;Verdun;2014-04-07;G;Montréal, v;84;;103;352;1;113;0;17;6;25;1;1;164;0;
397;Verdun;2014-04-07;G;Montréal, v;84;;104A;169;3;51;0;3;1;17;0;0;75;0;
397;Verdun;2014-04-07;G;Montréal, v;84;;104B;267;2;86;0;10;7;26;0;0;131;1;
397;Verdun;2014-04-07;G;Montréal, v;84;;105;364;2;147;1;22;8;16;3;1;200;1;
397;Verdun;2014-04-07;G;Montréal, v;84;;106;380;2;127;0;29;8;30;1;0;197;1;
397;Verdun;2014-04-07;G;Montréal, v;84;;107;362;2;143;1;17;2;30;0;0;195;0;
397;Verdun;2014-04-07;G;Montréal, v;84;;108;379;2;97;0;32;16;26;2;1;176;2;
397;Verdun;2014-04-07;G;Montréal, v;84;;109;354;2;104;0;16;3;21;0;1;147;0;
397;Verdun;2014-04-07;G;Montréal, v;84;;110;363;5;93;0;28;10;15;0;0;151;2;
397;Verdun;2014-04-07;G;Montréal, v;84;;111;347;4;93;0;26;5;24;1;0;153;1;
397;Verdun;2014-04-07;G;Montréal, v;84;;112;347;3;138;0;25;4;21;0;1;192;2;
397;Verdun;2014-04-07;G;Montréal, v;84;;113;341;1;113;1;13;2;21;0;0;151;0;
397;Verdun;2014-04-07;G;Montréal, v;84;;114;556;3;152;0;24;5;39;0;0;223;0;
397;Verdun;2014-04-07;G;Montréal, v;84;;115;351;1;112;0;23;5;23;1;0;165;0;
397;Verdun;2014-04-07;G;Montréal, v;85;;116;335;4;70;1;23;17;29;0;0;144;1;
397;Verdun;2014-04-07;G;Montréal, v;85;;117;324;3;49;0;33;7;18;1;0;111;2;
397;Verdun;2014-04-07;G;Montréal, v;85;;118;362;3;89;0;29;7;26;1;0;155;1;
397;Verdun;2014-04-07;G;Montréal, v;85;;119;333;1;114;0;18;10;24;0;0;167;0;
397;Verdun;2014-04-07;G;Montréal, v;85;;120;336;5;96;0;31;8;29;1;0;170;3;
397;Verdun;2014-04-07;G;Montréal, v;85;;121;383;6;124;2;24;7;22;0;1;186;0;
397;Verdun;2014-04-07;G;Montréal, v;85;;122;331;1;86;0;15;11;10;0;0;123;0;
397;Verdun;2014-04-07;G;Montréal, v;85;;123;325;1;103;0;19;3;28;0;0;154;2;
397;Verdun;2014-04-07;G;Montréal, v;85;;124;342;4;141;1;20;3;22;2;0;193;1;
397;Verdun;2014-04-07;G;Montréal, v;85;;125;331;0;107;0;26;4;17;0;0;154;1;
397;Verdun;2014-04-07;G;Montréal, v;85;;126;325;1;102;0;35;5;24;4;0;171;0;
397;Verdun;2014-04-07;G;Montréal, v;85;;127;330;0;95;1;16;5;9;0;0;126;3;
397;Verdun;2014-04-07;G;Montréal, v;85;;128;549;0;134;1;34;7;42;1;0;219;0;
397;Verdun;2014-04-07;G;Montréal, v;85;;129A;140;1;61;1;10;2;10;0;0;85;0;
397;Verdun;2014-04-07;G;Montréal, v;85;;129B;338;1;145;0;19;0;19;0;0;184;0;
397;Verdun;2014-04-07;G;Montréal, v;69;Regr. BVO-2;500;0;0;0;0;0;0;0;0;0;0;0;
397;Verdun;2014-04-07;G;Montréal, v;69;Regr. BVO-4;501;0;0;0;0;0;0;0;0;0;0;0;
397;Verdun;2014-04-07;G;Montréal, v;74;Regr. BVO-31;502;0;0;0;0;0;0;0;0;0;0;0;
397;Verdun;2014-04-07;G;Montréal, v;79;Regr. BVO-65;503;0;0;0;0;0;0;0;0;0;0;0;
397;Verdun;2014-04-07;G;Montréal, v;83;Regr. BVO-92;504;0;0;0;0;0;0;0;0;0;0;0;
397;Verdun;2014-04-07;G;Montréal, v;83;Regr. BVO-94;505;0;0;0;0;0;0;0;0;0;0;0;
397;Verdun;2014-04-07;G;Montréal, v;85;Regr. BVO-128;506;0;0;0;0;0;0;0;0;0;0;0;
397;Verdun;2014-04-07;G;Montréal, v;84;Regr. BVO-114;507;0;0;0;0;0;0;0;0;0;0;0;
397;Verdun;2014-04-07;G;BVA1;;;;0;6;480;1;115;20;62;0;0;684;2;
397;Verdun;2014-04-07;G;BVA2;;;;0;4;534;0;118;22;46;0;1;725;2;
397;Verdun;2014-04-07;G;BVA3;;;;0;5;455;0;89;20;53;0;0;622;5;
397;Verdun;2014-04-07;G;BVA4;;;;0;5;436;1;136;17;50;0;0;645;6;
397;Verdun;2014-04-07;G;BVA5;;;;0;4;357;0;90;6;60;1;0;518;3;
397;Verdun;2014-04-07;G;BVA6;;;;0;7;211;1;145;46;39;3;0;452;3;
397;Verdun;2014-04-07;G;BVA7;;;;0;7;171;3;143;26;35;1;0;386;5;
397;Verdun;2014-04-07;G;BVA8;;;;0;5;119;0;136;49;28;0;0;337;5;
397;Verdun;2014-04-07;G;BVA9;;;;0;3;213;3;132;34;37;0;0;422;3;
397;Verdun;2014-04-07;G;BVA10;;;;0;5;299;1;205;50;49;3;0;612;7;
397;Verdun;2014-04-07;G;BVA11;;;;0;5;128;2;105;37;24;1;2;304;4;
397;Verdun;2014-04-07;G;BVA12;;;;0;8;106;0;101;40;26;0;1;282;5;
397;Verdun;2014-04-07;G;BVA13;;;;0;4;168;1;103;40;39;0;0;355;6;
397;Verdun;2014-04-07;G;BVA14;;;;0;6;355;0;190;36;50;2;1;640;3;
397;Verdun;2014-04-07;G;BVA15;;;;0;2;394;0;146;32;39;0;0;613;7;
397;Verdun;2014-04-07;G;BVA16;;;;0;11;241;0;136;40;33;2;2;465;3;
397;Verdun;2014-04-07;G;BVA17;;;;0;7;173;0;135;46;38;1;1;401;5;
397;Verdun;2014-04-07;G;Vote en installation d'hébergement;;;;0;5;305;7;98;14;34;3;1;467;7;
397;Verdun;2014-04-07;G;Vote itinérant et au domicile de l'électeur;;;;0;0;52;1;20;1;9;1;0;84;1;
397;Verdun;2014-04-07;G;Vote au bureau du directeur du scrutin;;;;0;8;310;2;142;56;43;4;0;565;2;
397;Verdun;2014-04-07;G;Vote hors circonscription;;;;0;25;337;2;93;87;44;3;1;592;18;
397;Verdun;2014-04-07;G;Vote hors Québec;;Regr. VHC-1;;259;0;0;0;0;0;0;0;0;0;0;
397;Verdun;2014-04-07;G;Vote des détenus;;Regr. VHC-1;;17;0;0;0;0;0;0;0;0;0;0;
397;Verdun;2014-04-07;G;Total de la circonscription;;;;48594;713;17172;160;8271;3277;4151;157;42;33943;409;
397;Verdun;2014-04-07;G;Majorité en faveur de Jacques Daoust : 8901
