Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Boily Étienne O.N. - P.I.Q.;Boyer Jean-Marc Ind;Demers Andréanne P.V.Q./G.P.Q.;Dydzak Joseph C.A.Q.-É.F.L.;Moran Janina Q.S.;Poirier Jean P.Q.;Robert Alain É.A.P. - P.C.Q.;Rousselle Jean P.L.Q./Q.L.P.;B.V.;B.R.;
449;Vimont;2014-04-07;G;Laval, v;63;;1;402;6;1;4;49;18;74;0;115;267;2;
449;Vimont;2014-04-07;G;Laval, v;63;;2;397;3;0;3;38;21;51;1;149;266;3;
449;Vimont;2014-04-07;G;Laval, v;63;;3;391;3;2;4;51;11;47;1;119;238;3;
449;Vimont;2014-04-07;G;Laval, v;63;;4;396;0;2;4;49;14;60;0;117;246;1;
449;Vimont;2014-04-07;G;Laval, v;63;;5;390;2;0;5;58;23;72;0;70;230;6;
449;Vimont;2014-04-07;G;Laval, v;63;;6;403;3;2;5;36;8;39;0;95;188;6;
449;Vimont;2014-04-07;G;Laval, v;64;;7;411;1;1;1;66;24;64;3;100;260;9;
449;Vimont;2014-04-07;G;Laval, v;64;;8;412;0;1;8;57;10;78;0;111;265;2;
449;Vimont;2014-04-07;G;Laval, v;64;;9;416;0;2;0;56;17;58;1;151;285;0;
449;Vimont;2014-04-07;G;Laval, v;64;;10;416;0;2;0;50;13;36;0;182;283;0;
449;Vimont;2014-04-07;G;Laval, v;65;;11;377;0;0;1;46;12;42;0;157;258;3;
449;Vimont;2014-04-07;G;Laval, v;65;;12;402;1;2;6;48;10;39;0;159;265;1;
449;Vimont;2014-04-07;G;Laval, v;65;;13;1360;4;1;3;33;9;45;0;163;258;1;
449;Vimont;2014-04-07;G;Laval, v;65;;14;386;0;1;2;25;10;36;1;160;235;7;
449;Vimont;2014-04-07;G;Laval, v;65;;15;387;0;0;3;24;0;6;0;218;251;1;
449;Vimont;2014-04-07;G;Laval, v;65;;16;374;0;0;0;29;10;36;0;155;230;2;
449;Vimont;2014-04-07;G;Laval, v;65;;17;392;0;0;2;43;6;30;0;163;244;3;
449;Vimont;2014-04-07;G;Laval, v;65;;18;383;0;0;3;32;8;50;2;122;217;5;
449;Vimont;2014-04-07;G;Laval, v;65;;19;383;0;1;0;32;21;38;0;135;227;6;
449;Vimont;2014-04-07;G;Laval, v;65;;20;369;0;1;1;24;6;33;0;164;229;3;
449;Vimont;2014-04-07;G;Laval, v;66;;21;353;3;0;4;37;9;48;0;96;197;5;
449;Vimont;2014-04-07;G;Laval, v;66;;22;351;4;0;6;47;10;43;0;65;175;3;
449;Vimont;2014-04-07;G;Laval, v;66;;23;369;5;10;2;52;14;53;0;74;210;4;
449;Vimont;2014-04-07;G;Laval, v;66;;24;358;3;6;2;49;11;37;2;117;227;2;
449;Vimont;2014-04-07;G;Laval, v;66;;25;356;0;1;3;46;15;59;1;67;192;3;
449;Vimont;2014-04-07;G;Laval, v;67;;26;367;1;0;1;33;7;43;0;114;199;5;
449;Vimont;2014-04-07;G;Laval, v;67;;27;373;2;4;4;47;20;50;0;107;234;2;
449;Vimont;2014-04-07;G;Laval, v;67;;28;380;0;2;1;41;3;49;0;135;231;1;
449;Vimont;2014-04-07;G;Laval, v;67;;29;381;1;1;2;58;16;57;0;95;230;5;
449;Vimont;2014-04-07;G;Laval, v;67;;30;376;2;0;2;45;8;54;3;119;233;1;
449;Vimont;2014-04-07;G;Laval, v;67;;31;361;3;3;4;52;9;57;1;70;199;4;
449;Vimont;2014-04-07;G;Laval, v;67;;32;369;2;4;4;52;15;53;1;106;237;3;
449;Vimont;2014-04-07;G;Laval, v;67;;33;385;1;0;3;44;12;17;2;165;244;2;
449;Vimont;2014-04-07;G;Laval, v;68;;34;393;1;1;1;33;11;34;2;106;189;5;
449;Vimont;2014-04-07;G;Laval, v;68;;35;382;5;0;5;45;8;42;0;115;220;3;
449;Vimont;2014-04-07;G;Laval, v;68;;36;376;1;1;4;48;11;41;0;137;243;2;
449;Vimont;2014-04-07;G;Laval, v;68;;37;398;1;0;2;52;7;67;0;101;230;6;
449;Vimont;2014-04-07;G;Laval, v;68;;38;376;0;0;2;53;8;35;1;123;222;3;
449;Vimont;2014-04-07;G;Laval, v;68;;39;388;0;0;3;27;6;32;1;150;219;1;
449;Vimont;2014-04-07;G;Laval, v;68;;40;369;1;1;3;35;13;37;0;112;202;4;
449;Vimont;2014-04-07;G;Laval, v;68;;41;389;0;0;2;42;10;46;2;81;183;3;
449;Vimont;2014-04-07;G;Laval, v;68;;42;398;0;2;4;38;10;45;0;117;216;3;
