Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Cahn Lisa Julie P.V.Q./G.P.Q.;Chagnon Jacques P.L.Q./Q.L.P.;Desjardins Mélissa Q.S.;Laroche Denise P.Q.;B.V.;B.R.;
391;Westmount-Saint-Louis;2014-04-07;G;Westmount, v;1;;1;402;4;216;1;6;227;1;
391;Westmount-Saint-Louis;2014-04-07;G;Westmount, v;1;;2;379;8;205;5;6;224;1;
391;Westmount-Saint-Louis;2014-04-07;G;Westmount, v;1;;3;365;5;199;1;0;205;1;
391;Westmount-Saint-Louis;2014-04-07;G;Westmount, v;1;;4;364;4;206;7;2;219;0;
391;Westmount-Saint-Louis;2014-04-07;G;Westmount, v;1;;5;378;5;188;5;5;203;0;
391;Westmount-Saint-Louis;2014-04-07;G;Westmount, v;1;;6;385;4;213;3;3;223;3;
391;Westmount-Saint-Louis;2014-04-07;G;Westmount, v;1;;7;367;2;169;0;4;175;0;
391;Westmount-Saint-Louis;2014-04-07;G;Westmount, v;1;;8;387;2;187;6;1;196;1;
391;Westmount-Saint-Louis;2014-04-07;G;Westmount, v;2;;9;376;3;179;4;4;190;2;
391;Westmount-Saint-Louis;2014-04-07;G;Westmount, v;2;;10;394;6;206;6;5;223;0;
391;Westmount-Saint-Louis;2014-04-07;G;Westmount, v;2;;11;376;9;154;4;6;173;3;
391;Westmount-Saint-Louis;2014-04-07;G;Westmount, v;2;;12;372;6;160;11;7;184;3;
391;Westmount-Saint-Louis;2014-04-07;G;Westmount, v;2;;13;385;14;177;13;7;211;1;
391;Westmount-Saint-Louis;2014-04-07;G;Westmount, v;2;;14;384;10;174;1;4;189;4;
391;Westmount-Saint-Louis;2014-04-07;G;Westmount, v;2;;15;371;5;168;2;3;178;0;
391;Westmount-Saint-Louis;2014-04-07;G;Westmount, v;2;;16;373;11;168;5;6;190;1;
391;Westmount-Saint-Louis;2014-04-07;G;Westmount, v;3;;17;518;24;163;10;7;204;0;
391;Westmount-Saint-Louis;2014-04-07;G;Westmount, v;3;;18;401;9;217;8;5;239;3;
391;Westmount-Saint-Louis;2014-04-07;G;Westmount, v;3;;19;404;7;192;7;3;209;4;
391;Westmount-Saint-Louis;2014-04-07;G;Westmount, v;3;;20;387;7;176;16;2;201;1;
391;Westmount-Saint-Louis;2014-04-07;G;Westmount, v;3;;21;374;14;176;14;6;210;4;
391;Westmount-Saint-Louis;2014-04-07;G;Westmount, v;3;;22;429;12;188;12;3;215;1;
391;Westmount-Saint-Louis;2014-04-07;G;Westmount, v;3;;23;376;8;177;8;10;203;1;
391;Westmount-Saint-Louis;2014-04-07;G;Westmount, v;3;;24;400;16;168;10;2;196;2;
391;Westmount-Saint-Louis;2014-04-07;G;Westmount, v;3;;25;475;8;161;7;1;177;0;
391;Westmount-Saint-Louis;2014-04-07;G;Westmount, v;4;;26;392;10;139;13;4;166;1;
391;Westmount-Saint-Louis;2014-04-07;G;Westmount, v;4;;27;488;14;182;9;5;210;1;
391;Westmount-Saint-Louis;2014-04-07;G;Westmount, v;4;;28;390;12;163;11;6;192;0;
391;Westmount-Saint-Louis;2014-04-07;G;Westmount, v;4;;29;517;15;171;7;7;200;1;
391;Westmount-Saint-Louis;2014-04-07;G;Westmount, v;4;;30;377;6;166;5;5;182;0;
391;Westmount-Saint-Louis;2014-04-07;G;Westmount, v;4;;31;403;6;142;5;1;154;1;
