Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Campeau Richard C.A.Q.-É.F.L.;Chouakri Yasmina P.Q.;Couture Raphael O.N. - P.I.Q.;Lessard Marlène Q.S.;Teclou Annibal P.V.Q./G.P.Q.;Thériault Lise P.L.Q./Q.L.P.;B.V.;B.R.;
373;Anjou-Louis-Riel;2014-04-07;G;Montréal, v;361;;1;376;20;27;0;10;1;126;184;2;
373;Anjou-Louis-Riel;2014-04-07;G;Montréal, v;361;;2;400;28;40;1;12;1;119;201;4;
373;Anjou-Louis-Riel;2014-04-07;G;Montréal, v;361;;3;404;23;17;1;17;0;168;226;2;
373;Anjou-Louis-Riel;2014-04-07;G;Montréal, v;361;;4;384;22;20;1;5;0;146;194;2;
373;Anjou-Louis-Riel;2014-04-07;G;Montréal, v;361;;5;397;22;37;1;7;1;127;195;1;
373;Anjou-Louis-Riel;2014-04-07;G;Montréal, v;361;;6;385;21;24;0;12;2;140;199;1;
373;Anjou-Louis-Riel;2014-04-07;G;Montréal, v;361;;7;391;17;18;0;6;1;181;223;1;
373;Anjou-Louis-Riel;2014-04-07;G;Montréal, v;361;;8;399;19;26;0;14;4;146;209;1;
373;Anjou-Louis-Riel;2014-04-07;G;Montréal, v;361;;9;399;26;41;2;16;2;94;181;4;
373;Anjou-Louis-Riel;2014-04-07;G;Montréal, v;362;;10;414;37;66;1;29;4;91;228;1;
373;Anjou-Louis-Riel;2014-04-07;G;Montréal, v;362;;11;421;33;34;2;15;4;148;236;2;
373;Anjou-Louis-Riel;2014-04-07;G;Montréal, v;362;;12;411;43;52;1;34;4;114;248;4;
373;Anjou-Louis-Riel;2014-04-07;G;Montréal, v;362;;13;409;42;63;1;15;3;100;224;1;
373;Anjou-Louis-Riel;2014-04-07;G;Montréal, v;362;;14;412;25;20;0;16;3;142;206;9;
373;Anjou-Louis-Riel;2014-04-07;G;Montréal, v;362;;15;430;18;39;1;17;0;142;217;2;
373;Anjou-Louis-Riel;2014-04-07;G;Montréal, v;362;;16;412;47;41;1;11;1;135;236;4;
373;Anjou-Louis-Riel;2014-04-07;G;Montréal, v;362;;17;414;28;61;2;15;3;74;183;3;
373;Anjou-Louis-Riel;2014-04-07;G;Montréal, v;362;;18;409;29;44;3;23;3;108;210;0;
373;Anjou-Louis-Riel;2014-04-07;G;Montréal, v;363;;19;387;47;56;1;51;1;62;218;7;
373;Anjou-Louis-Riel;2014-04-07;G;Montréal, v;363;;20;382;27;62;3;49;3;92;236;2;
373;Anjou-Louis-Riel;2014-04-07;G;Montréal, v;363;;21;373;45;66;0;31;4;89;235;2;
373;Anjou-Louis-Riel;2014-04-07;G;Montréal, v;363;;22;383;39;73;0;24;10;79;225;2;
373;Anjou-Louis-Riel;2014-04-07;G;Montréal, v;363;;23;440;40;61;1;31;0;84;217;5;
373;Anjou-Louis-Riel;2014-04-07;G;Montréal, v;363;;24;377;41;59;3;21;0;97;221;2;
373;Anjou-Louis-Riel;2014-04-07;G;Montréal, v;364;;25;403;40;69;1;31;2;95;238;3;
373;Anjou-Louis-Riel;2014-04-07;G;Montréal, v;364;;26;417;33;38;2;48;1;99;221;3;
373;Anjou-Louis-Riel;2014-04-07;G;Montréal, v;364;;27;416;48;49;2;55;3;83;240;5;
373;Anjou-Louis-Riel;2014-04-07;G;Montréal, v;364;;28;409;35;82;0;36;0;82;235;3;
373;Anjou-Louis-Riel;2014-04-07;G;Montréal, v;364;;29;408;36;69;1;25;4;107;242;4;
373;Anjou-Louis-Riel;2014-04-07;G;Montréal, v;364;;30;412;50;73;0;32;3;92;250;1;
