Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Babin Matthew B.P.;Chénier Stéphane P.M.L.Q.;Dubois Carl C.A.Q.-É.F.L.;Labelle Sophie-Geneviève O.N. - P.I.Q.;Lisée Jean-François P.Q.;Svetoushkina Ksenia P.V.Q./G.P.Q.;Trudelle Jean Q.S.;Valade Thiery P.L.Q./Q.L.P.;B.V.;B.R.;
379;Rosemont;2014-04-07;G;Montréal, v;308;;1A;241;1;0;13;0;26;4;15;43;102;2;
379;Rosemont;2014-04-07;G;Montréal, v;308;;1B;187;1;0;9;2;23;2;15;25;77;1;
379;Rosemont;2014-04-07;G;Montréal, v;308;;2;398;2;1;31;5;85;3;69;26;222;4;
379;Rosemont;2014-04-07;G;Montréal, v;308;;3;416;1;1;23;0;82;1;50;59;217;0;
379;Rosemont;2014-04-07;G;Montréal, v;308;;4;421;1;0;53;0;70;5;55;68;252;1;
379;Rosemont;2014-04-07;G;Montréal, v;308;;5;420;0;0;19;4;91;1;44;59;218;6;
379;Rosemont;2014-04-07;G;Montréal, v;308;;6;398;0;2;55;1;83;3;46;60;250;1;
379;Rosemont;2014-04-07;G;Montréal, v;308;;7;413;0;0;57;0;62;5;40;81;245;2;
379;Rosemont;2014-04-07;G;Montréal, v;308;;8;396;1;0;68;0;58;3;23;74;227;2;
379;Rosemont;2014-04-07;G;Montréal, v;308;;9;857;0;1;44;1;78;5;50;86;265;2;
379;Rosemont;2014-04-07;G;Montréal, v;308;;10;378;2;7;51;3;64;7;41;49;224;3;
379;Rosemont;2014-04-07;G;Montréal, v;308;;11;407;0;0;35;2;61;7;35;60;200;0;
379;Rosemont;2014-04-07;G;Montréal, v;309;;12;335;0;1;23;0;47;4;27;55;157;1;
379;Rosemont;2014-04-07;G;Montréal, v;309;;13;340;1;0;19;1;48;2;32;46;149;3;
379;Rosemont;2014-04-07;G;Montréal, v;309;;14;357;2;0;39;2;44;3;30;55;175;3;
379;Rosemont;2014-04-07;G;Montréal, v;309;;15;342;2;0;29;2;67;2;36;43;181;3;
379;Rosemont;2014-04-07;G;Montréal, v;310;;16;351;2;1;43;2;46;2;51;44;191;2;
379;Rosemont;2014-04-07;G;Montréal, v;310;;17;410;1;0;44;1;62;2;57;50;217;6;
379;Rosemont;2014-04-07;G;Montréal, v;310;;18;328;0;2;41;0;68;5;28;34;178;6;
379;Rosemont;2014-04-07;G;Montréal, v;310;;19;357;3;0;17;0;76;1;34;85;216;2;
379;Rosemont;2014-04-07;G;Montréal, v;310;;20;335;1;1;14;0;69;3;55;50;193;3;
379;Rosemont;2014-04-07;G;Montréal, v;310;;21;351;0;0;36;1;61;2;40;31;171;5;
379;Rosemont;2014-04-07;G;Montréal, v;310;;22;361;0;0;32;1;77;0;38;56;204;0;
379;Rosemont;2014-04-07;G;Montréal, v;311;;23;367;2;0;28;3;48;6;40;39;166;1;
379;Rosemont;2014-04-07;G;Montréal, v;311;;24;392;0;0;32;2;62;6;48;52;202;4;
379;Rosemont;2014-04-07;G;Montréal, v;311;;25;361;1;0;28;2;89;2;43;45;210;7;
379;Rosemont;2014-04-07;G;Montréal, v;311;;26;391;2;0;32;2;84;5;37;64;226;6;
379;Rosemont;2014-04-07;G;Montréal, v;311;;27A;234;1;0;22;2;33;3;23;38;122;3;
379;Rosemont;2014-04-07;G;Montréal, v;311;;27B;211;1;0;15;1;44;1;20;29;111;3;
379;Rosemont;2014-04-07;G;Montréal, v;311;;28;384;1;0;39;3;85;5;42;36;211;1;
