Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Clavet Alain C.A.Q.-É.F.L.;Deslandes Hate's B.P.;Hughes Roger Ind;Khadir Amir Q.S.;Legault Sylvie P.Q.;Sagala Richard P.L.Q./Q.L.P.;Servant Martin O.N. - P.I.Q.;B.V.;B.R.;
383;Mercier;2014-04-07;G;Montréal, v;174;;1;358;16;1;3;121;27;67;1;236;3;
383;Mercier;2014-04-07;G;Montréal, v;174;;2;364;9;1;5;136;14;69;1;235;2;
383;Mercier;2014-04-07;G;Montréal, v;174;;3;378;18;6;1;107;15;74;1;222;2;
383;Mercier;2014-04-07;G;Montréal, v;174;;4;342;11;1;1;75;16;94;3;201;4;
383;Mercier;2014-04-07;G;Montréal, v;174;;5;363;7;0;3;125;13;91;3;242;1;
383;Mercier;2014-04-07;G;Montréal, v;174;;6;337;6;3;2;92;19;76;3;201;0;
383;Mercier;2014-04-07;G;Montréal, v;174;;7;363;10;3;3;96;18;91;2;223;6;
383;Mercier;2014-04-07;G;Montréal, v;175;;8;380;12;0;0;81;14;98;0;205;2;
383;Mercier;2014-04-07;G;Montréal, v;175;;9;367;14;4;1;67;28;87;0;201;0;
383;Mercier;2014-04-07;G;Montréal, v;175;;10;375;8;2;1;86;30;55;1;183;5;
383;Mercier;2014-04-07;G;Montréal, v;175;;11;363;7;2;1;100;26;64;3;203;6;
383;Mercier;2014-04-07;G;Montréal, v;175;;12;364;8;2;0;89;25;36;1;161;1;
383;Mercier;2014-04-07;G;Montréal, v;175;;13;367;8;3;0;79;25;66;0;181;6;
383;Mercier;2014-04-07;G;Montréal, v;175;;14;453;15;0;0;55;37;50;0;157;3;
383;Mercier;2014-04-07;G;Montréal, v;176;;15;418;23;0;1;106;45;68;1;244;6;
383;Mercier;2014-04-07;G;Montréal, v;176;;16;402;29;5;1;109;24;89;1;258;1;
383;Mercier;2014-04-07;G;Montréal, v;176;;17A;191;5;1;0;35;10;51;1;103;0;
383;Mercier;2014-04-07;G;Montréal, v;176;;17B;237;11;0;0;40;17;56;2;126;3;
383;Mercier;2014-04-07;G;Montréal, v;176;;18;413;11;7;2;93;12;123;1;249;4;
383;Mercier;2014-04-07;G;Montréal, v;176;;19;383;10;2;1;71;22;108;1;215;2;
383;Mercier;2014-04-07;G;Montréal, v;176;;20;402;13;1;0;104;12;106;2;238;4;
383;Mercier;2014-04-07;G;Montréal, v;177;;21;372;11;2;0;52;22;101;0;188;4;
383;Mercier;2014-04-07;G;Montréal, v;177;;22;402;16;2;3;81;12;117;3;234;3;
383;Mercier;2014-04-07;G;Montréal, v;177;;23;366;11;6;1;97;22;77;1;215;1;
383;Mercier;2014-04-07;G;Montréal, v;177;;24;400;17;3;0;91;20;87;1;219;2;
383;Mercier;2014-04-07;G;Montréal, v;177;;25;375;12;1;1;81;33;68;1;197;3;
383;Mercier;2014-04-07;G;Montréal, v;177;;26;374;10;3;0;107;31;75;1;227;3;
383;Mercier;2014-04-07;G;Montréal, v;178;;27;398;26;0;1;105;43;52;0;227;5;
383;Mercier;2014-04-07;G;Montréal, v;178;;28;385;17;0;1;100;48;41;2;209;1;
383;Mercier;2014-04-07;G;Montréal, v;178;;29;369;13;1;1;119;46;36;1;217;4;
383;Mercier;2014-04-07;G;Montréal, v;178;;30;385;32;3;0;100;51;44;2;232;3;
383;Mercier;2014-04-07;G;Montréal, v;178;;31;387;17;1;1;89;36;53;0;197;2;
383;Mercier;2014-04-07;G;Montréal, v;178;;32;370;14;1;1;81;39;53;1;190;6;
383;Mercier;2014-04-07;G;Montréal, v;179;;33;368;20;1;3;79;29;48;0;180;0;
383;Mercier;2014-04-07;G;Montréal, v;179;;34;396;18;1;1;97;40;63;0;220;4;
383;Mercier;2014-04-07;G;Montréal, v;179;;35;391;19;3;1;75;31;45;3;177;4;
383;Mercier;2014-04-07;G;Montréal, v;179;;36;422;18;2;2;111;42;47;3;225;2;
383;Mercier;2014-04-07;G;Montréal, v;179;;37;416;20;3;0;91;36;37;1;188;1;
383;Mercier;2014-04-07;G;Montréal, v;179;;38;406;23;2;3;73;41;54;1;197;3;
383;Mercier;2014-04-07;G;Montréal, v;179;;39A;230;12;0;0;48;17;42;0;119;1;
383;Mercier;2014-04-07;G;Montréal, v;179;;39B;444;17;2;2;69;26;50;2;168;1;
383;Mercier;2014-04-07;G;Montréal, v;180;;40;396;26;2;1;69;41;58;5;202;3;
383;Mercier;2014-04-07;G;Montréal, v;180;;41;402;26;2;3;125;47;34;1;238;3;
383;Mercier;2014-04-07;G;Montréal, v;180;;42;360;23;0;1;102;38;41;1;206;1;
383;Mercier;2014-04-07;G;Montréal, v;180;;43;394;14;1;0;97;42;64;1;219;3;
383;Mercier;2014-04-07;G;Montréal, v;180;;44;373;38;1;1;79;38;58;1;216;4;
383;Mercier;2014-04-07;G;Montréal, v;180;;45;357;38;2;1;62;45;41;2;191;1;
383;Mercier;2014-04-07;G;Montréal, v;180;;46;388;20;2;0;103;47;37;2;211;2;
383;Mercier;2014-04-07;G;Montréal, v;180;;47;368;18;1;1;100;37;32;4;193;3;
383;Mercier;2014-04-07;G;Montréal, v;180;;48;403;18;1;1;127;52;38;1;238;4;
383;Mercier;2014-04-07;G;Montréal, v;180;;49;363;20;4;0;93;44;43;0;204;3;
383;Mercier;2014-04-07;G;Montréal, v;181;;50;373;24;0;4;96;28;40;1;193;1;
383;Mercier;2014-04-07;G;Montréal, v;181;;51;399;18;1;2;96;37;51;3;208;3;
383;Mercier;2014-04-07;G;Montréal, v;181;;52;407;24;1;0;99;45;34;2;205;2;
383;Mercier;2014-04-07;G;Montréal, v;181;;53;350;15;2;2;117;38;38;1;213;1;
383;Mercier;2014-04-07;G;Montréal, v;181;;54;388;24;1;0;93;53;48;2;221;5;
383;Mercier;2014-04-07;G;Montréal, v;181;;55;370;23;0;1;113;51;39;0;227;4;
383;Mercier;2014-04-07;G;Montréal, v;182;;56;332;16;0;1;108;42;28;0;195;6;
383;Mercier;2014-04-07;G;Montréal, v;182;;57;378;29;0;0;95;68;41;5;238;3;
383;Mercier;2014-04-07;G;Montréal, v;182;;58;370;22;2;2;110;46;35;1;218;2;
383;Mercier;2014-04-07;G;Montréal, v;182;;59;344;13;1;1;91;52;27;2;187;4;
383;Mercier;2014-04-07;G;Montréal, v;182;;60;355;24;1;0;100;46;41;3;215;3;
383;Mercier;2014-04-07;G;Montréal, v;183;;61;362;34;2;1;114;39;44;1;235;3;
383;Mercier;2014-04-07;G;Montréal, v;183;;62;338;16;0;0;70;48;47;1;182;1;
383;Mercier;2014-04-07;G;Montréal, v;183;;63;354;25;2;1;89;53;38;2;210;4;
383;Mercier;2014-04-07;G;Montréal, v;183;;64;376;21;1;0;103;60;38;0;223;1;
383;Mercier;2014-04-07;G;Montréal, v;183;;65;322;9;4;2;99;39;50;1;204;3;
