Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Canning Justin P.N.;Dandenault Christine P.M.L.Q.;Leduc Alexandre Q.S.;Lewis-Richmond Malcolm P.V.Q./G.P.Q.;Mallette Etienne B.P.;Marchand Simon O.N. - P.I.Q.;Poirier Carole P.Q.;Provencher David P.L.Q./Q.L.P.;Walsh Brendan C.A.Q.-É.F.L.;B.V.;B.R.;
387;Hochelaga-Maisonneuve;2014-04-07;G;Montréal, v;326;;1;364;5;0;54;4;4;0;48;44;10;169;3;
387;Hochelaga-Maisonneuve;2014-04-07;G;Montréal, v;326;;2;365;4;2;39;4;0;2;57;46;30;184;1;
387;Hochelaga-Maisonneuve;2014-04-07;G;Montréal, v;326;;3;378;3;0;73;5;1;1;62;33;14;192;3;
387;Hochelaga-Maisonneuve;2014-04-07;G;Montréal, v;326;;4;354;2;0;47;2;3;2;59;36;21;172;2;
387;Hochelaga-Maisonneuve;2014-04-07;G;Montréal, v;326;;5;380;3;0;78;3;1;3;55;41;12;196;1;
387;Hochelaga-Maisonneuve;2014-04-07;G;Montréal, v;326;;6;359;3;0;59;7;2;3;84;45;19;222;4;
387;Hochelaga-Maisonneuve;2014-04-07;G;Montréal, v;327;;7;406;1;1;46;1;1;0;47;99;23;219;4;
387;Hochelaga-Maisonneuve;2014-04-07;G;Montréal, v;327;;8;395;5;0;57;2;4;2;40;53;24;187;1;
387;Hochelaga-Maisonneuve;2014-04-07;G;Montréal, v;327;;9;366;2;0;32;4;2;1;71;41;24;177;4;
387;Hochelaga-Maisonneuve;2014-04-07;G;Montréal, v;327;;10;376;2;0;50;3;1;1;66;36;14;173;5;
387;Hochelaga-Maisonneuve;2014-04-07;G;Montréal, v;327;;11;389;4;0;46;3;2;1;57;60;18;191;6;
387;Hochelaga-Maisonneuve;2014-04-07;G;Montréal, v;327;;12;380;3;2;13;1;0;4;67;51;23;164;3;
387;Hochelaga-Maisonneuve;2014-04-07;G;Montréal, v;327;;13;381;1;1;15;0;1;0;62;48;21;149;0;
387;Hochelaga-Maisonneuve;2014-04-07;G;Montréal, v;327;;14;379;1;1;9;0;2;1;73;55;25;167;2;
387;Hochelaga-Maisonneuve;2014-04-07;G;Montréal, v;328;;15;371;2;0;38;6;1;0;66;25;22;160;10;
387;Hochelaga-Maisonneuve;2014-04-07;G;Montréal, v;328;;16;381;2;0;54;2;1;1;61;23;18;162;3;
387;Hochelaga-Maisonneuve;2014-04-07;G;Montréal, v;328;;17;363;3;0;72;0;1;8;76;24;17;201;3;
387;Hochelaga-Maisonneuve;2014-04-07;G;Montréal, v;328;;18;381;4;1;54;2;3;2;73;27;22;188;2;
387;Hochelaga-Maisonneuve;2014-04-07;G;Montréal, v;328;;19;383;3;0;66;6;1;2;64;28;22;192;5;
387;Hochelaga-Maisonneuve;2014-04-07;G;Montréal, v;328;;20;363;3;2;75;4;0;2;78;23;36;223;3;
387;Hochelaga-Maisonneuve;2014-04-07;G;Montréal, v;329;;21;381;4;2;74;0;3;2;68;13;24;190;8;
387;Hochelaga-Maisonneuve;2014-04-07;G;Montréal, v;329;;22;383;4;1;54;2;2;5;64;39;16;187;3;
387;Hochelaga-Maisonneuve;2014-04-07;G;Montréal, v;329;;23;381;1;1;74;3;2;3;49;26;17;176;3;
387;Hochelaga-Maisonneuve;2014-04-07;G;Montréal, v;329;;24;363;1;0;73;3;1;3;53;18;16;168;7;
387;Hochelaga-Maisonneuve;2014-04-07;G;Montréal, v;330;;25;351;6;0;66;5;0;1;54;17;26;175;2;
387;Hochelaga-Maisonneuve;2014-04-07;G;Montréal, v;330;;26;410;0;0;29;1;1;1;56;60;15;163;2;
387;Hochelaga-Maisonneuve;2014-04-07;G;Montréal, v;330;;27;430;1;0;47;0;2;2;47;62;23;184;4;
387;Hochelaga-Maisonneuve;2014-04-07;G;Montréal, v;330;;28;339;0;1;62;3;4;3;55;26;29;183;1;
387;Hochelaga-Maisonneuve;2014-04-07;G;Montréal, v;330;;29;327;4;0;44;3;2;3;53;33;28;170;0;
