Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Brière Théo P.V.Q./G.P.Q.;David Hélène P.L.Q./Q.L.P.;Gendron Roxanne P.Q.;Laperle Édith Q.S.;Marcil Mathieu P.N.;McCann Rebecca C.A.Q.-É.F.L.;Pouliot Simon É.A.P. - P.C.Q.;Vaillancourt Galia O.N. - P.I.Q.;B.V.;B.R.;
421;Outremont;2014-04-07;G;Montréal, v;137;;1;355;0;141;3;7;0;2;1;0;154;0;
421;Outremont;2014-04-07;G;Montréal, v;137;;2;394;3;173;6;12;0;5;1;0;200;2;
421;Outremont;2014-04-07;G;Montréal, v;137;;3;348;6;137;8;13;4;17;1;0;186;2;
421;Outremont;2014-04-07;G;Montréal, v;137;;4;373;3;148;12;9;2;12;0;0;186;0;
421;Outremont;2014-04-07;G;Montréal, v;137;;5;373;5;133;9;9;4;8;2;0;170;1;
421;Outremont;2014-04-07;G;Montréal, v;137;;6;372;7;153;6;11;1;10;0;0;188;2;
421;Outremont;2014-04-07;G;Montréal, v;137;;7;395;6;132;17;23;1;18;0;0;197;1;
421;Outremont;2014-04-07;G;Montréal, v;138;;8;410;10;131;11;29;1;19;1;0;202;0;
421;Outremont;2014-04-07;G;Montréal, v;138;;9;422;3;187;7;13;1;5;2;1;219;1;
421;Outremont;2014-04-07;G;Montréal, v;138;;10;403;8;147;13;13;2;9;3;0;195;0;
421;Outremont;2014-04-07;G;Montréal, v;138;;11;394;3;145;21;18;2;21;0;0;210;0;
421;Outremont;2014-04-07;G;Montréal, v;138;;12;404;3;114;12;22;0;12;0;0;163;2;
421;Outremont;2014-04-07;G;Montréal, v;138;;13;387;9;94;23;20;1;21;0;2;170;0;
421;Outremont;2014-04-07;G;Montréal, v;138;;14;402;5;143;13;13;1;9;1;2;187;3;
421;Outremont;2014-04-07;G;Montréal, v;139;;15;372;2;106;21;20;2;16;1;1;169;2;
421;Outremont;2014-04-07;G;Montréal, v;139;;16;338;1;126;12;12;0;6;1;1;159;2;
421;Outremont;2014-04-07;G;Montréal, v;139;;17;380;0;139;13;28;1;11;0;1;193;2;
421;Outremont;2014-04-07;G;Montréal, v;139;;18;352;4;153;13;22;1;11;0;0;204;1;
421;Outremont;2014-04-07;G;Montréal, v;139;;19;338;0;107;25;39;2;16;0;2;191;4;
