Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bourgault Marijo P.V.Q./G.P.Q.;Cayo Wilner C.A.Q.-É.F.L.;Da Silva Ana B.P.;Fortier-Moreau Geneviève Q.S.;Heurtel David P.L.Q./Q.L.P.;Lavigne Odette P.Q.;Michaud Benjamin O.N. - P.I.Q.;Valiquette Benoit P.N.;B.V.;B.R.;
427;Viau;2014-04-07;G;Montréal, v;261;;1;351;2;17;2;3;105;12;0;0;141;3;
427;Viau;2014-04-07;G;Montréal, v;261;;2;348;5;11;2;8;137;19;0;3;185;3;
427;Viau;2014-04-07;G;Montréal, v;261;;3;348;1;17;1;7;90;32;1;0;149;0;
427;Viau;2014-04-07;G;Montréal, v;261;;4;376;1;12;0;5;96;17;1;0;132;3;
427;Viau;2014-04-07;G;Montréal, v;262;;5;398;0;21;1;7;148;22;2;2;203;3;
427;Viau;2014-04-07;G;Montréal, v;262;;6;412;2;25;0;9;83;23;1;1;144;3;
427;Viau;2014-04-07;G;Montréal, v;262;;7;419;2;19;2;8;134;23;2;1;191;1;
427;Viau;2014-04-07;G;Montréal, v;262;;8;405;6;18;1;5;177;12;0;2;221;0;
427;Viau;2014-04-07;G;Montréal, v;263;;9;345;0;12;1;8;128;18;0;1;168;5;
427;Viau;2014-04-07;G;Montréal, v;263;;10;351;3;29;1;18;108;22;1;1;183;4;
427;Viau;2014-04-07;G;Montréal, v;263;;11;357;4;18;0;13;99;35;2;5;176;1;
427;Viau;2014-04-07;G;Montréal, v;263;;12;354;3;14;0;11;148;7;0;1;184;0;
427;Viau;2014-04-07;G;Montréal, v;263;;13;376;2;24;2;14;116;21;1;4;184;0;
427;Viau;2014-04-07;G;Montréal, v;264;;14;391;5;17;1;8;131;25;0;1;188;2;
427;Viau;2014-04-07;G;Montréal, v;264;;15;411;3;13;1;15;122;20;0;0;174;1;
427;Viau;2014-04-07;G;Montréal, v;264;;16;420;1;20;1;12;124;27;1;0;186;4;
427;Viau;2014-04-07;G;Montréal, v;264;;17;521;3;13;0;14;143;20;1;1;195;3;
427;Viau;2014-04-07;G;Montréal, v;264;Regr. BVO-17;18;0;0;0;0;0;0;0;0;0;0;0;
427;Viau;2014-04-07;G;Montréal, v;264;;19;384;3;21;3;32;109;37;2;1;208;2;
427;Viau;2014-04-07;G;Montréal, v;264;;20;413;2;20;1;31;146;34;5;2;241;0;
427;Viau;2014-04-07;G;Montréal, v;264;;21;406;2;26;3;15;152;22;1;1;222;2;
427;Viau;2014-04-07;G;Montréal, v;265;;22;405;2;12;1;15;146;15;1;0;192;3;
427;Viau;2014-04-07;G;Montréal, v;265;;23;390;7;25;1;19;105;25;1;1;184;0;
427;Viau;2014-04-07;G;Montréal, v;265;;24;408;2;7;0;6;165;9;0;2;191;3;
427;Viau;2014-04-07;G;Montréal, v;265;;25;413;2;21;0;3;191;9;0;0;226;3;
427;Viau;2014-04-07;G;Montréal, v;265;;26;390;1;18;0;9;118;12;2;1;161;4;
427;Viau;2014-04-07;G;Montréal, v;265;;27;406;3;21;1;5;96;16;0;1;143;7;
427;Viau;2014-04-07;G;Montréal, v;266;;28;394;0;16;0;5;184;15;0;1;221;0;
427;Viau;2014-04-07;G;Montréal, v;266;;29;407;1;18;3;7;151;15;0;0;195;3;
427;Viau;2014-04-07;G;Montréal, v;266;;30;419;1;38;1;8;169;14;1;2;234;4;
427;Viau;2014-04-07;G;Montréal, v;266;;31;386;1;22;0;13;161;10;1;0;208;4;
427;Viau;2014-04-07;G;Montréal, v;266;;32;395;0;21;3;3;133;21;0;1;182;1;
427;Viau;2014-04-07;G;Montréal, v;266;;33;389;2;21;3;9;121;15;1;0;172;1;
427;Viau;2014-04-07;G;Montréal, v;266;;34;398;2;15;0;4;163;19;3;0;206;2;
427;Viau;2014-04-07;G;Montréal, v;267;;35;328;2;14;2;12;122;21;1;2;176;1;
427;Viau;2014-04-07;G;Montréal, v;267;;36;366;2;18;1;7;130;15;0;1;174;1;
427;Viau;2014-04-07;G;Montréal, v;267;;37;369;0;15;0;5;138;14;0;2;174;5;
427;Viau;2014-04-07;G;Montréal, v;267;;38;336;0;19;1;5;121;12;0;2;160;3;
427;Viau;2014-04-07;G;Montréal, v;267;;39;368;1;15;0;8;123;16;0;1;164;3;
427;Viau;2014-04-07;G;Montréal, v;267;;40;366;5;13;2;10;135;22;0;2;189;1;
427;Viau;2014-04-07;G;Montréal, v;267;;41;367;0;7;0;4;87;10;0;0;108;5;
427;Viau;2014-04-07;G;Montréal, v;267;;42;368;1;10;1;12;100;25;1;1;151;0;
427;Viau;2014-04-07;G;Montréal, v;268;;43;373;1;6;1;16;133;20;0;1;178;0;
427;Viau;2014-04-07;G;Montréal, v;268;;44;386;3;8;1;17;153;14;1;2;199;0;
427;Viau;2014-04-07;G;Montréal, v;268;;45;382;1;13;2;10;139;13;0;2;180;1;
427;Viau;2014-04-07;G;Montréal, v;268;;46;408;3;14;0;5;180;10;1;1;214;3;
427;Viau;2014-04-07;G;Montréal, v;268;;47;411;4;27;3;11;186;8;0;0;239;2;
427;Viau;2014-04-07;G;Montréal, v;268;;48;410;3;9;0;9;161;14;2;1;199;2;
427;Viau;2014-04-07;G;Montréal, v;269;;49;386;0;15;0;5;125;24;1;2;172;5;
427;Viau;2014-04-07;G;Montréal, v;269;;50;378;2;9;0;3;156;17;0;1;188;1;
