Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Charpentier Stéphanie Q.S.;Colly Garnet P.M.L.Q.;Harnois Joanie P.Q.;Miscione Melissa P.V.Q./G.P.Q.;Parent Mario C.A.Q.-É.F.L.;Rotiroti Filomena P.L.Q./Q.L.P.;B.V.;B.R.;
429;Jeanne-Mance-Viger;2014-04-07;G;Montréal, v;299;;1;383;4;0;13;1;20;179;217;3;
429;Jeanne-Mance-Viger;2014-04-07;G;Montréal, v;299;;2;383;3;1;16;2;12;180;214;2;
429;Jeanne-Mance-Viger;2014-04-07;G;Montréal, v;299;;3;390;9;0;4;0;7;246;266;1;
429;Jeanne-Mance-Viger;2014-04-07;G;Montréal, v;299;;4;433;12;0;21;7;20;185;245;5;
429;Jeanne-Mance-Viger;2014-04-07;G;Montréal, v;299;;5A;252;4;1;6;1;10;125;147;3;
429;Jeanne-Mance-Viger;2014-04-07;G;Montréal, v;299;;5B;193;1;0;0;0;5;107;113;1;
429;Jeanne-Mance-Viger;2014-04-07;G;Montréal, v;299;;6A;268;5;0;8;1;19;131;164;2;
429;Jeanne-Mance-Viger;2014-04-07;G;Montréal, v;299;;6B;171;2;0;2;2;10;98;114;1;
429;Jeanne-Mance-Viger;2014-04-07;G;Montréal, v;299;;7;403;5;2;24;5;21;197;254;3;
429;Jeanne-Mance-Viger;2014-04-07;G;Montréal, v;299;;8;409;13;0;24;14;25;204;280;4;
429;Jeanne-Mance-Viger;2014-04-07;G;Montréal, v;299;;9;377;2;0;13;7;16;230;268;4;
429;Jeanne-Mance-Viger;2014-04-07;G;Montréal, v;299;;10;403;8;0;32;5;37;179;261;2;
429;Jeanne-Mance-Viger;2014-04-07;G;Montréal, v;299;;11;378;6;0;14;2;19;204;245;0;
429;Jeanne-Mance-Viger;2014-04-07;G;Montréal, v;299;;12;376;5;0;11;1;23;158;198;2;
429;Jeanne-Mance-Viger;2014-04-07;G;Montréal, v;299;;13;368;6;0;16;3;24;156;205;1;
429;Jeanne-Mance-Viger;2014-04-07;G;Montréal, v;299;;14;383;5;1;23;2;12;185;228;0;
429;Jeanne-Mance-Viger;2014-04-07;G;Montréal, v;300;;15;361;11;0;16;1;23;153;204;2;
429;Jeanne-Mance-Viger;2014-04-07;G;Montréal, v;300;;16;389;4;1;13;2;21;200;241;1;
429;Jeanne-Mance-Viger;2014-04-07;G;Montréal, v;300;;17;384;4;0;19;3;16;190;232;5;
429;Jeanne-Mance-Viger;2014-04-07;G;Montréal, v;300;;18;372;6;1;17;3;9;199;235;1;
429;Jeanne-Mance-Viger;2014-04-07;G;Montréal, v;300;;19;356;1;0;11;0;12;171;195;1;
429;Jeanne-Mance-Viger;2014-04-07;G;Montréal, v;300;;20;385;7;2;7;4;11;169;200;0;
429;Jeanne-Mance-Viger;2014-04-07;G;Montréal, v;300;;21;377;9;1;22;1;18;120;171;0;
429;Jeanne-Mance-Viger;2014-04-07;G;Montréal, v;300;;22;386;7;0;11;3;13;172;206;1;
