Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bessette Sylvain C.A.Q.-É.F.L.;De Courcy Diane P.Q.;Frappier André Q.S.;Ladouceur-Despins Gabrielle O.N. - P.I.Q.;Leurent-Bonnevie Virginia P.V.Q./G.P.Q.;Montpetit Marie P.L.Q./Q.L.P.;B.V.;B.R.;
433;Crémazie;2014-04-07;G;Montréal, v;243;;1;388;44;85;31;0;6;77;243;2;
433;Crémazie;2014-04-07;G;Montréal, v;243;;2;406;30;66;36;1;4;98;235;1;
433;Crémazie;2014-04-07;G;Montréal, v;243;;3;396;46;98;37;3;4;45;233;0;
433;Crémazie;2014-04-07;G;Montréal, v;243;;4;390;20;55;20;0;1;85;181;2;
433;Crémazie;2014-04-07;G;Montréal, v;243;;5;397;40;90;39;3;7;75;254;0;
433;Crémazie;2014-04-07;G;Montréal, v;243;;6;390;43;90;31;1;0;67;232;2;
433;Crémazie;2014-04-07;G;Montréal, v;244;;7;401;33;61;34;1;1;86;216;2;
433;Crémazie;2014-04-07;G;Montréal, v;244;;8;396;40;86;36;1;1;91;255;1;
433;Crémazie;2014-04-07;G;Montréal, v;244;;9;406;35;70;46;1;0;81;233;6;
433;Crémazie;2014-04-07;G;Montréal, v;244;;10;391;32;72;39;0;1;93;237;5;
433;Crémazie;2014-04-07;G;Montréal, v;245;;11;440;42;65;46;2;7;56;218;3;
433;Crémazie;2014-04-07;G;Montréal, v;245;;12;333;15;39;23;3;2;73;155;4;
433;Crémazie;2014-04-07;G;Montréal, v;245;;13;342;28;65;30;1;2;71;197;8;
433;Crémazie;2014-04-07;G;Montréal, v;245;;14;336;15;41;41;3;2;57;159;2;
433;Crémazie;2014-04-07;G;Montréal, v;246;;15;375;36;61;35;2;2;64;200;6;
433;Crémazie;2014-04-07;G;Montréal, v;246;;16;404;32;78;44;7;4;69;234;2;
433;Crémazie;2014-04-07;G;Montréal, v;246;;17A;208;15;32;21;0;0;56;124;1;
433;Crémazie;2014-04-07;G;Montréal, v;246;;17B;234;22;32;38;3;2;35;132;2;
433;Crémazie;2014-04-07;G;Montréal, v;246;;18A;223;20;42;21;2;2;30;117;4;
433;Crémazie;2014-04-07;G;Montréal, v;246;;18B;204;15;27;22;3;1;24;92;1;
433;Crémazie;2014-04-07;G;Montréal, v;246;;19;403;32;71;61;2;3;32;201;3;
433;Crémazie;2014-04-07;G;Montréal, v;246;;20;394;35;48;34;2;5;67;191;4;
433;Crémazie;2014-04-07;G;Montréal, v;246;;21;447;27;58;27;2;3;64;181;1;
433;Crémazie;2014-04-07;G;Montréal, v;246;;22;418;28;56;16;1;1;76;178;3;
433;Crémazie;2014-04-07;G;Montréal, v;246;;23;383;48;56;21;1;1;103;230;10;
433;Crémazie;2014-04-07;G;Montréal, v;246;;24;392;45;93;33;0;3;55;229;1;
433;Crémazie;2014-04-07;G;Montréal, v;246;;25;428;49;55;32;3;6;74;219;3;
433;Crémazie;2014-04-07;G;Montréal, v;246;;26;402;53;79;15;1;1;80;229;8;
433;Crémazie;2014-04-07;G;Montréal, v;246;;27;382;32;85;40;0;4;60;221;0;
433;Crémazie;2014-04-07;G;Montréal, v;246;;28;405;42;72;21;1;2;98;236;4;
433;Crémazie;2014-04-07;G;Montréal, v;246;;29;410;31;78;33;3;4;101;250;1;
433;Crémazie;2014-04-07;G;Montréal, v;246;;30A;232;12;13;1;0;2;59;87;4;
433;Crémazie;2014-04-07;G;Montréal, v;246;;30B;251;12;14;7;0;2;68;103;4;
