Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Belleau Éric O.N. - P.I.Q.;Caire Éric C.A.Q.-É.F.L.;Desgagnés Paule P.Q.;Dion-Garneau Camille É.A.;Gagnon France P.L.Q./Q.L.P.;Jobin-Lawler Alexandre Q.S.;Pouliot Thomas É.A.P. - P.C.Q.;B.V.;B.R.;
603;La Peltrie;2014-04-07;G;L'Ancienne-Lorette, v;1;;1;287;0;76;31;1;38;7;3;156;1;
603;La Peltrie;2014-04-07;G;L'Ancienne-Lorette, v;1;;2;281;0;96;13;1;38;11;0;159;1;
603;La Peltrie;2014-04-07;G;L'Ancienne-Lorette, v;1;;3;267;2;85;23;0;34;8;1;153;4;
603;La Peltrie;2014-04-07;G;L'Ancienne-Lorette, v;1;;4;262;0;76;17;1;46;7;1;148;2;
603;La Peltrie;2014-04-07;G;L'Ancienne-Lorette, v;1;;5;249;0;62;13;0;27;2;1;105;2;
603;La Peltrie;2014-04-07;G;L'Ancienne-Lorette, v;1;;6;279;0;71;21;1;44;7;2;146;3;
603;La Peltrie;2014-04-07;G;L'Ancienne-Lorette, v;1;;7;278;0;94;17;0;32;6;0;149;3;
603;La Peltrie;2014-04-07;G;L'Ancienne-Lorette, v;1;;8;270;1;79;19;0;36;4;1;140;0;
603;La Peltrie;2014-04-07;G;L'Ancienne-Lorette, v;1;;9;260;1;78;10;1;35;5;3;133;3;
603;La Peltrie;2014-04-07;G;L'Ancienne-Lorette, v;2;Regr. BVO-11;10;0;0;0;0;0;0;0;0;0;0;
603;La Peltrie;2014-04-07;G;L'Ancienne-Lorette, v;2;;11;415;0;89;12;2;48;6;0;157;2;
603;La Peltrie;2014-04-07;G;L'Ancienne-Lorette, v;2;;12;325;0;82;13;0;39;7;2;143;0;
603;La Peltrie;2014-04-07;G;L'Ancienne-Lorette, v;2;;13;308;0;73;14;1;29;9;2;128;0;
603;La Peltrie;2014-04-07;G;L'Ancienne-Lorette, v;2;;14;278;2;83;10;1;31;2;1;130;3;
603;La Peltrie;2014-04-07;G;L'Ancienne-Lorette, v;2;;15;322;2;73;16;0;42;8;3;144;2;
603;La Peltrie;2014-04-07;G;L'Ancienne-Lorette, v;2;;16;449;1;54;14;0;37;5;2;113;2;
603;La Peltrie;2014-04-07;G;L'Ancienne-Lorette, v;2;Regr. BVO-16;17;0;0;0;0;0;0;0;0;0;0;
603;La Peltrie;2014-04-07;G;L'Ancienne-Lorette, v;3;;18;295;5;94;12;0;24;5;2;142;2;
603;La Peltrie;2014-04-07;G;L'Ancienne-Lorette, v;3;;19;346;3;84;15;1;48;8;1;160;1;
603;La Peltrie;2014-04-07;G;L'Ancienne-Lorette, v;3;;20;309;0;94;17;1;49;5;4;170;2;
603;La Peltrie;2014-04-07;G;L'Ancienne-Lorette, v;3;;21;296;0;60;18;1;42;6;2;129;5;
603;La Peltrie;2014-04-07;G;L'Ancienne-Lorette, v;3;;22;296;0;76;13;0;37;3;1;130;1;
603;La Peltrie;2014-04-07;G;L'Ancienne-Lorette, v;4;;23;370;0;116;11;1;75;9;2;214;1;
603;La Peltrie;2014-04-07;G;L'Ancienne-Lorette, v;4;;24;349;0;114;20;0;77;4;7;222;5;
603;La Peltrie;2014-04-07;G;L'Ancienne-Lorette, v;4;;25;349;3;135;6;0;56;13;8;221;3;
603;La Peltrie;2014-04-07;G;L'Ancienne-Lorette, v;4;;26;333;0;122;17;0;55;6;4;204;6;
603;La Peltrie;2014-04-07;G;L'Ancienne-Lorette, v;4;;27;339;1;126;25;1;63;5;2;223;3;
603;La Peltrie;2014-04-07;G;L'Ancienne-Lorette, v;4;;28;308;3;122;16;1;39;9;3;193;5;
603;La Peltrie;2014-04-07;G;L'Ancienne-Lorette, v;4;;29;326;1;142;12;0;54;8;2;219;0;
603;La Peltrie;2014-04-07;G;L'Ancienne-Lorette, v;4;;30;324;2;83;35;1;50;13;0;184;2;
603;La Peltrie;2014-04-07;G;L'Ancienne-Lorette, v;4;;31;330;1;117;17;1;54;14;2;206;2;
603;La Peltrie;2014-04-07;G;L'Ancienne-Lorette, v;4;;32;310;0;108;15;0;39;8;4;174;4;
