Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Boivin Guy É.A.;Brabant Steve C.A.Q.-É.F.L.;Deblois Anne É.A.P. - P.C.Q.;Dorion Catherine O.N. - P.I.Q.;Drolet Sylvain P.S.P.;Duchesne Marie-Ève Q.S.;Maltais Agnès P.Q.;Savard Jean-Luc P.N.;Tanlet Florent P.L.Q./Q.L.P.;B.V.;B.R.;
633;Taschereau;2014-04-07;G;Québec, v;35;;1;314;0;34;1;7;0;22;59;3;55;181;3;
633;Taschereau;2014-04-07;G;Québec, v;35;;2;354;0;29;1;8;0;29;67;1;40;175;0;
633;Taschereau;2014-04-07;G;Québec, v;35;;3;294;1;14;0;0;0;9;20;2;54;100;0;
633;Taschereau;2014-04-07;G;Québec, v;35;;4;324;0;47;0;4;0;17;73;2;78;221;3;
633;Taschereau;2014-04-07;G;Québec, v;35;;5;319;0;40;0;13;1;33;67;1;35;190;4;
633;Taschereau;2014-04-07;G;Québec, v;35;;6;417;0;47;0;2;0;35;80;1;71;236;1;
633;Taschereau;2014-04-07;G;Québec, v;35;;7;292;1;33;2;11;3;22;52;2;44;170;1;
633;Taschereau;2014-04-07;G;Québec, v;35;;8;322;0;33;0;2;1;17;48;0;53;154;0;
633;Taschereau;2014-04-07;G;Québec, v;35;;9;299;0;28;0;1;0;13;42;0;55;139;2;
633;Taschereau;2014-04-07;G;Québec, v;36;;10;379;0;33;2;7;0;33;43;2;27;147;0;
633;Taschereau;2014-04-07;G;Québec, v;36;;11;342;0;28;1;7;1;14;61;4;44;160;1;
633;Taschereau;2014-04-07;G;Québec, v;36;;12;327;0;31;0;11;0;36;55;0;49;182;3;
633;Taschereau;2014-04-07;G;Québec, v;36;;13;314;1;28;0;5;0;35;68;3;34;174;0;
633;Taschereau;2014-04-07;G;Québec, v;36;;14;317;0;29;2;0;0;14;35;0;117;197;0;
633;Taschereau;2014-04-07;G;Québec, v;36;;15;309;0;27;2;2;0;3;51;0;102;187;1;
633;Taschereau;2014-04-07;G;Québec, v;36;;16;306;0;33;3;7;1;31;54;3;37;169;2;
633;Taschereau;2014-04-07;G;Québec, v;36;;17;291;1;31;0;3;4;17;39;2;54;151;3;
633;Taschereau;2014-04-07;G;Québec, v;37;;18;305;0;70;3;5;0;17;43;4;51;193;13;
633;Taschereau;2014-04-07;G;Québec, v;37;;19;298;0;42;1;11;0;12;30;1;50;147;1;
633;Taschereau;2014-04-07;G;Québec, v;37;;20;271;0;43;3;4;2;6;33;1;39;131;0;
633;Taschereau;2014-04-07;G;Québec, v;37;;21;369;0;56;0;3;1;20;48;1;64;193;4;
633;Taschereau;2014-04-07;G;Québec, v;37;;22;380;1;24;1;8;1;17;26;3;41;122;1;
633;Taschereau;2014-04-07;G;Québec, v;38;;23;295;0;43;2;7;1;29;33;2;39;156;1;
633;Taschereau;2014-04-07;G;Québec, v;38;;24;329;0;46;1;17;2;32;42;2;46;188;1;
633;Taschereau;2014-04-07;G;Québec, v;38;;25;291;1;33;0;12;2;26;43;3;37;157;5;
633;Taschereau;2014-04-07;G;Québec, v;38;;26;328;0;55;0;4;0;23;31;3;43;159;1;
633;Taschereau;2014-04-07;G;Québec, v;38;;27;298;1;41;1;3;1;20;46;1;57;171;2;
633;Taschereau;2014-04-07;G;Québec, v;38;;28;355;0;42;2;0;9;24;54;1;56;188;1;
633;Taschereau;2014-04-07;G;Québec, v;38;;29;341;0;69;2;9;1;18;50;1;48;198;4;
633;Taschereau;2014-04-07;G;Québec, v;38;;30;301;0;52;1;8;1;24;31;3;37;157;1;
633;Taschereau;2014-04-07;G;Québec, v;38;;31;304;0;46;4;8;0;19;37;1;49;164;4;
633;Taschereau;2014-04-07;G;Québec, v;39;;32;382;0;41;2;5;0;20;35;1;29;133;4;
633;Taschereau;2014-04-07;G;Québec, v;39;;33;321;0;27;3;6;2;31;33;4;46;152;6;
633;Taschereau;2014-04-07;G;Québec, v;39;;34;320;0;47;0;6;1;27;31;1;32;145;4;
633;Taschereau;2014-04-07;G;Québec, v;39;;35;297;0;34;3;6;1;37;26;3;30;140;4;
633;Taschereau;2014-04-07;G;Québec, v;39;;36;280;0;26;0;11;1;28;42;5;32;145;3;
633;Taschereau;2014-04-07;G;Québec, v;42;;37A;311;0;30;0;6;1;17;41;1;47;143;1;
633;Taschereau;2014-04-07;G;Québec, v;42;;37B;305;0;35;3;0;0;10;43;0;146;237;1;
633;Taschereau;2014-04-07;G;Québec, v;42;;38;311;0;23;1;15;1;33;50;2;35;160;3;
