Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Beaudoin Pierre O.N. - P.I.Q.;Besner Marie-Neige Q.S.;Cyr Tom-Henri B.P.;Fleurent Steven C.A.Q.-É.F.L.;Gagnon Pier-Luc P.N.;Huot Pierre P.L.Q./Q.L.P.;Lebel Harold P.Q.;B.V.;B.R.;
703;Rimouski;2014-04-07;G;Saint-Fabien, p;1;;1;389;1;18;0;31;2;74;63;189;5;
703;Rimouski;2014-04-07;G;Saint-Fabien, p;1;;2;377;2;18;2;37;3;88;85;235;4;
703;Rimouski;2014-04-07;G;Saint-Fabien, p;1;;3;365;6;34;1;27;2;58;70;198;2;
703;Rimouski;2014-04-07;G;Saint-Fabien, p;1;;4;360;1;28;1;31;4;68;71;204;2;
703;Rimouski;2014-04-07;G;Saint-Eugène-de-Ladrière, p;1;;5;335;1;21;1;34;1;74;53;185;0;
703;Rimouski;2014-04-07;G;Esprit-Saint, m;1;;6;315;1;16;1;23;2;38;107;188;0;
703;Rimouski;2014-04-07;G;Lac-Huron, no;1;Regr. BVO-114;7;0;0;0;0;0;0;0;0;0;0;
703;Rimouski;2014-04-07;G;La Trinité-des-Monts, p;1;;8;209;1;6;1;13;0;50;55;126;0;
703;Rimouski;2014-04-07;G;Saint-Narcisse-de-Rimouski, p;1;;9;402;4;21;2;28;1;70;101;227;5;
703;Rimouski;2014-04-07;G;Saint-Narcisse-de-Rimouski, p;1;;10;374;1;17;1;32;0;73;79;203;5;
703;Rimouski;2014-04-07;G;Saint-Valérien, p;1;;11;329;1;32;0;22;0;43;75;173;1;
703;Rimouski;2014-04-07;G;Saint-Valérien, p;1;;12;340;3;29;1;47;3;76;50;209;3;
703;Rimouski;2014-04-07;G;Rimouski, v;1;;13;394;5;49;2;33;1;64;101;255;4;
703;Rimouski;2014-04-07;G;Rimouski, v;1;;14;374;6;54;0;18;2;52;80;212;4;
703;Rimouski;2014-04-07;G;Rimouski, v;1;;15;369;3;57;1;17;1;62;105;246;2;
703;Rimouski;2014-04-07;G;Rimouski, v;1;;16;396;1;48;1;25;2;59;100;236;2;
703;Rimouski;2014-04-07;G;Rimouski, v;1;;17;397;0;32;0;24;0;35;80;171;2;
703;Rimouski;2014-04-07;G;Rimouski, v;1;;18;399;2;34;1;33;2;49;86;207;3;
703;Rimouski;2014-04-07;G;Rimouski, v;2;;19;394;1;52;2;20;3;57;99;234;5;
703;Rimouski;2014-04-07;G;Rimouski, v;2;;20;380;2;37;1;14;1;61;102;218;4;
703;Rimouski;2014-04-07;G;Rimouski, v;2;;21;401;0;31;1;26;4;77;85;224;4;
703;Rimouski;2014-04-07;G;Rimouski, v;2;;22;388;3;44;2;24;2;65;90;230;1;
703;Rimouski;2014-04-07;G;Rimouski, v;2;;23;398;0;45;0;26;2;70;106;249;3;
703;Rimouski;2014-04-07;G;Rimouski, v;2;;24;345;1;40;0;24;0;52;76;193;12;
703;Rimouski;2014-04-07;G;Rimouski, v;2;;25;399;1;46;0;14;1;78;93;233;6;
703;Rimouski;2014-04-07;G;Rimouski, v;2;;26;597;0;31;0;22;4;66;73;196;6;
703;Rimouski;2014-04-07;G;Rimouski, v;2;;27;347;1;37;0;20;0;44;74;176;3;
703;Rimouski;2014-04-07;G;Rimouski, v;2;;28;391;2;44;1;21;3;36;93;200;2;
703;Rimouski;2014-04-07;G;Rimouski, v;3;;29;358;1;19;1;30;2;66;63;182;4;
703;Rimouski;2014-04-07;G;Rimouski, v;3;;30;362;1;34;0;17;4;66;96;218;6;
703;Rimouski;2014-04-07;G;Rimouski, v;3;;31;387;3;38;2;24;5;73;112;257;0;
703;Rimouski;2014-04-07;G;Rimouski, v;3;;32;380;2;62;1;16;0;44;86;211;3;
703;Rimouski;2014-04-07;G;Rimouski, v;3;;33;384;0;23;0;20;2;73;61;179;1;
703;Rimouski;2014-04-07;G;Rimouski, v;3;;34;392;2;36;1;25;2;52;86;204;2;
703;Rimouski;2014-04-07;G;Rimouski, v;3;;35;379;2;42;0;44;2;54;77;221;6;
703;Rimouski;2014-04-07;G;Rimouski, v;3;;36;379;2;30;0;25;3;53;99;212;4;
703;Rimouski;2014-04-07;G;Rimouski, v;4;;37;438;2;45;1;27;2;58;108;243;1;
703;Rimouski;2014-04-07;G;Rimouski, v;4;;38;362;3;34;2;28;0;46;87;200;4;
703;Rimouski;2014-04-07;G;Rimouski, v;4;;39;393;0;34;0;32;4;95;79;244;7;
703;Rimouski;2014-04-07;G;Rimouski, v;4;;40;369;2;41;1;27;3;50;115;239;4;
703;Rimouski;2014-04-07;G;Rimouski, v;4;;41;379;5;36;1;22;1;28;101;194;2;
703;Rimouski;2014-04-07;G;Rimouski, v;4;;42;376;4;28;0;35;3;27;93;190;0;
703;Rimouski;2014-04-07;G;Rimouski, v;4;;43;382;0;50;1;25;0;44;86;206;1;
703;Rimouski;2014-04-07;G;Rimouski, v;4;;44;384;2;35;1;26;1;57;99;221;5;
703;Rimouski;2014-04-07;G;Rimouski, v;4;;45;383;2;33;0;34;1;73;95;238;4;
703;Rimouski;2014-04-07;G;Rimouski, v;4;;46;371;0;29;2;24;0;35;84;174;5;
703;Rimouski;2014-04-07;G;Rimouski, v;5;;47;387;0;47;1;22;2;24;76;172;1;
703;Rimouski;2014-04-07;G;Rimouski, v;5;;48;425;3;48;3;17;2;30;102;205;2;
703;Rimouski;2014-04-07;G;Rimouski, v;5;;49;407;1;40;1;12;3;32;73;162;2;
