Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Boudreau David O.N. - P.I.Q.;Chevarie Germain P.L.Q./Q.L.P.;Jomphe Mario-Michel C.A.Q.-É.F.L.;Porowska Natalia Q.S.;Richard Jeannine P.Q.;B.V.;B.R.;
733;Îles-de-la-Madeleine;2014-04-07;G;Les Îles-de-la-Madeleine, m;1;;1;101;0;59;2;1;1;63;1;
733;Îles-de-la-Madeleine;2014-04-07;G;Les Îles-de-la-Madeleine, m;1;;2;250;7;58;1;11;62;139;1;
733;Îles-de-la-Madeleine;2014-04-07;G;Les Îles-de-la-Madeleine, m;1;;3;255;3;41;1;10;85;140;0;
733;Îles-de-la-Madeleine;2014-04-07;G;Les Îles-de-la-Madeleine, m;1;;4;294;1;82;6;7;71;167;2;
733;Îles-de-la-Madeleine;2014-04-07;G;Les Îles-de-la-Madeleine, m;1;;5;298;1;51;3;12;97;164;1;
733;Îles-de-la-Madeleine;2014-04-07;G;Les Îles-de-la-Madeleine, m;1;;6;278;0;75;9;19;68;171;0;
733;Îles-de-la-Madeleine;2014-04-07;G;Les Îles-de-la-Madeleine, m;1;;7;242;3;51;3;21;59;137;3;
733;Îles-de-la-Madeleine;2014-04-07;G;Les Îles-de-la-Madeleine, m;1;;8;391;1;98;7;16;95;217;8;
733;Îles-de-la-Madeleine;2014-04-07;G;Les Îles-de-la-Madeleine, m;1;;9;313;0;89;6;15;83;193;1;
733;Îles-de-la-Madeleine;2014-04-07;G;Les Îles-de-la-Madeleine, m;1;;10;288;1;64;12;9;97;183;1;
733;Îles-de-la-Madeleine;2014-04-07;G;Les Îles-de-la-Madeleine, m;1;;11;296;0;89;7;13;56;165;5;
733;Îles-de-la-Madeleine;2014-04-07;G;Les Îles-de-la-Madeleine, m;1;;12;360;0;105;6;13;81;205;6;
733;Îles-de-la-Madeleine;2014-04-07;G;Les Îles-de-la-Madeleine, m;1;;13;413;2;113;10;14;96;235;6;
733;Îles-de-la-Madeleine;2014-04-07;G;Les Îles-de-la-Madeleine, m;1;;14;274;0;69;5;14;94;182;1;
733;Îles-de-la-Madeleine;2014-04-07;G;Les Îles-de-la-Madeleine, m;1;;15;331;1;75;16;10;83;185;0;
733;Îles-de-la-Madeleine;2014-04-07;G;Les Îles-de-la-Madeleine, m;1;;16;250;0;78;8;4;47;137;1;
733;Îles-de-la-Madeleine;2014-04-07;G;Les Îles-de-la-Madeleine, m;1;;17;364;1;119;9;17;51;197;4;
733;Îles-de-la-Madeleine;2014-04-07;G;Les Îles-de-la-Madeleine, m;1;;18;246;0;57;3;2;49;111;0;
733;Îles-de-la-Madeleine;2014-04-07;G;Les Îles-de-la-Madeleine, m;1;;19;311;2;109;8;13;61;193;1;
733;Îles-de-la-Madeleine;2014-04-07;G;Les Îles-de-la-Madeleine, m;1;;20;241;0;78;11;11;40;140;3;
733;Îles-de-la-Madeleine;2014-04-07;G;Les Îles-de-la-Madeleine, m;1;;21;301;2;99;12;15;55;183;3;
733;Îles-de-la-Madeleine;2014-04-07;G;Les Îles-de-la-Madeleine, m;1;;22;263;1;95;7;4;64;171;3;
733;Îles-de-la-Madeleine;2014-04-07;G;Les Îles-de-la-Madeleine, m;1;;23;299;0;85;8;8;87;188;0;
733;Îles-de-la-Madeleine;2014-04-07;G;Les Îles-de-la-Madeleine, m;1;;24;278;0;102;6;12;56;176;3;
733;Îles-de-la-Madeleine;2014-04-07;G;Les Îles-de-la-Madeleine, m;1;;25;320;0;104;9;11;91;215;2;
733;Îles-de-la-Madeleine;2014-04-07;G;Les Îles-de-la-Madeleine, m;1;;26;271;1;106;5;10;58;180;3;
733;Îles-de-la-Madeleine;2014-04-07;G;Les Îles-de-la-Madeleine, m;1;;27;264;0;112;6;6;58;182;2;
733;Îles-de-la-Madeleine;2014-04-07;G;Les Îles-de-la-Madeleine, m;1;;28;375;2;117;4;9;83;215;2;
733;Îles-de-la-Madeleine;2014-04-07;G;Les Îles-de-la-Madeleine, m;1;;29;323;0;85;7;24;87;203;5;
733;Îles-de-la-Madeleine;2014-04-07;G;Les Îles-de-la-Madeleine, m;1;;30;296;1;86;3;19;99;208;5;
733;Îles-de-la-Madeleine;2014-04-07;G;Les Îles-de-la-Madeleine, m;1;;31;306;3;60;6;16;96;181;3;
733;Îles-de-la-Madeleine;2014-04-07;G;Les Îles-de-la-Madeleine, m;1;;32;305;2;82;3;19;111;217;4;
733;Îles-de-la-Madeleine;2014-04-07;G;Les Îles-de-la-Madeleine, m;1;;33;380;2;68;8;14;114;206;3;
733;Îles-de-la-Madeleine;2014-04-07;G;Les Îles-de-la-Madeleine, m;1;;34;130;1;36;8;5;38;88;0;
733;Îles-de-la-Madeleine;2014-04-07;G;Les Îles-de-la-Madeleine, m;1;;35;242;0;89;1;4;72;166;0;
733;Îles-de-la-Madeleine;2014-04-07;G;Les Îles-de-la-Madeleine, m;1;;36;239;1;70;4;7;62;144;4;
733;Îles-de-la-Madeleine;2014-04-07;G;Grosse-Île, m;1;;37;101;0;72;0;1;0;73;0;
733;Îles-de-la-Madeleine;2014-04-07;G;Grosse-Île, m;1;;38;197;0;126;1;1;3;131;1;
733;Îles-de-la-Madeleine;2014-04-07;G;Grosse-Île, m;1;;39;95;0;49;0;4;1;54;0;
