Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Auguste-Constant Cheraquie P.L.Q./Q.L.P.;Boulanger Marc P.N.;David Françoise Q.S.;Franche Paul C.A.Q.-É.F.L.;Lacelle Olivier O.N. - P.I.Q.;Mailloux Louise P.Q.;B.V.;B.R.;
381;Gouin;2014-04-07;G;Montréal, v;189;;1;407;75;3;108;14;0;27;227;5;
381;Gouin;2014-04-07;G;Montréal, v;189;;2;387;84;4;103;14;0;19;224;2;
381;Gouin;2014-04-07;G;Montréal, v;189;;3;422;81;4;94;18;5;35;237;1;
381;Gouin;2014-04-07;G;Montréal, v;189;;4;412;99;1;92;23;0;34;249;2;
381;Gouin;2014-04-07;G;Montréal, v;189;;5;363;72;7;84;22;1;25;211;0;
381;Gouin;2014-04-07;G;Montréal, v;189;;6;389;89;1;80;19;2;15;206;3;
381;Gouin;2014-04-07;G;Montréal, v;189;;7;383;48;5;101;17;1;27;199;2;
381;Gouin;2014-04-07;G;Montréal, v;189;;8;395;84;3;88;18;2;23;218;5;
381;Gouin;2014-04-07;G;Montréal, v;189;;9;415;35;3;166;13;2;30;249;1;
381;Gouin;2014-04-07;G;Montréal, v;190;;10;359;59;2;119;6;2;25;213;2;
381;Gouin;2014-04-07;G;Montréal, v;190;;11;350;28;3;125;11;1;12;180;1;
381;Gouin;2014-04-07;G;Montréal, v;190;;12;357;57;2;104;14;1;21;199;3;
381;Gouin;2014-04-07;G;Montréal, v;190;;13;356;71;2;96;7;0;29;205;0;
381;Gouin;2014-04-07;G;Montréal, v;190;;14;381;65;3;99;19;7;18;211;1;
381;Gouin;2014-04-07;G;Montréal, v;190;;15;346;32;5;116;12;0;41;206;2;
381;Gouin;2014-04-07;G;Montréal, v;191;;16;354;22;0;122;14;1;31;190;1;
381;Gouin;2014-04-07;G;Montréal, v;191;;17;332;39;3;82;17;1;34;176;2;
381;Gouin;2014-04-07;G;Montréal, v;191;;18;368;49;1;127;13;0;23;213;2;
381;Gouin;2014-04-07;G;Montréal, v;191;;19;326;34;2;108;11;1;24;180;3;
381;Gouin;2014-04-07;G;Montréal, v;191;;20;355;35;5;125;4;1;23;193;6;
381;Gouin;2014-04-07;G;Montréal, v;192;;21;383;26;2;154;13;5;32;232;1;
381;Gouin;2014-04-07;G;Montréal, v;192;;22;295;54;2;44;9;2;29;140;0;
381;Gouin;2014-04-07;G;Montréal, v;192;;23;445;45;1;117;21;1;23;208;1;
381;Gouin;2014-04-07;G;Montréal, v;192;;24;402;32;3;158;14;4;39;250;3;
381;Gouin;2014-04-07;G;Montréal, v;192;;25;364;52;3;77;19;0;47;198;6;
381;Gouin;2014-04-07;G;Montréal, v;192;;26;358;23;6;105;20;3;37;194;2;
381;Gouin;2014-04-07;G;Montréal, v;192;;27;396;55;9;108;14;2;28;216;7;
381;Gouin;2014-04-07;G;Montréal, v;192;;28;419;45;2;117;35;2;35;236;7;
381;Gouin;2014-04-07;G;Montréal, v;193;;29;376;30;3;114;25;2;42;216;1;
381;Gouin;2014-04-07;G;Montréal, v;193;;30;399;32;2;148;18;2;47;249;1;
381;Gouin;2014-04-07;G;Montréal, v;193;;31;377;36;4;115;27;2;36;220;2;
381;Gouin;2014-04-07;G;Montréal, v;193;;32;407;40;1;126;18;3;34;222;8;
381;Gouin;2014-04-07;G;Montréal, v;193;;33;367;32;0;111;21;4;32;200;2;
381;Gouin;2014-04-07;G;Montréal, v;193;;34;379;37;3;107;28;5;37;217;1;
381;Gouin;2014-04-07;G;Montréal, v;193;;35;423;34;2;122;19;2;31;210;3;
381;Gouin;2014-04-07;G;Montréal, v;194;;36;417;29;3;114;12;4;42;204;0;
381;Gouin;2014-04-07;G;Montréal, v;194;;37;340;16;2;115;18;2;35;188;5;
381;Gouin;2014-04-07;G;Montréal, v;194;;38;333;12;0;117;11;2;35;177;4;
381;Gouin;2014-04-07;G;Montréal, v;194;;39;338;22;2;93;17;3;42;179;1;
381;Gouin;2014-04-07;G;Montréal, v;194;;40;369;26;1;116;20;1;37;201;6;
381;Gouin;2014-04-07;G;Montréal, v;195;;41;380;33;4;122;17;7;38;221;3;
381;Gouin;2014-04-07;G;Montréal, v;195;;42;493;43;5;129;21;3;49;250;1;
381;Gouin;2014-04-07;G;Montréal, v;195;;43;365;17;2;121;21;4;42;207;6;
381;Gouin;2014-04-07;G;Montréal, v;195;;44;362;31;3;109;22;3;35;203;2;
381;Gouin;2014-04-07;G;Montréal, v;195;;45;376;28;2;137;11;7;40;225;5;
381;Gouin;2014-04-07;G;Montréal, v;195;;46;390;60;2;110;11;5;29;217;0;
381;Gouin;2014-04-07;G;Montréal, v;195;;47A;249;23;1;101;11;6;28;170;1;
381;Gouin;2014-04-07;G;Montréal, v;195;;47B;217;29;1;69;9;2;24;134;2;
381;Gouin;2014-04-07;G;Montréal, v;196;;48;337;37;0;134;16;2;24;213;2;
381;Gouin;2014-04-07;G;Montréal, v;196;;49;375;26;2;112;26;6;41;213;3;
381;Gouin;2014-04-07;G;Montréal, v;196;;50;368;15;1;138;8;3;38;203;1;
381;Gouin;2014-04-07;G;Montréal, v;196;;51;358;15;1;124;23;3;30;196;2;
381;Gouin;2014-04-07;G;Montréal, v;196;;52;417;35;2;102;16;4;42;201;3;
381;Gouin;2014-04-07;G;Montréal, v;196;;53;361;24;3;110;9;4;37;187;2;
381;Gouin;2014-04-07;G;Montréal, v;196;;54;448;59;4;70;12;0;44;189;4;
381;Gouin;2014-04-07;G;Montréal, v;197;;55;416;95;1;66;26;3;43;234;5;
381;Gouin;2014-04-07;G;Montréal, v;197;;56;376;54;5;120;20;4;38;241;1;
381;Gouin;2014-04-07;G;Montréal, v;197;;57;402;43;4;121;20;2;43;233;4;
381;Gouin;2014-04-07;G;Montréal, v;198;;58;415;31;1;146;23;5;40;246;2;
381;Gouin;2014-04-07;G;Montréal, v;198;;59;396;42;2;131;12;0;37;224;2;
381;Gouin;2014-04-07;G;Montréal, v;198;;60;413;67;3;110;25;3;40;248;2;
381;Gouin;2014-04-07;G;Montréal, v;198;;61A;295;52;0;65;14;4;28;163;2;
381;Gouin;2014-04-07;G;Montréal, v;198;;61B;167;34;1;21;10;0;5;71;0;
381;Gouin;2014-04-07;G;Montréal, v;198;;62;385;25;2;95;21;6;57;206;3;
381;Gouin;2014-04-07;G;Montréal, v;198;;63;394;42;3;101;16;3;30;195;10;
381;Gouin;2014-04-07;G;Montréal, v;198;;64A;288;22;1;75;6;2;16;122;0;
381;Gouin;2014-04-07;G;Montréal, v;198;;64B;256;14;1;71;17;1;24;128;0;
381;Gouin;2014-04-07;G;Montréal, v;198;;65A;294;28;3;96;27;0;19;173;3;
381;Gouin;2014-04-07;G;Montréal, v;198;;65B;242;39;1;63;18;2;23;146;2;
381;Gouin;2014-04-07;G;Montréal, v;199;;66;400;47;3;95;19;5;38;207;1;
381;Gouin;2014-04-07;G;Montréal, v;199;;67;406;20;3;165;25;3;44;260;4;
381;Gouin;2014-04-07;G;Montréal, v;199;;68;396;18;2;122;26;1;43;212;7;
381;Gouin;2014-04-07;G;Montréal, v;199;;69;378;16;4;133;20;3;41;217;4;
381;Gouin;2014-04-07;G;Montréal, v;199;;70;414;28;2;138;21;2;54;245;2;
